Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,38.64,13.29,44
Long Sword,1036,100.0,38.64,14.92,44
Pickaxe,1037,95.45,38.1,17.74,42
Boots,1001,88.64,35.9,15.46,39
Ruby Crystal,1028,81.82,38.89,14.7,36
Caulfield's Warhammer,3133,79.55,37.14,19.16,35
Tunneler,2021,79.55,42.86,17.35,35
Spear of Shojin,3161,59.09,61.54,23.78,26
Sundered Sky,6610,56.82,32.0,24.5,25
Doran's Blade,1055,54.55,33.33,8.85,24
Plated Steelcaps,3047,54.55,33.33,12.82,24
Stealth Ward,3340,50.0,50.0,1.26,22
Doran's Shield,1054,45.45,40.0,16.0,20
Eclipse,6692,45.45,30.0,17.25,20
Mercury's Treads,3111,45.45,45.0,7.61,20
Control Ward,2055,38.64,41.18,9.31,17
Glowing Mote,2022,36.36,37.5,8.21,16
Cloth Armor,1029,34.09,20.0,5.79,15
Null-Magic Mantle,1033,25.0,45.45,10.32,11
Kindlegem,3067,22.73,20.0,-12.67,10
Voltaic Cyclosword,6699,20.45,66.67,17.1,9
Steel Sigil,2019,18.18,50.0,19.0,8
Chainlaced Crushers,3173,18.18,62.5,-0.41,8
Refillable Potion,2031,15.91,57.14,1.32,7
The Brutalizer,2020,15.91,42.86,-9.07,7
Phage,3044,13.64,0.0,-16.08,6
Spectre's Cowl,3211,13.64,33.33,-7.21,6
Black Cleaver,3071,13.64,33.33,-7.41,6
Oracle Lens,3364,13.64,50.0,0.91,6
Last Whisper,3035,13.64,83.33,25.88,6
Hexdrinker,3155,11.36,20.0,-10.23,5
Death's Dance,6333,9.09,75.0,73.23,4
Serrated Dirk,3134,9.09,0.0,-2.15,4
Serylda's Grudge,6694,9.09,75.0,34.67,4
Armored Advance,3174,9.09,100.0,91.86,4
Sterak's Gage,3053,6.82,33.33,-26.84,3
Spirit Visage,3065,6.82,33.33,-24.97,3
Eye of the Herald,3513,6.82,100.0,29.72,3
Rejuvenation Bead,1006,6.82,33.33,1.39,3
Maw of Malmortius,3156,4.55,0.0,-23.62,2
Serpent's Fang,6695,4.55,0.0,-6.97,2
Farsight Alteration,3363,4.55,50.0,8.02,2
Bramble Vest,3076,4.55,0.0,-11.48,2
Gustwalker Hatchling,1102,4.55,100.0,10.45,2
Slightly Magical Footwear,2422,4.55,50.0,-3.85,2
Ionian Boots of Lucidity,3158,2.27,0.0,1.76,1
Crimson Lucidity,3171,2.27,0.0,-5.15,1
Mosstomper Seedling,1103,2.27,0.0,8.34,1
Elixir of Wrath,2140,2.27,0.0,0,1
Executioner's Calling,3123,2.27,0.0,-21.47,1
Boots of Swiftness,3009,2.27,0.0,21.82,1
Warden's Mail,3082,2.27,100.0,-1.77,1
Chain Vest,1031,2.27,0.0,0,1
Scorchclaw Pup,1101,2.27,0.0,-25.92,1
Hubris,6697,2.27,0.0,-18.48,1
