Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,98.59,42.86,14.52,70
Amplifying Tome,1052,94.37,40.3,11.48,67
Hextech Alternator,3145,92.96,43.94,15.89,66
Sorcerer's Shoes,3020,85.92,45.9,12.87,61
Boots,1001,83.1,38.98,15.27,59
Needlessly Large Rod,1058,83.1,45.76,14.14,59
Shadowflame,4645,66.2,44.68,18.08,47
Stealth Ward,3340,60.56,34.88,20.71,43
Stormsurge,4646,59.15,45.24,21.83,42
Doran's Shield,1054,56.34,42.5,9.06,40
Seeker's Armguard,2420,52.11,54.05,5.36,37
Aether Wisp,3113,49.3,45.71,23.09,35
Doran's Ring,1056,43.66,48.39,16.89,31
Zhonya's Hourglass,3157,43.66,51.61,0.57,31
Dark Seal,1082,40.85,51.72,6.37,29
Control Ward,2055,39.44,35.71,20.24,28
Hextech Rocketbelt,3152,38.03,48.15,10.22,27
Refillable Potion,2031,36.62,34.62,6.69,26
Cloth Armor,1029,30.99,40.91,10.23,22
Oracle Lens,3364,28.17,50.0,21.48,20
Spellslinger's Shoes,3175,28.17,85.0,9.05,20
Shattered Armguard,2421,23.94,52.94,7.59,17
Rabadon's Deathcap,3089,21.13,66.67,16.87,15
Fiendish Codex,3108,21.13,53.33,4.15,15
Glowing Mote,2022,21.13,33.33,16.83,15
Blasting Wand,1026,16.9,58.33,1.86,12
Ruby Crystal,1028,14.08,40.0,11.5,10
Mejai's Soulstealer,3041,14.08,70.0,0.61,10
Haunting Guise,3147,12.68,44.44,11.68,9
Farsight Alteration,3363,12.68,33.33,12.73,9
Blighting Jewel,4630,11.27,37.5,12.7,8
Sheen,3057,9.86,28.57,43.44,7
Lich Bane,3100,9.86,42.86,34.4,7
Mercury's Treads,3111,9.86,28.57,18.5,7
Elixir of Sorcery,2139,9.86,71.43,-16.45,7
Liandry's Torment,6653,8.45,33.33,8.86,6
Fated Ashes,2508,7.04,40.0,7.6,5
Null-Magic Mantle,1033,7.04,80.0,17.74,5
Riftmaker,4633,5.63,50.0,20.44,4
Verdant Barrier,4632,5.63,50.0,-17.1,4
Banshee's Veil,3102,5.63,50.0,-17.51,4
Void Staff,3135,4.23,66.67,20.86,3
Plated Steelcaps,3047,2.82,0.0,39.44,2
Kindlegem,3067,2.82,50.0,-21.88,2
Chainlaced Crushers,3173,2.82,50.0,6.63,2
Winged Moonplate,3066,1.41,0.0,-20.87,1
Chain Vest,1031,1.41,0.0,0,1
Armored Advance,3174,1.41,0.0,107.16,1
Giant's Belt,1011,1.41,0.0,-13.38,1
Rylai's Crystal Scepter,3116,1.41,0.0,-37.4,1
Your Cut,3400,1.41,0.0,29.98,1
Oblivion Orb,3916,1.41,100.0,4.29,1
Morellonomicon,3165,1.41,100.0,-16.25,1
Bloodletter's Curse,8010,1.41,0.0,-63.99,1
Elixir of Wrath,2140,1.41,0.0,0,1
