Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Pickaxe,1037,97.22,31.43,15.53,35
Long Sword,1036,94.44,29.41,17.39,34
Health Potion,2003,88.89,31.25,23.52,32
Doran's Blade,1055,86.11,29.03,6.42,31
Statikk Shiv,3087,83.33,23.33,15.35,30
Rectrix,6690,80.56,24.14,17.79,29
The Collector,6676,77.78,35.71,16.76,28
Boots,1001,75.0,25.93,16.9,27
Cloak of Agility,1018,69.44,32.0,14.75,25
Stealth Ward,3340,63.89,30.43,20.57,23
Serrated Dirk,3134,63.89,30.43,19.03,23
Scout's Slingshot,3144,61.11,18.18,12.45,22
Infinity Edge,3031,55.56,40.0,11.94,20
B. F. Sword,1038,50.0,27.78,8.03,18
Dagger,1042,47.22,17.65,23.68,17
Lord Dominik's Regards,3036,36.11,61.54,21.88,13
Refillable Potion,2031,33.33,16.67,9.62,12
Last Whisper,3035,33.33,66.67,32.05,12
Boots of Swiftness,3009,30.56,27.27,11.37,11
Noonquiver,6670,25.0,44.44,7.1,9
Farsight Alteration,3363,25.0,44.44,22.9,9
Symbiotic Soles,3010,25.0,22.22,32.69,9
Mercury's Treads,3111,22.22,25.0,7.62,8
Control Ward,2055,16.67,16.67,1.99,6
Null-Magic Mantle,1033,16.67,16.67,11.74,6
Slightly Magical Footwear,2422,16.67,33.33,23.74,6
Berserker's Greaves,3006,13.89,60.0,24.67,5
Recurve Bow,1043,13.89,80.0,3.68,5
Rapid Firecannon,3094,13.89,40.0,33.52,5
Elixir of Avarice,2151,13.89,20.0,31.26,5
Cloth Armor,1029,11.11,25.0,-2.85,4
Zeal,3086,11.11,25.0,-23.02,4
Elixir of Force,2152,11.11,25.0,12.32,4
Plated Steelcaps,3047,8.33,0.0,-10.66,3
Vampiric Scepter,1053,8.33,66.67,39.79,3
Elixir of Wrath,2140,8.33,66.67,-5.39,3
Synchronized Souls,3013,8.33,33.33,67.16,3
Forever Forward,3176,8.33,33.33,67.16,3
Kraken Slayer,6672,8.33,100.0,31.6,3
Elixir of Skill,2150,8.33,0.0,-4.27,3
Amplifying Tome,1052,5.56,50.0,0.41,2
Chainlaced Crushers,3173,5.56,50.0,-0.69,2
Oracle Lens,3364,5.56,50.0,8.57,2
Immortal Shieldbow,6673,5.56,0.0,-11.71,2
Cull,1083,5.56,50.0,12.81,2
Mortal Reminder,3033,5.56,50.0,9.2,2
Nashor's Tooth,3115,2.78,0.0,0,1
Sorcerer's Shoes,3020,2.78,0.0,0,1
Fated Ashes,2508,2.78,0.0,0,1
Blade of The Ruined King,3153,2.78,100.0,1.92,1
Eye of the Herald,3513,2.78,100.0,0,1
Steel Sigil,2019,2.78,100.0,0,1
Swiftmarch,3170,2.78,100.0,-17.27,1
Hearthbound Axe,3051,2.78,100.0,-15.93,1
Guinsoo's Rageblade,3124,2.78,100.0,22.87,1
Executioner's Calling,3123,2.78,100.0,29.49,1
Terminus,3302,2.78,100.0,1.07,1
Guardian Angel,3026,2.78,0.0,66.28,1
Bloodthirster,3072,2.78,0.0,17.56,1
Scorchclaw Pup,1101,2.78,100.0,41.56,1
Gunmetal Greaves,3172,2.78,100.0,27.97,1
Negatron Cloak,1057,2.78,0.0,-38.87,1
Wit's End,3091,2.78,0.0,0,1
