Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Stealth Ward,3340,90.0,52.78,7.41,36
Boots,1001,87.5,45.71,10.31,35
Ruby Crystal,1028,82.5,42.42,9.48,33
Cloth Armor,1029,75.0,46.67,10.98,30
Liandry's Torment,6653,75.0,46.67,19.98,30
Health Potion,2003,72.5,44.83,14.09,29
Fated Ashes,2508,72.5,44.83,10.51,29
Haunting Guise,3147,67.5,48.15,16.3,27
Bami's Cinder,6660,65.0,50.0,1.7,26
Mosstomper Seedling,1103,60.0,45.83,0.85,24
Amplifying Tome,1052,57.5,47.83,11.81,23
Sunfire Aegis,3068,57.5,43.48,1.29,23
Chain Vest,1031,55.0,45.45,-3.06,22
Null-Magic Mantle,1033,55.0,45.45,8.7,22
Negatron Cloak,1057,52.5,52.38,1.66,21
Oracle Lens,3364,50.0,70.0,8.72,20
Plated Steelcaps,3047,47.5,52.63,10.2,19
Mercury's Treads,3111,47.5,52.63,16.59,19
Control Ward,2055,45.0,66.67,9.73,18
Thornmail,3075,42.5,52.94,-4.35,17
Bramble Vest,3076,42.5,52.94,0.88,17
Eye of the Herald,3513,32.5,46.15,5.06,13
Kindlegem,3067,32.5,61.54,17.83,13
Glowing Mote,2022,27.5,45.45,16.18,11
Spectre's Cowl,3211,27.5,36.36,-14.03,11
Armored Advance,3174,27.5,45.45,0.56,11
Abyssal Mask,8020,25.0,50.0,1.89,10
Gustwalker Hatchling,1102,20.0,50.0,16.95,8
Giant's Belt,1011,17.5,14.29,-23.68,7
Hollow Radiance,6664,15.0,50.0,-3.42,6
Kaenic Rookern,2504,15.0,50.0,-12.4,6
World Atlas,3865,15.0,66.67,36.59,6
Runic Compass,3866,15.0,66.67,7.99,6
Bounty of Worlds,3867,15.0,66.67,8.35,6
Chainlaced Crushers,3173,12.5,60.0,7.86,5
Dark Seal,1082,10.0,75.0,6.06,4
"Jak'Sho, The Protean",6665,7.5,0.0,-48.86,3
Scorchclaw Pup,1101,7.5,66.67,-1.0,3
Warden's Mail,3082,5.0,0.0,-29.27,2
Lost Chapter,3802,5.0,100.0,23.82,2
Rejuvenation Bead,1006,5.0,100.0,-7.59,2
Locket of the Iron Solari,3190,5.0,100.0,21.03,2
Elixir of Iron,2138,5.0,50.0,-19.41,2
Randuin's Omen,3143,5.0,0.0,25.0,2
Aegis of the Legion,3105,5.0,0.0,34.57,2
Unending Despair,2502,5.0,0.0,0,2
Needlessly Large Rod,1058,5.0,100.0,-1.61,2
Zhonya's Hourglass,3157,5.0,100.0,-1.7,2
Slightly Magical Footwear,2422,5.0,50.0,20.22,2
Farsight Alteration,3363,2.5,0.0,-20.62,1
Total Biscuit of Everlasting Will,2010,2.5,100.0,-11.83,1
Seeker's Armguard,2420,2.5,100.0,8.5,1
Shattered Armguard,2421,2.5,100.0,-1.7,1
Faerie Charm,1004,2.5,100.0,25.11,1
Forbidden Idol,3114,2.5,100.0,27.4,1
Redemption,3107,2.5,100.0,0,1
Blasting Wand,1026,2.5,100.0,44.48,1
Malignance,3118,2.5,100.0,0,1
Doran's Ring,1056,2.5,0.0,-3.78,1
Spirit Visage,3065,2.5,0.0,0,1
Fiendish Codex,3108,2.5,100.0,0,1
Refillable Potion,2031,2.5,0.0,14.56,1
Celestial Opposition,3869,2.5,0.0,19.67,1
