Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,44.44,24.07,54
Doran's Blade,1055,98.15,45.28,23.71,53
Pickaxe,1037,96.3,46.15,17.04,52
Cloak of Agility,1018,90.74,46.94,19.43,49
Infinity Edge,3031,88.89,47.92,16.7,48
Long Sword,1036,87.04,42.55,19.91,47
Boots,1001,85.19,50.0,21.97,46
B. F. Sword,1038,83.33,51.11,18.47,45
Berserker's Greaves,3006,81.48,43.18,21.42,44
Stealth Ward,3340,77.78,45.24,11.05,42
The Collector,6676,75.93,39.02,23.02,41
Serrated Dirk,3134,72.22,35.9,20.43,39
Dagger,1042,64.81,40.0,21.55,35
Farsight Alteration,3363,59.26,43.75,10.78,32
Last Whisper,3035,53.7,41.38,26.27,29
Lord Dominik's Regards,3036,42.59,56.52,20.4,23
Noonquiver,6670,38.89,52.38,13.37,21
Control Ward,2055,24.07,46.15,20.0,13
Scout's Slingshot,3144,22.22,50.0,35.98,12
Refillable Potion,2031,22.22,25.0,25.85,12
Yun Tal Wildarrows,3032,20.37,63.64,32.63,11
Gunmetal Greaves,3172,18.52,70.0,44.69,10
Mortal Reminder,3033,18.52,30.0,22.81,10
Zeal,3086,16.67,44.44,24.74,9
Executioner's Calling,3123,14.81,37.5,24.64,8
Cull,1083,12.96,14.29,1.59,7
Elixir of Wrath,2140,11.11,33.33,0,6
Vampiric Scepter,1053,11.11,50.0,9.87,6
Immortal Shieldbow,6673,11.11,50.0,-13.08,6
Runaan's Hurricane,3085,9.26,20.0,65.22,5
Boots of Swiftness,3009,9.26,60.0,10.6,5
Bloodthirster,3072,9.26,40.0,3.14,5
Slightly Magical Footwear,2422,7.41,25.0,20.74,4
Rectrix,6690,5.56,0.0,35.5,3
Youmuu's Ghostblade,3142,3.7,0.0,58.57,2
Plated Steelcaps,3047,3.7,50.0,87.39,2
Oracle Lens,3364,3.7,0.0,-17.84,2
Null-Magic Mantle,1033,3.7,100.0,-10.8,2
Swiftmarch,3170,1.85,100.0,70.11,1
Hexdrinker,3155,1.85,100.0,0,1
Guardian Angel,3026,1.85,0.0,0,1
Total Biscuit of Everlasting Will,2010,1.85,0.0,60.95,1
Eye of the Herald,3513,1.85,100.0,32.5,1
Phantom Dancer,3046,1.85,0.0,0,1
Mercurial Scimitar,3139,1.85,100.0,1.87,1
Mercury's Treads,3111,1.85,100.0,-7.16,1
Elixir of Iron,2138,1.85,100.0,0,1
Elixir of Avarice,2151,1.85,0.0,77.46,1
Elixir of Force,2152,1.85,0.0,16.4,1
Elixir of Skill,2150,1.85,0.0,9.94,1
Hearthbound Axe,3051,1.85,0.0,-3.62,1
Kraken Slayer,6672,1.85,0.0,-6.33,1
