Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,96.3,38.46,9.63,26
Amplifying Tome,1052,96.3,38.46,17.79,26
Doran's Ring,1056,92.59,40.0,25.37,25
Fated Ashes,2508,88.89,41.67,21.37,24
Rylai's Crystal Scepter,3116,81.48,45.45,14.9,22
Sorcerer's Shoes,3020,81.48,40.91,23.45,22
Blasting Wand,1026,77.78,38.1,17.95,21
Ruby Crystal,1028,74.07,30.0,15.71,20
Liandry's Torment,6653,74.07,45.0,22.67,20
Boots,1001,70.37,31.58,19.96,19
Lost Chapter,3802,70.37,31.58,16.19,19
Haunting Guise,3147,66.67,44.44,19.81,18
Giant's Belt,1011,62.96,35.29,21.67,17
Sapphire Crystal,1027,62.96,35.29,10.16,17
Stealth Ward,3340,59.26,31.25,21.38,16
Control Ward,2055,51.85,50.0,18.72,14
Tear of the Goddess,3070,48.15,30.77,19.34,13
Blackfire Torch,2503,40.74,27.27,13.19,11
Archangel's Staff,3003,33.33,44.44,45.15,9
Needlessly Large Rod,1058,33.33,44.44,32.2,9
Glowing Mote,2022,33.33,22.22,7.52,9
Spellslinger's Shoes,3175,25.93,57.14,19.41,7
Slightly Magical Footwear,2422,22.22,50.0,25.27,6
Fiendish Codex,3108,22.22,50.0,42.22,6
Farsight Alteration,3363,22.22,16.67,23.01,6
Refillable Potion,2031,22.22,33.33,11.31,6
Catalyst of Aeons,3803,18.52,20.0,17.11,5
Rod of Ages,6657,18.52,20.0,11.27,5
Rabadon's Deathcap,3089,14.81,25.0,38.45,4
Zhonya's Hourglass,3157,14.81,50.0,21.97,4
Total Biscuit of Everlasting Will,2010,11.11,33.33,5.16,3
Oracle Lens,3364,11.11,33.33,58.36,3
Bloodletter's Curse,8010,11.11,66.67,-1.43,3
Elixir of Sorcery,2139,11.11,33.33,81.83,3
Seeker's Armguard,2420,11.11,66.67,20.15,3
Mercury's Treads,3111,7.41,0.0,55.62,2
Blighting Jewel,4630,7.41,0.0,6.76,2
Cloth Armor,1029,7.41,50.0,20.09,2
Oblivion Orb,3916,7.41,0.0,-22.35,2
Dark Seal,1082,7.41,0.0,56.01,2
Shadowflame,4645,3.7,100.0,0,1
Void Staff,3135,3.7,0.0,0,1
Null-Magic Mantle,1033,3.7,0.0,21.91,1
Verdant Barrier,4632,3.7,0.0,7.69,1
Banshee's Veil,3102,3.7,0.0,7.82,1
Elixir of Iron,2138,3.7,0.0,137.74,1
World Atlas,3865,3.7,0.0,44.63,1
Runic Compass,3866,3.7,0.0,124.3,1
Bounty of Worlds,3867,3.7,0.0,124.79,1
Morellonomicon,3165,3.7,0.0,0,1
