Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,42.42,3.7,33
Stealth Ward,3340,100.0,42.42,10.08,33
World Atlas,3865,96.97,43.75,19.53,32
Oracle Lens,3364,96.97,40.62,12.25,32
Runic Compass,3866,96.97,43.75,-2.91,32
Bounty of Worlds,3867,96.97,43.75,-5.83,32
Total Biscuit of Everlasting Will,2010,93.94,45.16,8.63,31
Ruby Crystal,1028,90.91,43.33,4.2,30
Boots,1001,87.88,44.83,1.11,29
Kindlegem,3067,87.88,41.38,3.54,29
Cloth Armor,1029,84.85,39.29,-0.91,28
Control Ward,2055,81.82,48.15,3.83,27
Null-Magic Mantle,1033,66.67,50.0,3.72,22
Locket of the Iron Solari,3190,66.67,45.45,3.75,22
Boots of Swiftness,3009,60.61,45.0,-3.16,20
Glowing Mote,2022,36.36,33.33,-5.18,12
Forbidden Idol,3114,30.3,10.0,-6.58,10
Warden's Mail,3082,27.27,44.44,-0.47,9
Redemption,3107,27.27,11.11,2.97,9
Glacial Buckler,3024,24.24,37.5,-2.7,8
Chain Vest,1031,24.24,50.0,10.98,8
Winged Moonplate,3066,24.24,62.5,19.15,8
Zeke's Convergence,3050,24.24,50.0,-24.63,8
Frozen Heart,3110,24.24,50.0,0.02,8
Swiftmarch,3170,21.21,71.43,0.55,7
Sapphire Crystal,1027,18.18,66.67,1.53,6
Symbiotic Soles,3010,18.18,16.67,7.94,6
Faerie Charm,1004,18.18,0.0,-6.94,6
Amplifying Tome,1052,15.15,40.0,-4.36,5
Bramble Vest,3076,15.15,20.0,-13.59,5
Trailblazer,3002,12.12,50.0,33.58,4
Knight's Vow,3109,9.09,33.33,37.89,3
Celestial Opposition,3869,9.09,66.67,-0.52,3
Refillable Potion,2031,9.09,66.67,5.96,3
Negatron Cloak,1057,9.09,100.0,-15.0,3
Lost Chapter,3802,6.06,50.0,-0.91,2
Blasting Wand,1026,6.06,50.0,10.56,2
Sorcerer's Shoes,3020,6.06,50.0,-5.77,2
Hextech Alternator,3145,6.06,50.0,-19.87,2
Farsight Alteration,3363,6.06,50.0,33.64,2
Thornmail,3075,6.06,50.0,-33.87,2
Solstice Sleigh,3876,6.06,0.0,-5.78,2
Mercury's Treads,3111,6.06,50.0,9.8,2
Synchronized Souls,3013,6.06,50.0,-4.09,2
Forever Forward,3176,6.06,50.0,-4.09,2
Bandleglass Mirror,4642,6.06,50.0,13.59,2
Aether Wisp,3113,6.06,50.0,-28.06,2
Giant's Belt,1011,6.06,50.0,0.82,2
Tear of the Goddess,3070,6.06,50.0,-0.38,2
Plated Steelcaps,3047,6.06,50.0,11.86,2
Dead Man's Plate,3742,6.06,100.0,70.71,2
Malignance,3118,3.03,100.0,42.81,1
Stormsurge,4646,3.03,100.0,0,1
Luden's Companion,6655,3.03,0.0,-20.25,1
Fated Ashes,2508,3.03,0.0,-39.79,1
Oblivion Orb,3916,3.03,0.0,-16.32,1
Morellonomicon,3165,3.03,0.0,-1.02,1
Eye of the Herald,3513,3.03,0.0,-8.46,1
Shurelya's Battlesong,2065,3.03,0.0,-23.83,1
Rejuvenation Bead,1006,3.03,0.0,-3.11,1
Heartsteel,3084,3.03,0.0,-37.8,1
Gustwalker Hatchling,1102,3.03,0.0,26.83,1
Tiamat,3077,3.03,0.0,28.19,1
Hearthbound Axe,3051,3.03,0.0,6.59,1
Sheen,3057,3.03,0.0,13.45,1
Long Sword,1036,3.03,0.0,33.27,1
Phage,3044,3.03,0.0,33.7,1
Trinity Force,3078,3.03,0.0,14.16,1
Berserker's Greaves,3006,3.03,0.0,12.36,1
Vampiric Scepter,1053,3.03,0.0,-7.64,1
Ravenous Hydra,3074,3.03,0.0,11.82,1
Ionian Boots of Lucidity,3158,3.03,100.0,42.17,1
Force of Nature,4401,3.03,100.0,-2.19,1
Spectre's Cowl,3211,3.03,100.0,0,1
Slightly Magical Footwear,2422,3.03,0.0,20.59,1
Abyssal Mask,8020,3.03,100.0,18.4,1
