Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Amplifying Tome,1052,100.0,67.24,12.47,58
Health Potion,2003,96.55,66.07,12.7,56
Stealth Ward,3340,93.1,66.67,21.11,54
Sorcerer's Shoes,3020,91.38,67.92,14.88,53
Boots,1001,84.48,67.35,13.81,49
Fated Ashes,2508,84.48,67.35,11.67,49
Rylai's Crystal Scepter,3116,81.03,61.7,13.5,47
Control Ward,2055,79.31,63.04,18.86,46
Oracle Lens,3364,75.86,63.64,18.58,44
Blasting Wand,1026,74.14,65.12,11.9,43
Ruby Crystal,1028,72.41,61.9,13.62,42
World Atlas,3865,72.41,66.67,25.2,42
Runic Compass,3866,72.41,66.67,17.26,42
Bounty of Worlds,3867,72.41,66.67,17.82,42
Liandry's Torment,6653,68.97,65.0,12.74,40
Haunting Guise,3147,67.24,69.23,12.14,39
Giant's Belt,1011,56.9,54.55,14.51,33
Lost Chapter,3802,44.83,76.92,11.68,26
Blackfire Torch,2503,37.93,81.82,19.97,22
Spellslinger's Shoes,3175,36.21,95.24,19.73,21
Oblivion Orb,3916,34.48,65.0,16.04,20
Doran's Ring,1056,24.14,78.57,33.98,14
Refillable Potion,2031,22.41,61.54,15.79,13
Needlessly Large Rod,1058,22.41,84.62,2.55,13
Glowing Mote,2022,20.69,83.33,13.08,12
Sapphire Crystal,1027,20.69,66.67,12.85,12
Morellonomicon,3165,13.79,100.0,24.2,8
Dark Seal,1082,13.79,62.5,12.48,8
Seeker's Armguard,2420,12.07,71.43,18.07,7
Total Biscuit of Everlasting Will,2010,12.07,57.14,30.84,7
Cloth Armor,1029,10.34,66.67,14.72,6
Farsight Alteration,3363,10.34,66.67,39.62,6
Zhonya's Hourglass,3157,10.34,66.67,25.97,6
Zaz'Zak's Realmspike,3871,10.34,33.33,5.22,6
Elixir of Sorcery,2139,8.62,60.0,12.53,5
Shattered Armguard,2421,8.62,60.0,25.97,5
Bloodletter's Curse,8010,8.62,80.0,30.22,5
Fiendish Codex,3108,8.62,80.0,9.46,5
Rabadon's Deathcap,3089,6.9,50.0,-28.12,4
Malignance,3118,6.9,75.0,-4.3,4
Slightly Magical Footwear,2422,6.9,25.0,19.98,4
Kindlegem,3067,6.9,75.0,17.1,4
Ionian Boots of Lucidity,3158,5.17,33.33,15.01,3
Blighting Jewel,4630,5.17,33.33,0,3
Hextech Alternator,3145,5.17,66.67,20.27,3
Tear of the Goddess,3070,3.45,50.0,11.91,2
Shadowflame,4645,3.45,50.0,67.42,2
Crimson Lucidity,3171,1.72,0.0,0,1
Boots of Swiftness,3009,1.72,0.0,60.67,1
Elixir of Avarice,2151,1.72,100.0,-6.24,1
Elixir of Force,2152,1.72,100.0,-26.61,1
Elixir of Skill,2150,1.72,100.0,-14.55,1
Scorchclaw Pup,1101,1.72,0.0,23.78,1
Symbiotic Soles,3010,1.72,0.0,115.36,1
Eye of the Herald,3513,1.72,100.0,-17.49,1
Gustwalker Hatchling,1102,1.72,0.0,-9.47,1
Mejai's Soulstealer,3041,1.72,100.0,38.62,1
