Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,50.34,8.99,147
Doran's Blade,1055,99.32,50.68,16.65,146
Pickaxe,1037,95.24,51.43,15.25,140
B. F. Sword,1038,91.16,51.49,16.44,134
Cloak of Agility,1018,85.71,46.83,15.44,126
Infinity Edge,3031,84.35,52.42,16.62,124
Stealth Ward,3340,82.99,52.46,19.21,122
Berserker's Greaves,3006,82.99,49.18,12.37,122
Serrated Dirk,3134,78.23,53.04,12.97,115
Long Sword,1036,77.55,49.12,13.52,114
The Collector,6676,76.87,53.98,16.53,113
Dagger,1042,72.11,50.94,13.97,106
Boots,1001,61.9,49.45,10.08,91
Farsight Alteration,3363,57.82,56.47,19.03,85
Scout's Slingshot,3144,50.34,39.19,12.25,74
Zeal,3086,49.66,46.58,18.91,73
Last Whisper,3035,46.94,50.72,19.41,69
Rapid Firecannon,3094,45.58,59.7,25.13,67
Control Ward,2055,37.41,52.73,17.25,55
Lord Dominik's Regards,3036,29.93,50.0,22.01,44
Total Biscuit of Everlasting Will,2010,25.85,47.37,13.64,38
Gunmetal Greaves,3172,24.49,69.44,10.44,36
Slightly Magical Footwear,2422,21.77,50.0,19.85,32
Yun Tal Wildarrows,3032,21.09,45.16,22.24,31
Executioner's Calling,3123,17.69,61.54,39.9,26
Noonquiver,6670,17.01,48.0,20.8,25
Refillable Potion,2031,15.65,47.83,16.14,23
Boots of Swiftness,3009,13.61,60.0,11.65,20
Mortal Reminder,3033,12.93,63.16,32.01,19
Vampiric Scepter,1053,10.2,40.0,11.46,15
Bloodthirster,3072,8.84,61.54,1.21,13
Elixir of Wrath,2140,7.48,54.55,21.42,11
Cull,1083,7.48,45.45,20.95,11
Swiftmarch,3170,4.08,100.0,5.31,6
Guardian Angel,3026,4.08,50.0,-16.77,6
Rectrix,6690,3.4,20.0,21.71,5
Oracle Lens,3364,3.4,20.0,22.62,5
Youmuu's Ghostblade,3142,2.72,25.0,27.43,4
Null-Magic Mantle,1033,2.04,66.67,14.89,3
Steel Sigil,2019,2.04,66.67,0,3
Cloth Armor,1029,1.36,100.0,58.87,2
Blade of The Ruined King,3153,0.68,0.0,-25.57,1
Edge of Night,3814,0.68,100.0,0,1
Tear of the Goddess,3070,0.68,0.0,-20.33,1
Symbiotic Soles,3010,0.68,0.0,-8.2,1
Opportunity,6701,0.68,100.0,0,1
Mercury's Treads,3111,0.68,0.0,-4.49,1
Chainlaced Crushers,3173,0.68,0.0,0,1
Glowing Mote,2022,0.68,0.0,57.02,1
Hubris,6697,0.68,0.0,0,1
Kaenic Rookern,2504,0.68,0.0,0,1
World Atlas,3865,0.68,0.0,57.59,1
Runic Compass,3866,0.68,0.0,23.3,1
Bounty of Worlds,3867,0.68,0.0,23.64,1
Quicksilver Sash,3140,0.68,100.0,23.01,1
Mercurial Scimitar,3139,0.68,100.0,24.5,1
Statikk Shiv,3087,0.68,0.0,23.53,1
Elixir of Avarice,2151,0.68,100.0,-11.55,1
Elixir of Force,2152,0.68,100.0,49.76,1
Hexdrinker,3155,0.68,100.0,-18.58,1
Caulfield's Warhammer,3133,0.68,100.0,-26.86,1
Maw of Malmortius,3156,0.68,100.0,7.08,1
