Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,87.8,41.67,18.36,36
Ruby Crystal,1028,82.93,35.29,11.64,34
Giant's Belt,1011,75.61,38.71,10.86,31
Cloth Armor,1029,65.85,37.04,12.64,27
Stealth Ward,3340,60.98,40.0,12.93,25
Doran's Ring,1056,58.54,37.5,23.08,24
Heartsteel,3084,53.66,36.36,14.55,22
Control Ward,2055,51.22,57.14,23.72,21
Amplifying Tome,1052,48.78,50.0,9.11,20
Chain Vest,1031,48.78,35.0,12.99,20
Boots,1001,46.34,31.58,14.35,19
Slightly Magical Footwear,2422,43.9,44.44,21.46,18
Bramble Vest,3076,41.46,47.06,0.72,17
Null-Magic Mantle,1033,41.46,11.76,15.71,17
Fiendish Codex,3108,41.46,47.06,23.17,17
Hextech Alternator,3145,41.46,47.06,16.87,17
Crystalline Bracer,3801,39.02,25.0,10.94,16
Glowing Mote,2022,39.02,43.75,17.49,16
Hextech Rocketbelt,3152,39.02,43.75,25.49,16
Plated Steelcaps,3047,36.59,66.67,22.75,15
Bami's Cinder,6660,34.15,64.29,26.35,14
Unending Despair,2502,34.15,50.0,4.93,14
Haunting Guise,3147,31.71,23.08,7.56,13
Riftmaker,4633,31.71,38.46,20.76,13
Boots of Swiftness,3009,31.71,7.69,9.83,13
Mercury's Treads,3111,26.83,36.36,19.74,11
Rejuvenation Bead,1006,26.83,36.36,10.84,11
Thornmail,3075,26.83,54.55,-9.35,11
Aegis of the Legion,3105,26.83,54.55,0.55,11
Oracle Lens,3364,26.83,36.36,18.64,11
Sunfire Aegis,3068,24.39,50.0,12.81,10
Negatron Cloak,1057,24.39,30.0,-2.43,10
Doran's Shield,1054,24.39,40.0,1.68,10
Winged Moonplate,3066,21.95,22.22,13.0,9
Refillable Potion,2031,19.51,50.0,14.87,8
Spectre's Cowl,3211,17.07,57.14,48.61,7
Armored Advance,3174,17.07,85.71,6.0,7
Dead Man's Plate,3742,17.07,14.29,13.89,7
Aether Wisp,3113,12.2,40.0,28.85,5
Hollow Radiance,6664,12.2,60.0,55.08,5
"Jak'Sho, The Protean",6665,12.2,40.0,-22.52,5
Elixir of Iron,2138,12.2,60.0,-24.65,5
Gustwalker Hatchling,1102,12.2,40.0,37.19,5
Swiftmarch,3170,9.76,0.0,-13.68,4
Warden's Mail,3082,9.76,25.0,13.92,4
Bandleglass Mirror,4642,7.32,33.33,52.66,3
Shurelya's Battlesong,2065,7.32,33.33,51.81,3
Kaenic Rookern,2504,7.32,33.33,39.45,3
Force of Nature,4401,7.32,33.33,23.63,3
Kindlegem,3067,7.32,66.67,-16.58,3
Cosmic Drive,4629,4.88,50.0,65.65,2
Rod of Ages,6657,4.88,100.0,0.44,2
Chainlaced Crushers,3173,4.88,50.0,-0.31,2
Warmog's Armor,3083,4.88,0.0,20.6,2
World Atlas,3865,4.88,50.0,24.89,2
Runic Compass,3866,4.88,50.0,28.98,2
Bounty of Worlds,3867,4.88,50.0,29.77,2
Symbiotic Soles,3010,4.88,50.0,18.01,2
Scorchclaw Pup,1101,4.88,0.0,-32.79,2
Blasting Wand,1026,2.44,100.0,17.89,1
Total Biscuit of Everlasting Will,2010,2.44,0.0,27.2,1
Faerie Charm,1004,2.44,0.0,36.14,1
Trailblazer,3002,2.44,0.0,32.86,1
Abyssal Mask,8020,2.44,100.0,-57.65,1
Dark Seal,1082,2.44,0.0,9.59,1
Synchronized Souls,3013,2.44,100.0,0,1
Forever Forward,3176,2.44,100.0,0,1
Randuin's Omen,3143,2.44,0.0,-6.2,1
Elixir of Avarice,2151,2.44,100.0,0,1
Elixir of Skill,2150,2.44,100.0,4.77,1
Elixir of Force,2152,2.44,100.0,28.51,1
Sapphire Crystal,1027,2.44,100.0,-15.18,1
Catalyst of Aeons,3803,2.44,100.0,-10.51,1
Eye of the Herald,3513,2.44,0.0,82.25,1
Seeker's Armguard,2420,2.44,0.0,8.39,1
Needlessly Large Rod,1058,2.44,0.0,-21.87,1
Shattered Armguard,2421,2.44,0.0,0,1
Zhonya's Hourglass,3157,2.44,0.0,0,1
Oblivion Orb,3916,2.44,0.0,64.35,1
Morellonomicon,3165,2.44,0.0,75.01,1
