Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,40.0,16.84,70
Long Sword,1036,94.29,40.91,15.2,66
Ruby Crystal,1028,88.57,38.71,8.75,62
Phage,3044,85.71,38.33,20.26,60
Boots,1001,81.43,36.84,20.55,57
Stridebreaker,6631,70.0,40.82,13.42,49
Tunneler,2021,67.14,46.81,14.24,47
Doran's Blade,1055,64.29,42.22,14.58,45
Dagger,1042,64.29,42.22,20.0,45
Pickaxe,1037,62.86,45.45,10.02,44
Winged Moonplate,3066,62.86,47.73,10.83,44
Plated Steelcaps,3047,55.71,48.72,15.24,39
Tiamat,3077,54.29,47.37,14.37,38
Chain Vest,1031,52.86,48.65,15.6,37
Cloth Armor,1029,50.0,40.0,10.52,35
Stealth Ward,3340,50.0,31.43,5.05,35
Dead Man's Plate,3742,44.29,54.84,20.48,31
Sterak's Gage,3053,42.86,50.0,16.21,30
Negatron Cloak,1057,42.86,36.67,7.36,30
Doran's Shield,1054,35.71,44.0,3.19,25
Null-Magic Mantle,1033,32.86,21.74,17.24,23
Mercury's Treads,3111,31.43,27.27,17.57,22
Force of Nature,4401,30.0,42.86,11.15,21
Control Ward,2055,28.57,35.0,13.93,20
Armored Advance,3174,24.29,58.82,8.98,17
Refillable Potion,2031,22.86,37.5,14.14,16
Trinity Force,3078,21.43,53.33,27.79,15
Boots of Swiftness,3009,14.29,30.0,37.09,10
Oracle Lens,3364,14.29,10.0,-0.17,10
Hearthbound Axe,3051,12.86,55.56,7.27,9
Spear of Shojin,3161,11.43,75.0,18.8,8
Steel Sigil,2019,11.43,37.5,13.96,8
Death's Dance,6333,11.43,50.0,17.91,8
Sheen,3057,11.43,37.5,23.09,8
Glowing Mote,2022,10.0,42.86,6.85,7
Caulfield's Warhammer,3133,8.57,33.33,8.33,6
Bramble Vest,3076,8.57,16.67,-16.44,6
Randuin's Omen,3143,7.14,20.0,-8.89,5
Serrated Dirk,3134,7.14,20.0,5.46,5
Youmuu's Ghostblade,3142,7.14,20.0,-3.16,5
Executioner's Calling,3123,7.14,20.0,12.93,5
Warden's Mail,3082,5.71,0.0,23.17,4
Swiftmarch,3170,5.71,25.0,-1.97,4
Rectrix,6690,5.71,25.0,5.0,4
Spectre's Cowl,3211,5.71,50.0,-4.62,4
Farsight Alteration,3363,5.71,50.0,15.87,4
Giant's Belt,1011,4.29,0.0,-1.62,3
Chainlaced Crushers,3173,4.29,66.67,-32.75,3
Black Cleaver,3071,4.29,0.0,39.21,3
"Jak'Sho, The Protean",6665,4.29,33.33,-12.98,3
Elixir of Wrath,2140,4.29,66.67,4.43,3
Eye of the Herald,3513,4.29,33.33,-7.87,3
Rejuvenation Bead,1006,2.86,0.0,10.94,2
Kaenic Rookern,2504,2.86,0.0,-49.79,2
Kindlegem,3067,2.86,0.0,77.6,2
Gustwalker Hatchling,1102,2.86,0.0,21.71,2
Thornmail,3075,2.86,0.0,-42.87,2
Sundered Sky,6610,1.43,0.0,27.24,1
Last Whisper,3035,1.43,100.0,23.53,1
Cloak of Agility,1018,1.43,100.0,9.81,1
Mortal Reminder,3033,1.43,100.0,4.93,1
Cull,1083,1.43,0.0,-0.81,1
Slightly Magical Footwear,2422,1.43,100.0,98.35,1
Mosstomper Seedling,1103,1.43,0.0,-34.45,1
Elixir of Iron,2138,1.43,0.0,0,1
Scorchclaw Pup,1101,1.43,0.0,19.17,1
