Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Giant's Belt,1011,97.78,48.86,13.95,88
Heartsteel,3084,97.78,48.86,14.12,88
Ruby Crystal,1028,93.33,47.62,11.94,84
Slightly Magical Footwear,2422,76.67,53.62,15.3,69
Health Potion,2003,75.56,48.53,18.89,68
Stealth Ward,3340,72.22,47.69,8.65,65
Crystalline Bracer,3801,67.78,50.82,12.09,61
Boots of Swiftness,3009,63.33,49.12,18.42,57
Doran's Shield,1054,50.0,44.44,19.22,45
Warmog's Armor,3083,47.78,53.49,21.7,43
Spirit Visage,3065,44.44,55.0,12.85,40
Gustwalker Hatchling,1102,44.44,52.5,16.84,40
Control Ward,2055,43.33,56.41,13.87,39
Oracle Lens,3364,43.33,53.85,5.05,39
Rejuvenation Bead,1006,41.11,37.84,12.52,37
Spectre's Cowl,3211,40.0,44.44,5.7,36
Cloth Armor,1029,40.0,50.0,15.47,36
Dead Man's Plate,3742,36.67,57.58,6.05,33
Winged Moonplate,3066,33.33,56.67,8.75,30
Titanic Hydra,3748,32.22,55.17,25.71,29
Chain Vest,1031,32.22,51.72,2.28,29
Kindlegem,3067,31.11,50.0,8.67,28
Tunneler,2021,31.11,57.14,10.27,28
Null-Magic Mantle,1033,27.78,44.0,6.74,25
Long Sword,1036,26.67,58.33,21.28,24
Bramble Vest,3076,26.67,41.67,10.12,24
Tiamat,3077,25.56,60.87,27.2,23
Plated Steelcaps,3047,21.11,57.89,8.62,19
Eye of the Herald,3513,20.0,77.78,11.92,18
Swiftmarch,3170,20.0,66.67,20.78,18
Thornmail,3075,17.78,68.75,5.26,16
Aegis of the Legion,3105,11.11,50.0,0.14,10
Overlord's Bloodmail,2501,11.11,50.0,-6.07,10
Mercury's Treads,3111,10.0,44.44,-5.19,9
Boots,1001,10.0,22.22,-5.22,9
Armored Advance,3174,10.0,77.78,6.06,9
Total Biscuit of Everlasting Will,2010,8.89,25.0,15.77,8
Glowing Mote,2022,8.89,62.5,17.2,8
Unending Despair,2502,7.78,42.86,5.1,7
Refillable Potion,2031,7.78,57.14,22.78,7
Warden's Mail,3082,6.67,33.33,17.34,6
Elixir of Iron,2138,6.67,83.33,-35.16,6
Randuin's Omen,3143,5.56,40.0,32.41,5
Chainlaced Crushers,3173,3.33,33.33,0,3
Farsight Alteration,3363,2.22,0.0,33.3,2
Scorchclaw Pup,1101,2.22,100.0,3.4,2
Mosstomper Seedling,1103,2.22,0.0,56.74,2
Bami's Cinder,6660,1.11,0.0,15.66,1
Hollow Radiance,6664,1.11,0.0,-1.89,1
