Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Doran's Blade,1055,100.0,51.43,9.11,35
Health Potion,2003,100.0,51.43,18.95,35
Long Sword,1036,100.0,51.43,14.52,35
Pickaxe,1037,94.29,51.52,13.82,33
B. F. Sword,1038,94.29,54.55,7.19,33
Boots,1001,88.57,51.61,16.88,31
Bloodthirster,3072,88.57,51.61,8.21,31
Infinity Edge,3031,77.14,55.56,5.6,27
Stealth Ward,3340,74.29,38.46,-4.13,26
Berserker's Greaves,3006,74.29,50.0,10.78,26
Cloak of Agility,1018,71.43,48.0,12.71,25
Last Whisper,3035,62.86,59.09,22.82,22
Vampiric Scepter,1053,62.86,50.0,4.98,22
Serrated Dirk,3134,57.14,45.0,14.96,20
Farsight Alteration,3363,54.29,42.11,-4.13,19
Dagger,1042,54.29,47.37,18.87,19
The Collector,6676,51.43,55.56,25.62,18
Lord Dominik's Regards,3036,45.71,43.75,22.72,16
Noonquiver,6670,40.0,50.0,20.41,14
Control Ward,2055,25.71,55.56,15.8,9
Gunmetal Greaves,3172,25.71,77.78,2.77,9
Immortal Shieldbow,6673,14.29,80.0,25.48,5
Caulfield's Warhammer,3133,14.29,60.0,34.76,5
Hubris,6697,14.29,60.0,44.28,5
Elixir of Wrath,2140,11.43,75.0,44.99,4
Mortal Reminder,3033,11.43,100.0,9.39,4
Null-Magic Mantle,1033,8.57,66.67,-10.28,3
Executioner's Calling,3123,8.57,100.0,43.04,3
Plated Steelcaps,3047,8.57,33.33,8.9,3
Zeal,3086,8.57,33.33,0,3
Total Biscuit of Everlasting Will,2010,8.57,33.33,26.74,3
Mercury's Treads,3111,5.71,100.0,-15.03,2
Rapid Firecannon,3094,5.71,100.0,3.1,2
Scout's Slingshot,3144,2.86,100.0,19.05,1
Yun Tal Wildarrows,3032,2.86,100.0,25.43,1
Refillable Potion,2031,2.86,100.0,48.0,1
Cloth Armor,1029,2.86,0.0,-23.01,1
Glowing Mote,2022,2.86,100.0,11.27,1
Boots of Swiftness,3009,2.86,100.0,-10.8,1
Hexdrinker,3155,2.86,0.0,13.62,1
Tear of the Goddess,3070,2.86,0.0,0,1
Slightly Magical Footwear,2422,2.86,100.0,34.42,1
Armored Advance,3174,2.86,100.0,0,1
