Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Amplifying Tome,1052,100.0,50.0,12.65,30
Stealth Ward,3340,93.33,50.0,11.93,28
Hextech Alternator,3145,93.33,46.43,14.25,28
Stormsurge,4646,93.33,50.0,14.94,28
Oracle Lens,3364,93.33,46.43,10.4,28
Sorcerer's Shoes,3020,93.33,50.0,12.27,28
Control Ward,2055,86.67,50.0,11.31,26
Boots,1001,80.0,50.0,15.7,24
Needlessly Large Rod,1058,80.0,58.33,13.31,24
Health Potion,2003,76.67,52.17,7.32,23
Aether Wisp,3113,66.67,40.0,15.29,20
Shadowflame,4645,66.67,65.0,20.23,20
Gustwalker Hatchling,1102,46.67,57.14,24.47,14
Zhonya's Hourglass,3157,43.33,61.54,32.34,13
Dark Seal,1082,43.33,38.46,-6.16,13
Seeker's Armguard,2420,43.33,46.15,20.51,13
Eye of the Herald,3513,33.33,80.0,16.46,10
Spellslinger's Shoes,3175,33.33,80.0,-9.87,10
World Atlas,3865,33.33,40.0,27.22,10
Runic Compass,3866,33.33,40.0,4.7,10
Bounty of Worlds,3867,33.33,40.0,5.37,10
Scorchclaw Pup,1101,23.33,57.14,59.17,7
Rabadon's Deathcap,3089,20.0,50.0,-25.7,6
Cloth Armor,1029,20.0,66.67,12.71,6
Blasting Wand,1026,16.67,60.0,25.55,5
Shattered Armguard,2421,16.67,40.0,44.91,5
Blighting Jewel,4630,13.33,75.0,-42.48,4
Lich Bane,3100,10.0,66.67,29.01,3
Mejai's Soulstealer,3041,10.0,100.0,-26.34,3
Fiendish Codex,3108,10.0,0.0,15.58,3
Void Staff,3135,6.67,100.0,0,2
Sheen,3057,6.67,100.0,9.56,2
Glowing Mote,2022,6.67,50.0,54.39,2
Haunting Guise,3147,6.67,50.0,-22.99,2
Hextech Rocketbelt,3152,6.67,0.0,24.14,2
Fated Ashes,2508,6.67,0.0,-16.5,2
Elixir of Sorcery,2139,6.67,50.0,0,2
Mercury's Treads,3111,3.33,0.0,11.59,1
Kindlegem,3067,3.33,0.0,20.83,1
Spirit Visage,3065,3.33,0.0,0,1
Slightly Magical Footwear,2422,3.33,100.0,-17.44,1
Refillable Potion,2031,3.33,0.0,23.4,1
Ruby Crystal,1028,3.33,0.0,0,1
Null-Magic Mantle,1033,3.33,0.0,7.24,1
Verdant Barrier,4632,3.33,0.0,0,1
Farsight Alteration,3363,3.33,0.0,-35.35,1
Long Sword,1036,3.33,0.0,0.1,1
Symbiotic Soles,3010,3.33,100.0,13.72,1
Oblivion Orb,3916,3.33,100.0,63.48,1
Giant's Belt,1011,3.33,100.0,17.95,1
Rylai's Crystal Scepter,3116,3.33,100.0,18.66,1
Watchful Wardstone,4638,3.33,100.0,52.27,1
Vigilant Wardstone,4643,3.33,100.0,70.95,1
Morellonomicon,3165,3.33,100.0,0,1
Liandry's Torment,6653,3.33,0.0,0,1
Recurve Bow,1043,3.33,0.0,6.3,1
Nashor's Tooth,3115,3.33,0.0,11.47,1
