Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Sorcerer's Shoes,3020,96.15,52.0,19.39,25
Stealth Ward,3340,92.31,50.0,16.91,24
Needlessly Large Rod,1058,92.31,50.0,14.48,24
Gustwalker Hatchling,1102,92.31,50.0,20.85,24
Amplifying Tome,1052,80.77,47.62,10.89,21
Boots,1001,76.92,60.0,23.31,20
Lich Bane,3100,76.92,55.0,22.66,20
Rabadon's Deathcap,3089,73.08,57.89,17.23,19
Health Potion,2003,69.23,55.56,20.09,18
Blasting Wand,1026,69.23,55.56,18.77,18
Dark Seal,1082,69.23,66.67,9.49,18
Aether Wisp,3113,61.54,56.25,23.21,16
Control Ward,2055,46.15,50.0,5.36,12
Oracle Lens,3364,38.46,40.0,8.54,10
Blighting Jewel,4630,38.46,60.0,9.88,10
Hextech Alternator,3145,38.46,40.0,1.64,10
Shadowflame,4645,38.46,40.0,6.7,10
Sheen,3057,34.62,55.56,19.42,9
Void Staff,3135,34.62,66.67,-7.34,9
Spellslinger's Shoes,3175,30.77,62.5,8.44,8
Eye of the Herald,3513,30.77,75.0,22.75,8
Mejai's Soulstealer,3041,26.92,71.43,26.35,7
Glowing Mote,2022,23.08,50.0,15.07,6
Stormsurge,4646,23.08,33.33,24.81,6
Farsight Alteration,3363,15.38,75.0,35.75,4
Oblivion Orb,3916,11.54,33.33,28.06,3
Banshee's Veil,3102,11.54,33.33,17.74,3
Elixir of Sorcery,2139,11.54,66.67,6.39,3
Hextech Rocketbelt,3152,11.54,100.0,-32.82,3
Slightly Magical Footwear,2422,7.69,0.0,4.13,2
World Atlas,3865,3.85,0.0,131.41,1
Runic Compass,3866,3.85,0.0,-18.04,1
Bounty of Worlds,3867,3.85,0.0,-9.86,1
Ruby Crystal,1028,3.85,0.0,0,1
Kindlegem,3067,3.85,0.0,0,1
Null-Magic Mantle,1033,3.85,0.0,0,1
Seeker's Armguard,2420,3.85,100.0,48.58,1
Shattered Armguard,2421,3.85,100.0,0,1
Zhonya's Hourglass,3157,3.85,100.0,0,1
Guardian Angel,3026,3.85,100.0,-16.12,1
Doran's Ring,1056,3.85,100.0,0,1
Boots of Swiftness,3009,3.85,0.0,-13.46,1
Fiendish Codex,3108,3.85,100.0,2.87,1
Verdant Barrier,4632,3.85,0.0,8.25,1
