Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,52.17,13.95,23
Trinity Force,3078,95.65,54.55,34.8,22
Boots,1001,95.65,54.55,20.46,22
Phage,3044,91.3,47.62,23.88,21
Long Sword,1036,82.61,47.37,25.98,19
Doran's Blade,1055,73.91,52.94,19.9,17
Ruby Crystal,1028,73.91,41.18,19.72,17
Stealth Ward,3340,65.22,60.0,7.78,15
Plated Steelcaps,3047,65.22,53.33,29.22,15
Pickaxe,1037,56.52,61.54,9.27,13
Control Ward,2055,56.52,69.23,12.77,13
Hearthbound Axe,3051,52.17,58.33,25.61,12
Tunneler,2021,52.17,41.67,13.92,12
Glowing Mote,2022,52.17,50.0,24.73,12
Black Cleaver,3071,52.17,58.33,6.76,12
Sheen,3057,52.17,58.33,26.38,12
Dagger,1042,43.48,50.0,27.95,10
Cloth Armor,1029,43.48,60.0,32.67,10
Sterak's Gage,3053,39.13,33.33,-11.86,9
Mercury's Treads,3111,34.78,50.0,22.78,8
Negatron Cloak,1057,34.78,50.0,0.26,8
Refillable Potion,2031,30.43,42.86,9.82,7
Doran's Shield,1054,26.09,50.0,-15.18,6
Kindlegem,3067,26.09,50.0,7.39,6
Null-Magic Mantle,1033,26.09,33.33,9.49,6
Recurve Bow,1043,26.09,50.0,19.31,6
Wit's End,3091,26.09,50.0,-1.1,6
Warden's Mail,3082,26.09,50.0,45.75,6
Giant's Belt,1011,26.09,66.67,21.39,6
Randuin's Omen,3143,21.74,60.0,47.69,5
Bramble Vest,3076,21.74,40.0,16.55,5
Cull,1083,13.04,0.0,22.26,3
Boots of Swiftness,3009,13.04,66.67,14.42,3
Thornmail,3075,13.04,33.33,-5.14,3
Oracle Lens,3364,8.7,100.0,9.89,2
Vampiric Scepter,1053,8.7,100.0,0,2
Force of Nature,4401,8.7,50.0,9.5,2
Armored Advance,3174,8.7,50.0,44.44,2
Eye of the Herald,3513,8.7,100.0,8.96,2
Chainlaced Crushers,3173,8.7,100.0,19.66,2
Spectre's Cowl,3211,8.7,100.0,-6.38,2
Kaenic Rookern,2504,8.7,100.0,-20.29,2
Swiftmarch,3170,8.7,50.0,10.59,2
Farsight Alteration,3363,8.7,0.0,11.65,2
Winged Moonplate,3066,8.7,50.0,0,2
"Jak'Sho, The Protean",6665,4.35,100.0,0,1
Total Biscuit of Everlasting Will,2010,4.35,0.0,-4.25,1
Chain Vest,1031,4.35,0.0,-2.74,1
Rejuvenation Bead,1006,4.35,100.0,43.52,1
Crystalline Bracer,3801,4.35,100.0,16.32,1
Heartsteel,3084,4.35,100.0,22.5,1
