Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Amplifying Tome,1052,93.55,27.59,17.47,29
Health Potion,2003,90.32,28.57,19.74,28
Boots,1001,74.19,21.74,13.45,23
Aether Wisp,3113,70.97,31.82,0.41,22
Stealth Ward,3340,67.74,33.33,29.62,21
Doran's Ring,1056,64.52,25.0,7.64,20
Fiendish Codex,3108,51.61,18.75,8.55,16
Ionian Boots of Lucidity,3158,48.39,26.67,29.0,15
Sorcerer's Shoes,3020,45.16,28.57,-4.24,14
Glowing Mote,2022,45.16,21.43,17.4,14
Needlessly Large Rod,1058,41.94,38.46,3.98,13
Hextech Alternator,3145,41.94,38.46,14.68,13
Total Biscuit of Everlasting Will,2010,41.94,15.38,10.41,13
Blasting Wand,1026,41.94,7.69,8.34,13
Ruby Crystal,1028,41.94,30.77,17.79,13
Cosmic Drive,4629,41.94,23.08,-8.04,13
Refillable Potion,2031,38.71,16.67,11.9,12
Rod of Ages,6657,38.71,16.67,26.97,12
Sapphire Crystal,1027,38.71,25.0,11.09,12
Control Ward,2055,35.48,27.27,6.18,11
Tear of the Goddess,3070,35.48,27.27,8.7,11
Catalyst of Aeons,3803,35.48,18.18,18.35,11
Kindlegem,3067,32.26,20.0,4.53,10
Oracle Lens,3364,32.26,20.0,26.54,10
Lost Chapter,3802,32.26,30.0,11.64,10
Stormsurge,4646,29.03,55.56,4.29,9
Hextech Rocketbelt,3152,25.81,37.5,23.0,8
Lich Bane,3100,22.58,42.86,24.65,7
Shadowflame,4645,22.58,42.86,23.54,7
Sheen,3057,19.35,33.33,26.01,6
Winter's Approach,3119,19.35,16.67,10.15,6
Blighting Jewel,4630,19.35,50.0,-17.0,6
Gustwalker Hatchling,1102,16.13,40.0,15.69,5
Cloth Armor,1029,16.13,20.0,-6.96,5
Spellslinger's Shoes,3175,12.9,25.0,4.0,4
Seeker's Armguard,2420,9.68,33.33,-16.1,3
Shattered Armguard,2421,9.68,33.33,-41.49,3
Zhonya's Hourglass,3157,9.68,33.33,-41.49,3
Luden's Companion,6655,9.68,33.33,-2.91,3
World Atlas,3865,9.68,33.33,62.83,3
Runic Compass,3866,9.68,33.33,23.07,3
Bounty of Worlds,3867,9.68,33.33,19.8,3
Mercury's Treads,3111,6.45,50.0,-14.41,2
Dark Seal,1082,6.45,0.0,1.93,2
Slightly Magical Footwear,2422,6.45,0.0,13.91,2
Giant's Belt,1011,6.45,0.0,-13.9,2
Archangel's Staff,3003,6.45,50.0,-17.38,2
Rabadon's Deathcap,3089,6.45,100.0,-4.56,2
Crimson Lucidity,3171,6.45,100.0,39.05,2
Eye of the Herald,3513,3.23,100.0,-3.83,1
Symbiotic Soles,3010,3.23,100.0,16.84,1
Synchronized Souls,3013,3.23,100.0,-11.5,1
Forever Forward,3176,3.23,100.0,-11.5,1
Void Staff,3135,3.23,0.0,0,1
Null-Magic Mantle,1033,3.23,0.0,17.07,1
Locket of the Iron Solari,3190,3.23,0.0,27.67,1
Glacial Buckler,3024,3.23,0.0,-10.92,1
Warden's Mail,3082,3.23,0.0,-29.83,1
Frozen Heart,3110,3.23,0.0,0,1
Farsight Alteration,3363,3.23,0.0,69.85,1
Thornmail,3075,3.23,100.0,34.5,1
Cryptbloom,3137,3.23,100.0,-55.79,1
Elixir of Sorcery,2139,3.23,100.0,-51.36,1
Elixir of Iron,2138,3.23,100.0,0,1
Riftmaker,4633,3.23,100.0,0,1
Rejuvenation Bead,1006,3.23,0.0,0,1
Spectre's Cowl,3211,3.23,0.0,0,1
