Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Stealth Ward,3340,96.0,41.67,24.98,24
Long Sword,1036,92.0,47.83,21.03,23
Serrated Dirk,3134,92.0,43.48,15.07,23
Pickaxe,1037,88.0,50.0,14.88,22
The Collector,6676,84.0,38.1,9.1,21
Scorchclaw Pup,1101,76.0,47.37,16.04,19
Youmuu's Ghostblade,3142,76.0,42.11,22.62,19
Oracle Lens,3364,76.0,42.11,26.34,19
Plated Steelcaps,3047,64.0,37.5,9.85,16
Cloak of Agility,1018,64.0,37.5,17.64,16
Last Whisper,3035,60.0,46.67,11.16,15
Control Ward,2055,60.0,53.33,13.63,15
Boots,1001,60.0,46.67,27.19,15
Rectrix,6690,52.0,30.77,28.08,13
Health Potion,2003,48.0,58.33,-3.63,12
Lord Dominik's Regards,3036,40.0,50.0,1.99,10
Noonquiver,6670,40.0,40.0,11.05,10
Eye of the Herald,3513,36.0,55.56,16.5,9
Immortal Shieldbow,6673,32.0,50.0,11.3,8
Gustwalker Hatchling,1102,28.0,42.86,48.83,7
Cloth Armor,1029,28.0,42.86,7.0,7
B. F. Sword,1038,24.0,33.33,23.76,6
Executioner's Calling,3123,20.0,40.0,22.63,5
Mercury's Treads,3111,20.0,60.0,22.62,5
Slightly Magical Footwear,2422,20.0,60.0,35.17,5
Armored Advance,3174,20.0,60.0,18.21,5
Mortal Reminder,3033,20.0,40.0,76.07,5
Caulfield's Warhammer,3133,16.0,75.0,11.06,4
Hubris,6697,16.0,50.0,28.67,4
Null-Magic Mantle,1033,16.0,75.0,19.48,4
Infinity Edge,3031,16.0,50.0,50.71,4
Ruby Crystal,1028,16.0,50.0,29.82,4
Glowing Mote,2022,12.0,66.67,16.27,3
Phage,3044,12.0,66.67,43.63,3
Black Cleaver,3071,12.0,66.67,45.88,3
Chainlaced Crushers,3173,8.0,100.0,64.92,2
Tunneler,2021,8.0,100.0,23.25,2
Giant's Belt,1011,8.0,100.0,28.31,2
Voltaic Cyclosword,6699,8.0,0.0,42.86,2
Boots of Swiftness,3009,8.0,0.0,115.8,2
Elixir of Wrath,2140,8.0,50.0,14.09,2
Doran's Blade,1055,4.0,0.0,6.72,1
Refillable Potion,2031,4.0,0.0,26.7,1
Vampiric Scepter,1053,4.0,0.0,50.7,1
Bloodthirster,3072,4.0,0.0,13.6,1
Farsight Alteration,3363,4.0,100.0,25.2,1
Spear of Shojin,3161,4.0,100.0,0,1
Chain Vest,1031,4.0,100.0,0,1
The Brutalizer,2020,4.0,0.0,14.06,1
Axiom Arc,6696,4.0,0.0,-29.73,1
Berserker's Greaves,3006,4.0,100.0,90.04,1
Gunmetal Greaves,3172,4.0,100.0,0,1
Sundered Sky,6610,4.0,100.0,9.67,1
Death's Dance,6333,4.0,100.0,28.45,1
Rejuvenation Bead,1006,4.0,100.0,28.31,1
Crystalline Bracer,3801,4.0,100.0,0,1
Heartsteel,3084,4.0,100.0,0,1
