Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Gustwalker Hatchling,1102,100.0,53.12,20.1,32
Long Sword,1036,96.88,51.61,10.07,31
Pickaxe,1037,96.88,51.61,14.3,31
Stealth Ward,3340,93.75,56.67,10.37,30
Ruby Crystal,1028,90.62,51.72,10.87,29
Ionian Boots of Lucidity,3158,84.38,55.56,16.47,27
Spear of Shojin,3161,81.25,53.85,16.25,26
Caulfield's Warhammer,3133,75.0,58.33,14.16,24
Oracle Lens,3364,71.88,56.52,13.44,23
Tunneler,2021,71.88,43.48,8.42,23
Health Potion,2003,62.5,55.0,10.9,20
Black Cleaver,3071,59.38,52.63,21.04,19
Steel Sigil,2019,50.0,56.25,7.76,16
Control Ward,2055,46.88,53.33,9.49,15
Eye of the Herald,3513,43.75,71.43,14.26,14
Glowing Mote,2022,43.75,57.14,20.86,14
Eclipse,6692,40.62,53.85,16.17,13
Death's Dance,6333,40.62,46.15,2.5,13
Boots,1001,40.62,53.85,5.11,13
Phage,3044,40.62,38.46,17.13,13
Cloth Armor,1029,34.38,45.45,10.28,11
Kindlegem,3067,31.25,40.0,2.7,10
Crimson Lucidity,3171,28.12,88.89,28.72,9
Serrated Dirk,3134,25.0,75.0,23.36,8
Null-Magic Mantle,1033,25.0,50.0,0.5,8
Hexdrinker,3155,25.0,50.0,-15.11,8
Maw of Malmortius,3156,21.88,71.43,-30.65,7
Youmuu's Ghostblade,3142,12.5,75.0,-0.77,4
Elixir of Iron,2138,12.5,75.0,45.49,4
Rectrix,6690,9.38,66.67,-5.0,3
Serylda's Grudge,6694,9.38,66.67,15.64,3
Sterak's Gage,3053,9.38,0.0,-15.27,3
Profane Hydra,6698,9.38,66.67,35.82,3
Mercury's Treads,3111,6.25,50.0,-18.09,2
Chainlaced Crushers,3173,6.25,50.0,-36.42,2
Farsight Alteration,3363,6.25,50.0,83.39,2
Boots of Swiftness,3009,6.25,50.0,2.42,2
Tiamat,3077,6.25,50.0,34.3,2
The Brutalizer,2020,6.25,50.0,45.84,2
Last Whisper,3035,6.25,50.0,15.85,2
Hubris,6697,3.12,100.0,-9.88,1
Chain Vest,1031,3.12,100.0,-21.36,1
"Jak'Sho, The Protean",6665,3.12,100.0,0,1
Rejuvenation Bead,1006,3.12,100.0,0.18,1
Spirit Visage,3065,3.12,100.0,0,1
Executioner's Calling,3123,3.12,0.0,41.71,1
Spectre's Cowl,3211,3.12,0.0,0,1
Overlord's Bloodmail,2501,3.12,0.0,-31.49,1
Bramble Vest,3076,3.12,100.0,6.68,1
Thornmail,3075,3.12,100.0,0,1
Plated Steelcaps,3047,3.12,0.0,-32.97,1
Serpent's Fang,6695,3.12,100.0,100.13,1
Swiftmarch,3170,3.12,100.0,-19.28,1
B. F. Sword,1038,3.12,100.0,-18.04,1
Guardian Angel,3026,3.12,100.0,-14.96,1
Elixir of Wrath,2140,3.12,100.0,-14.07,1
Slightly Magical Footwear,2422,3.12,0.0,11.74,1
