Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,48.0,12.36,50
Amplifying Tome,1052,98.0,46.94,14.61,49
Lost Chapter,3802,98.0,48.98,14.58,49
Boots,1001,84.0,50.0,12.2,42
Stealth Ward,3340,84.0,50.0,11.68,42
Doran's Ring,1056,82.0,53.66,15.37,41
Fated Ashes,2508,80.0,45.0,9.85,40
Blackfire Torch,2503,78.0,53.85,16.87,39
Needlessly Large Rod,1058,74.0,51.35,14.91,37
Liandry's Torment,6653,68.0,50.0,3.21,34
Sorcerer's Shoes,3020,64.0,53.12,13.81,32
Haunting Guise,3147,60.0,43.33,9.92,30
Control Ward,2055,50.0,60.0,10.25,25
Hextech Alternator,3145,48.0,45.83,15.95,24
Farsight Alteration,3363,46.0,60.87,14.78,23
Shadowflame,4645,44.0,40.91,28.82,22
Refillable Potion,2031,40.0,35.0,7.21,20
Sapphire Crystal,1027,34.0,47.06,12.7,17
Spellslinger's Shoes,3175,32.0,68.75,9.3,16
Glowing Mote,2022,30.0,40.0,18.29,15
Ionian Boots of Lucidity,3158,30.0,53.33,4.79,15
Ruby Crystal,1028,26.0,30.77,0.87,13
Fiendish Codex,3108,24.0,58.33,10.83,12
Rabadon's Deathcap,3089,24.0,41.67,-5.12,12
Horizon Focus,4628,20.0,60.0,8.11,10
Dark Seal,1082,20.0,80.0,7.3,10
Oracle Lens,3364,20.0,30.0,3.17,10
World Atlas,3865,14.0,28.57,8.7,7
Runic Compass,3866,14.0,28.57,21.8,7
Bounty of Worlds,3867,14.0,28.57,22.2,7
Blasting Wand,1026,14.0,71.43,21.19,7
Luden's Companion,6655,12.0,33.33,16.11,6
Tear of the Goddess,3070,12.0,50.0,-0.5,6
Elixir of Sorcery,2139,10.0,20.0,-22.95,5
Seeker's Armguard,2420,10.0,40.0,-7.31,5
Crimson Lucidity,3171,10.0,60.0,-8.9,5
Archangel's Staff,3003,10.0,40.0,5.57,5
Oblivion Orb,3916,10.0,20.0,39.94,5
Total Biscuit of Everlasting Will,2010,10.0,40.0,1.53,5
Blighting Jewel,4630,8.0,50.0,-16.94,4
Zhonya's Hourglass,3157,6.0,33.33,-3.16,3
Slightly Magical Footwear,2422,6.0,33.33,45.16,3
Void Staff,3135,6.0,33.33,-12.96,3
Cloth Armor,1029,4.0,0.0,0,2
Kindlegem,3067,4.0,50.0,0,2
Boots of Swiftness,3009,4.0,0.0,49.59,2
Verdant Barrier,4632,4.0,0.0,-1.96,2
Banshee's Veil,3102,4.0,0.0,67.7,2
Elixir of Avarice,2151,2.0,100.0,0,1
Elixir of Force,2152,2.0,100.0,13.91,1
Elixir of Skill,2150,2.0,100.0,63.13,1
Symbiotic Soles,3010,2.0,0.0,9.83,1
Shattered Armguard,2421,2.0,0.0,-20.12,1
Null-Magic Mantle,1033,2.0,0.0,17.06,1
Catalyst of Aeons,3803,2.0,100.0,5.77,1
Rod of Ages,6657,2.0,100.0,-21.19,1
Swiftmarch,3170,2.0,0.0,76.59,1
