Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,55.56,20.66,54
Blade of The Ruined King,3153,98.15,56.6,31.46,53
Doran's Blade,1055,96.3,53.85,-1.34,52
Vampiric Scepter,1053,96.3,55.77,26.17,52
Dagger,1042,90.74,53.06,16.97,49
Recurve Bow,1043,88.89,54.17,17.49,48
Pickaxe,1037,87.04,55.32,24.28,47
Boots,1001,85.19,58.7,21.07,46
Long Sword,1036,85.19,54.35,13.2,46
Stealth Ward,3340,74.07,55.0,3.83,40
Hullbreaker,3181,61.11,63.64,18.18,33
Wit's End,3091,61.11,63.64,7.03,33
Tunneler,2021,59.26,56.25,8.75,32
Null-Magic Mantle,1033,51.85,53.57,16.54,28
Total Biscuit of Everlasting Will,2010,51.85,46.43,18.04,28
Negatron Cloak,1057,51.85,53.57,5.14,28
Ruby Crystal,1028,50.0,55.56,11.9,27
Steel Sigil,2019,48.15,50.0,17.72,26
Plated Steelcaps,3047,46.3,64.0,15.44,25
Mercury's Treads,3111,46.3,44.0,20.03,25
Death's Dance,6333,33.33,61.11,15.16,18
Control Ward,2055,31.48,52.94,22.99,17
Cloth Armor,1029,27.78,66.67,6.54,15
Kraken Slayer,6672,25.93,71.43,13.76,14
Caulfield's Warhammer,3133,24.07,38.46,22.53,13
Rectrix,6690,22.22,58.33,9.42,12
Farsight Alteration,3363,22.22,83.33,-7.79,12
Armored Advance,3174,20.37,81.82,7.32,11
Hearthbound Axe,3051,18.52,80.0,16.87,10
Refillable Potion,2031,18.52,50.0,11.85,10
Winged Moonplate,3066,18.52,40.0,16.45,10
Chainlaced Crushers,3173,14.81,62.5,15.39,8
Sundered Sky,6610,12.96,42.86,0.46,7
Oracle Lens,3364,12.96,57.14,6.45,7
Elixir of Wrath,2140,11.11,66.67,57.49,6
Doran's Shield,1054,11.11,50.0,-13.49,6
Guardian Angel,3026,9.26,80.0,-10.38,5
Elixir of Iron,2138,9.26,60.0,-16.56,5
Cull,1083,7.41,50.0,23.46,4
Maw of Malmortius,3156,7.41,75.0,36.44,4
Sterak's Gage,3053,7.41,75.0,-27.24,4
Bramble Vest,3076,5.56,100.0,-13.17,3
Eye of the Herald,3513,5.56,100.0,-8.81,3
Hexdrinker,3155,5.56,66.67,21.19,3
Boots of Swiftness,3009,5.56,100.0,7.6,3
Glowing Mote,2022,3.7,50.0,-7.4,2
Sheen,3057,3.7,50.0,1.2,2
Executioner's Calling,3123,3.7,50.0,17.15,2
Mortal Reminder,3033,3.7,50.0,24.9,2
Warden's Mail,3082,3.7,100.0,37.48,2
Frozen Heart,3110,3.7,100.0,-4.09,2
Thornmail,3075,3.7,100.0,-38.24,2
Trinity Force,3078,1.85,100.0,-17.12,1
Terminus,3302,1.85,100.0,0,1
Slightly Magical Footwear,2422,1.85,100.0,41.48,1
Quicksilver Sash,3140,1.85,100.0,-40.16,1
Mercurial Scimitar,3139,1.85,100.0,-57.16,1
Blasting Wand,1026,1.85,0.0,-8.81,1
Nashor's Tooth,3115,1.85,0.0,-16.23,1
Haunting Guise,3147,1.85,0.0,-24.94,1
Fiendish Codex,3108,1.85,0.0,-24.88,1
Riftmaker,4633,1.85,0.0,-33.92,1
Lich Bane,3100,1.85,0.0,0,1
Swiftmarch,3170,1.85,100.0,-20.15,1
Glacial Buckler,3024,1.85,100.0,37.62,1
Axiom Arc,6696,1.85,100.0,11.62,1
Cloak of Agility,1018,1.85,100.0,0,1
Chempunk Chainsword,6609,1.85,0.0,0.55,1
Giant's Belt,1011,1.85,0.0,0,1
