Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,51.72,8.57,29
World Atlas,3865,96.55,53.57,14.74,28
Oracle Lens,3364,96.55,53.57,8.23,28
Runic Compass,3866,96.55,53.57,0.89,28
Bounty of Worlds,3867,96.55,53.57,1.37,28
Stealth Ward,3340,96.55,50.0,9.14,28
Bandleglass Mirror,4642,93.1,55.56,5.31,27
Control Ward,2055,86.21,52.0,11.9,25
Moonstone Renewer,6617,75.86,59.09,-6.7,22
Kindlegem,3067,72.41,52.38,-1.49,21
Boots of Swiftness,3009,72.41,52.38,5.26,21
Boots,1001,68.97,50.0,7.99,20
Amplifying Tome,1052,68.97,45.0,7.43,20
Faerie Charm,1004,68.97,45.0,1.65,20
Ruby Crystal,1028,65.52,63.16,6.53,19
Glowing Mote,2022,58.62,41.18,3.73,17
Forbidden Idol,3114,55.17,50.0,1.21,16
Redemption,3107,41.38,50.0,1.38,12
Aether Wisp,3113,41.38,50.0,19.39,12
Fiendish Codex,3108,24.14,42.86,2.94,7
Imperial Mandate,4005,24.14,42.86,8.19,7
Ionian Boots of Lucidity,3158,24.14,42.86,14.17,7
Dark Seal,1082,20.69,66.67,11.98,6
Shurelya's Battlesong,2065,20.69,50.0,33.02,6
Ardent Censer,3504,17.24,60.0,9.36,5
Total Biscuit of Everlasting Will,2010,17.24,80.0,1.18,5
Slightly Magical Footwear,2422,17.24,80.0,-2.68,5
Refillable Potion,2031,13.79,75.0,17.24,4
Blasting Wand,1026,13.79,25.0,-2.69,4
Swiftmarch,3170,13.79,75.0,4.33,4
Symbiotic Soles,3010,10.34,33.33,13.24,3
Oblivion Orb,3916,10.34,66.67,8.63,3
Crimson Lucidity,3171,10.34,66.67,25.3,3
Dream Maker,3870,6.9,50.0,19.2,2
Zaz'Zak's Realmspike,3871,6.9,50.0,13.32,2
Elixir of Iron,2138,6.9,50.0,15.77,2
Echoes of Helia,6620,3.45,100.0,11.05,1
Elixir of Avarice,2151,3.45,0.0,15.94,1
Elixir of Force,2152,3.45,0.0,90.89,1
Mikael's Blessing,3222,3.45,0.0,31.99,1
Dawncore,6621,3.45,0.0,-23.08,1
Mejai's Soulstealer,3041,3.45,100.0,2.85,1
Eye of the Herald,3513,3.45,100.0,66.25,1
Gustwalker Hatchling,1102,3.45,0.0,0,1
Dagger,1042,3.45,0.0,-10.09,1
Recurve Bow,1043,3.45,0.0,-11.8,1
Nashor's Tooth,3115,3.45,0.0,0,1
Farsight Alteration,3363,3.45,0.0,0,1
Morellonomicon,3165,3.45,0.0,20.75,1
Elixir of Sorcery,2139,3.45,0.0,0,1
