Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Doran's Shield,1054,100.0,52.38,-2.53,21
Health Potion,2003,100.0,52.38,9.61,21
Cloth Armor,1029,100.0,52.38,7.73,21
Chain Vest,1031,90.48,57.89,11.12,19
Ruby Crystal,1028,90.48,57.89,13.38,19
Giant's Belt,1011,80.95,58.82,15.81,17
Iceborn Gauntlet,6662,71.43,60.0,10.34,15
Boots,1001,66.67,50.0,17.04,14
Sheen,3057,61.9,46.15,10.83,13
Stealth Ward,3340,61.9,38.46,18.84,13
Aegis of the Legion,3105,57.14,66.67,17.63,12
Unending Despair,2502,57.14,66.67,18.5,12
Null-Magic Mantle,1033,57.14,58.33,20.76,12
Bramble Vest,3076,57.14,25.0,8.09,12
Total Biscuit of Everlasting Will,2010,52.38,54.55,21.58,11
Plated Steelcaps,3047,52.38,54.55,2.36,11
Mercury's Treads,3111,42.86,55.56,26.4,9
"Jak'Sho, The Protean",6665,42.86,66.67,14.01,9
Glowing Mote,2022,38.1,62.5,22.61,8
Warden's Mail,3082,38.1,25.0,-7.03,8
Thornmail,3075,38.1,12.5,1.15,8
Control Ward,2055,33.33,71.43,17.9,7
Negatron Cloak,1057,33.33,57.14,6.54,7
Spectre's Cowl,3211,28.57,66.67,12.4,6
Refillable Potion,2031,28.57,50.0,31.12,6
Chainlaced Crushers,3173,23.81,80.0,-10.2,5
Armored Advance,3174,23.81,60.0,-7.14,5
Kaenic Rookern,2504,19.05,75.0,32.36,4
Randuin's Omen,3143,14.29,66.67,-2.73,3
Bami's Cinder,6660,14.29,33.33,5.61,3
Glacial Buckler,3024,9.52,50.0,8.27,2
Frozen Heart,3110,9.52,50.0,3.92,2
Farsight Alteration,3363,9.52,50.0,18.86,2
Rejuvenation Bead,1006,9.52,50.0,9.68,2
Eye of the Herald,3513,9.52,50.0,23.8,2
Hollow Radiance,6664,9.52,50.0,17.96,2
Kindlegem,3067,4.76,100.0,3.71,1
Spirit Visage,3065,4.76,100.0,-28.23,1
Elixir of Sorcery,2139,4.76,100.0,-32.97,1
Elixir of Iron,2138,4.76,100.0,-38.34,1
Slightly Magical Footwear,2422,4.76,0.0,48.57,1
Oracle Lens,3364,4.76,100.0,39.44,1
Warmog's Armor,3083,4.76,0.0,0,1
Sunfire Aegis,3068,4.76,0.0,-8.32,1
