Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Doran's Blade,1055,99.38,52.8,15.75,161
Health Potion,2003,99.38,52.8,15.06,161
Berserker's Greaves,3006,93.21,51.66,25.54,151
Dagger,1042,90.12,50.0,23.94,146
Pickaxe,1037,89.51,51.72,25.86,145
Recurve Bow,1043,88.89,50.0,24.37,144
Total Biscuit of Everlasting Will,2010,86.42,53.57,16.48,140
Slightly Magical Footwear,2422,86.42,54.29,27.61,140
Guinsoo's Rageblade,3124,85.8,53.24,27.9,139
Stealth Ward,3340,82.1,52.63,31.54,133
Kraken Slayer,6672,79.63,53.49,26.3,129
Hearthbound Axe,3051,78.4,52.76,19.66,127
Long Sword,1036,75.31,50.0,13.43,122
Rectrix,6690,75.31,50.0,17.42,122
Amplifying Tome,1052,70.99,49.57,28.05,115
Farsight Alteration,3363,62.96,50.98,33.1,102
Nashor's Tooth,3115,46.3,54.67,16.37,75
Fiendish Codex,3108,42.59,50.72,9.31,69
Blasting Wand,1026,42.59,49.28,16.57,69
Control Ward,2055,35.8,58.62,20.19,58
Gunmetal Greaves,3172,29.63,77.08,21.92,48
Refillable Potion,2031,20.99,38.24,19.73,34
Needlessly Large Rod,1058,20.99,64.71,5.71,34
Seeker's Armguard,2420,19.14,48.39,15.86,31
B. F. Sword,1038,16.67,51.85,18.44,27
Cull,1083,16.67,48.15,16.99,27
Scout's Slingshot,3144,15.43,40.0,10.98,25
Zhonya's Hourglass,3157,14.81,54.17,10.5,24
Terminus,3302,13.58,45.45,31.21,22
Statikk Shiv,3087,13.58,40.91,19.66,22
Boots,1001,12.35,40.0,13.12,20
Infinity Edge,3031,7.41,66.67,17.56,12
Zeal,3086,7.41,58.33,29.41,12
Glowing Mote,2022,6.79,36.36,4.94,11
Yun Tal Wildarrows,3032,6.17,50.0,7.16,10
Vampiric Scepter,1053,5.56,55.56,-4.5,9
Tear of the Goddess,3070,5.56,55.56,20.89,9
Cloth Armor,1029,5.56,44.44,4.55,9
Caulfield's Warhammer,3133,4.94,62.5,13.87,8
Sorcerer's Shoes,3020,4.94,75.0,5.37,8
Rabadon's Deathcap,3089,4.94,62.5,-2.65,8
Bloodthirster,3072,4.94,50.0,10.16,8
Shattered Armguard,2421,4.94,75.0,14.99,8
Elixir of Wrath,2140,4.94,62.5,7.6,8
Cloak of Agility,1018,4.94,62.5,15.25,8
Manamune,3004,4.94,62.5,37.16,8
Phantom Dancer,3046,4.94,75.0,31.94,8
Hextech Alternator,3145,4.32,71.43,38.27,7
Shadowflame,4645,4.32,71.43,-12.7,7
Elixir of Sorcery,2139,4.32,57.14,18.0,7
Luden's Companion,6655,4.32,71.43,34.69,7
Oracle Lens,3364,3.7,50.0,-6.47,6
Blighting Jewel,4630,3.09,60.0,58.05,5
Sapphire Crystal,1027,3.09,60.0,41.72,5
Lost Chapter,3802,3.09,60.0,30.6,5
Eye of the Herald,3513,2.47,75.0,44.38,4
Wit's End,3091,2.47,50.0,-6.95,4
Runaan's Hurricane,3085,2.47,25.0,55.12,4
Negatron Cloak,1057,2.47,50.0,34.67,4
Executioner's Calling,3123,2.47,0.0,18.18,4
Null-Magic Mantle,1033,1.85,0.0,16.03,3
Last Whisper,3035,1.85,33.33,30.62,3
Navori Flickerblade,6675,1.85,33.33,36.06,3
Guardian Angel,3026,1.85,33.33,7.22,3
Dark Seal,1082,1.85,100.0,18.25,3
Lord Dominik's Regards,3036,1.23,100.0,1.91,2
Elixir of Avarice,2151,1.23,50.0,23.06,2
Elixir of Force,2152,1.23,50.0,-9.49,2
Elixir of Skill,2150,1.23,50.0,9.67,2
Spellslinger's Shoes,3175,1.23,100.0,0,2
Void Staff,3135,1.23,50.0,-31.06,2
Horizon Focus,4628,1.23,100.0,-41.56,2
Essence Reaver,3508,0.62,100.0,29.44,1
Noonquiver,6670,0.62,100.0,-8.13,1
Banshee's Veil,3102,0.62,100.0,38.31,1
Cryptbloom,3137,0.62,100.0,0,1
Plated Steelcaps,3047,0.62,100.0,20.86,1
Your Cut,3400,0.62,0.0,40.45,1
Mortal Reminder,3033,0.62,0.0,0,1
Steel Sigil,2019,0.62,100.0,0,1
