Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Kalista's Black Spear,3599,100.0,71.43,0,14
Doran's Blade,1055,100.0,71.43,3.2,14
Health Potion,2003,100.0,71.43,27.59,14
Berserker's Greaves,3006,100.0,71.43,21.1,14
Dagger,1042,100.0,71.43,15.96,14
Stealth Ward,3340,100.0,71.43,11.38,14
Pickaxe,1037,92.86,69.23,26.76,13
Vampiric Scepter,1053,92.86,69.23,16.38,13
Recurve Bow,1043,92.86,69.23,12.29,13
Blade of The Ruined King,3153,92.86,69.23,26.0,13
Farsight Alteration,3363,78.57,72.73,11.38,11
Long Sword,1036,71.43,70.0,15.86,10
Guinsoo's Rageblade,3124,71.43,80.0,24.79,10
Boots,1001,50.0,71.43,12.33,7
Hearthbound Axe,3051,42.86,66.67,31.45,6
Terminus,3302,42.86,83.33,12.32,6
Gunmetal Greaves,3172,35.71,100.0,21.09,5
Negatron Cloak,1057,21.43,100.0,-6.49,3
Wit's End,3091,21.43,100.0,-26.84,3
Scout's Slingshot,3144,21.43,66.67,35.66,3
Refillable Potion,2031,21.43,66.67,16.16,3
Zeal,3086,21.43,66.67,24.7,3
Amplifying Tome,1052,21.43,66.67,28.5,3
Cull,1083,14.29,50.0,8.65,2
Control Ward,2055,14.29,100.0,16.87,2
Cloth Armor,1029,14.29,50.0,0,2
Runaan's Hurricane,3085,14.29,50.0,3.9,2
Total Biscuit of Everlasting Will,2010,7.14,100.0,11.63,1
Cloak of Agility,1018,7.14,100.0,12.56,1
Immortal Shieldbow,6673,7.14,100.0,0,1
B. F. Sword,1038,7.14,100.0,34.2,1
Yun Tal Wildarrows,3032,7.14,100.0,85.78,1
Kraken Slayer,6672,7.14,100.0,35.57,1
