Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Tear of the Goddess,3070,100.0,47.37,24.1,19
Blasting Wand,1026,100.0,47.37,34.26,19
Boots,1001,89.47,47.06,26.39,17
Lost Chapter,3802,89.47,47.06,28.61,17
Archangel's Staff,3003,89.47,52.94,25.41,17
Amplifying Tome,1052,89.47,47.06,24.72,17
Stealth Ward,3340,84.21,50.0,37.11,16
Rod of Ages,6657,78.95,46.67,30.03,15
Sorcerer's Shoes,3020,78.95,46.67,20.55,15
Ruby Crystal,1028,73.68,50.0,22.43,14
Malignance,3118,73.68,42.86,42.27,14
Refillable Potion,2031,63.16,50.0,16.01,12
Needlessly Large Rod,1058,63.16,58.33,52.19,12
Health Potion,2003,63.16,41.67,20.52,12
Sapphire Crystal,1027,57.89,45.45,23.88,11
Fiendish Codex,3108,57.89,45.45,28.49,11
Catalyst of Aeons,3803,52.63,40.0,44.42,10
Dark Seal,1082,47.37,55.56,15.12,9
Seeker's Armguard,2420,47.37,44.44,-49.82,9
Doran's Shield,1054,42.11,50.0,21.97,8
Farsight Alteration,3363,36.84,57.14,41.71,7
Zhonya's Hourglass,3157,31.58,50.0,-28.96,6
Mejai's Soulstealer,3041,26.32,80.0,31.88,5
Doran's Ring,1056,26.32,20.0,26.66,5
Rabadon's Deathcap,3089,26.32,60.0,84.97,5
Spellslinger's Shoes,3175,26.32,60.0,44.31,5
Cloth Armor,1029,21.05,50.0,11.06,4
Shattered Armguard,2421,21.05,50.0,0,4
Elixir of Sorcery,2139,21.05,50.0,56.12,4
Control Ward,2055,21.05,0.0,-1.19,4
Glowing Mote,2022,21.05,50.0,21.02,4
Mercury's Treads,3111,15.79,33.33,-1.83,3
Oracle Lens,3364,15.79,66.67,26.38,3
Elixir of Avarice,2151,15.79,100.0,58.62,3
Elixir of Force,2152,15.79,100.0,22.75,3
Null-Magic Mantle,1033,10.53,0.0,10.54,2
Elixir of Skill,2150,10.53,100.0,24.33,2
Plated Steelcaps,3047,5.26,100.0,1.75,1
Armored Advance,3174,5.26,100.0,-13.67,1
Kindlegem,3067,5.26,0.0,30.42,1
Negatron Cloak,1057,5.26,0.0,31.94,1
Abyssal Mask,8020,5.26,0.0,85.67,1
Lich Bane,3100,5.26,0.0,-53.13,1
Elixir of Iron,2138,5.26,0.0,0,1
Cull,1083,5.26,100.0,30.18,1
Blighting Jewel,4630,5.26,0.0,47.96,1
Void Staff,3135,5.26,0.0,57.06,1
Chainlaced Crushers,3173,5.26,100.0,0,1
