Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Amplifying Tome,1052,86.67,55.77,26.85,52
Boots,1001,86.67,50.0,20.3,52
Lich Bane,3100,80.0,58.33,32.09,48
Dark Seal,1082,78.33,57.45,20.78,47
Needlessly Large Rod,1058,78.33,59.57,24.64,47
Stealth Ward,3340,76.67,63.04,30.36,46
Sorcerer's Shoes,3020,76.67,56.52,21.17,46
Blasting Wand,1026,75.0,55.56,25.12,45
Shadowflame,4645,71.67,58.14,34.29,43
Hextech Alternator,3145,70.0,54.76,31.18,42
Refillable Potion,2031,63.33,52.63,22.91,38
Aether Wisp,3113,56.67,50.0,21.91,34
Health Potion,2003,53.33,53.12,12.46,32
Sheen,3057,45.0,51.85,25.52,27
Seeker's Armguard,2420,43.33,50.0,13.0,26
Oracle Lens,3364,38.33,60.87,32.45,23
Spellslinger's Shoes,3175,36.67,86.36,9.54,22
Control Ward,2055,36.67,59.09,32.03,22
Zhonya's Hourglass,3157,31.67,42.11,7.51,19
Rabadon's Deathcap,3089,30.0,66.67,28.9,18
Glowing Mote,2022,26.67,37.5,22.67,16
Doran's Shield,1054,23.33,57.14,-3.08,14
Mejai's Soulstealer,3041,21.67,84.62,19.8,13
Dagger,1042,21.67,30.77,10.66,13
Recurve Bow,1043,21.67,30.77,15.67,13
Farsight Alteration,3363,16.67,70.0,14.02,10
Cloth Armor,1029,16.67,30.0,16.57,10
Doran's Blade,1055,15.0,33.33,16.43,9
Nashor's Tooth,3115,11.67,42.86,29.54,7
Shattered Armguard,2421,11.67,71.43,17.41,7
Blighting Jewel,4630,11.67,42.86,-12.02,7
Hearthbound Axe,3051,11.67,42.86,17.59,7
Vampiric Scepter,1053,11.67,42.86,16.16,7
Blade of The Ruined King,3153,11.67,42.86,22.85,7
Pickaxe,1037,11.67,42.86,17.92,7
Long Sword,1036,11.67,28.57,7.1,7
Fiendish Codex,3108,10.0,33.33,12.45,6
Doran's Ring,1056,10.0,83.33,31.89,6
Kraken Slayer,6672,10.0,50.0,21.13,6
Haunting Guise,3147,8.33,60.0,-6.04,5
Rectrix,6690,8.33,60.0,24.04,5
Mercury's Treads,3111,8.33,40.0,9.51,5
Elixir of Sorcery,2139,8.33,20.0,-17.19,5
Ruby Crystal,1028,6.67,75.0,30.77,4
Plated Steelcaps,3047,6.67,25.0,4.37,4
Null-Magic Mantle,1033,5.0,0.0,6.3,3
Fated Ashes,2508,5.0,66.67,-10.47,3
Liandry's Torment,6653,5.0,66.67,-16.72,3
Terminus,3302,5.0,33.33,5.44,3
Stormsurge,4646,5.0,66.67,11.81,3
Riftmaker,4633,3.33,50.0,0,2
Your Cut,3400,3.33,0.0,1.38,2
Giant's Belt,1011,3.33,0.0,17.12,2
Negatron Cloak,1057,3.33,0.0,36.58,2
Tiamat,3077,3.33,50.0,-12.99,2
Void Staff,3135,3.33,50.0,-4.86,2
Banshee's Veil,3102,3.33,0.0,0,2
Chainlaced Crushers,3173,1.67,100.0,-17.16,1
Armored Advance,3174,1.67,0.0,8.9,1
Warden's Mail,3082,1.67,0.0,23.93,1
Randuin's Omen,3143,1.67,0.0,30.87,1
Wit's End,3091,1.67,0.0,40.55,1
Elixir of Iron,2138,1.67,0.0,15.24,1
Berserker's Greaves,3006,1.67,100.0,-9.26,1
Tunneler,2021,1.67,100.0,13.97,1
Titanic Hydra,3748,1.67,100.0,10.28,1
"Jak'Sho, The Protean",6665,1.67,0.0,-12.92,1
Bloodletter's Curse,8010,1.67,0.0,0,1
Verdant Barrier,4632,1.67,0.0,34.25,1
Gustwalker Hatchling,1102,1.67,0.0,-8.59,1
