Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,98.0,53.06,21.15,49
Nashor's Tooth,3115,92.0,54.35,30.6,46
Recurve Bow,1043,88.0,56.82,25.31,44
Boots,1001,84.0,52.38,18.09,42
Needlessly Large Rod,1058,84.0,57.14,39.02,42
Amplifying Tome,1052,80.0,52.5,29.78,40
Blasting Wand,1026,80.0,50.0,33.28,40
Boots of Swiftness,3009,74.0,56.76,28.42,37
Stealth Ward,3340,70.0,57.14,21.08,35
Rabadon's Deathcap,3089,66.0,57.58,38.34,33
Fiendish Codex,3108,62.0,54.84,26.75,31
Dagger,1042,52.0,57.69,22.02,26
Doran's Blade,1055,50.0,68.0,36.67,25
Shadowflame,4645,40.0,65.0,53.09,20
Glowing Mote,2022,38.0,47.37,20.01,19
Control Ward,2055,36.0,61.11,28.56,18
Refillable Potion,2031,36.0,66.67,29.67,18
Hextech Alternator,3145,34.0,58.82,44.92,17
Farsight Alteration,3363,32.0,56.25,26.02,16
Aether Wisp,3113,32.0,50.0,34.65,16
Lich Bane,3100,28.0,64.29,77.11,14
Swiftmarch,3170,24.0,66.67,44.34,12
Doran's Ring,1056,24.0,41.67,27.15,12
Doran's Shield,1054,24.0,33.33,44.12,12
Sheen,3057,20.0,40.0,17.3,10
Rylai's Crystal Scepter,3116,18.0,66.67,36.74,9
Berserker's Greaves,3006,18.0,44.44,31.01,9
Giant's Belt,1011,16.0,50.0,39.13,8
Cull,1083,16.0,25.0,14.48,8
Dark Seal,1082,16.0,87.5,27.27,8
Elixir of Sorcery,2139,14.0,85.71,24.61,7
Oracle Lens,3364,14.0,42.86,13.72,7
Ruby Crystal,1028,12.0,50.0,51.68,6
Void Staff,3135,12.0,83.33,38.9,6
Blighting Jewel,4630,10.0,80.0,27.59,5
Pickaxe,1037,8.0,25.0,53.91,4
Guinsoo's Rageblade,3124,8.0,75.0,37.27,4
Zhonya's Hourglass,3157,6.0,100.0,3.01,3
Bandleglass Mirror,4642,6.0,33.33,3.68,3
World Atlas,3865,6.0,33.33,7.16,3
Moonstone Renewer,6617,6.0,33.33,-2.54,3
Runic Compass,3866,6.0,33.33,-2.35,3
Bounty of Worlds,3867,6.0,33.33,-2.86,3
Ionian Boots of Lucidity,3158,6.0,33.33,24.65,3
Gunmetal Greaves,3172,6.0,100.0,57.47,3
Oblivion Orb,3916,4.0,50.0,30.51,2
Eye of the Herald,3513,4.0,50.0,55.45,2
Sorcerer's Shoes,3020,4.0,100.0,32.79,2
Kindlegem,3067,4.0,0.0,7.42,2
Forbidden Idol,3114,4.0,0.0,-5.2,2
Redemption,3107,4.0,0.0,40.44,2
Seeker's Armguard,2420,2.0,100.0,0,1
Shattered Armguard,2421,2.0,100.0,0,1
Haunting Guise,3147,2.0,0.0,0,1
Tear of the Goddess,3070,2.0,100.0,19.68,1
Lost Chapter,3802,2.0,100.0,35.83,1
Archangel's Staff,3003,2.0,100.0,63.56,1
Your Cut,3400,2.0,0.0,4.49,1
Spellslinger's Shoes,3175,2.0,100.0,61.3,1
Mejai's Soulstealer,3041,2.0,100.0,0,1
Faerie Charm,1004,2.0,0.0,-5.73,1
Ardent Censer,3504,2.0,0.0,8.17,1
Vampiric Scepter,1053,2.0,100.0,16.64,1
Blade of The Ruined King,3153,2.0,100.0,18.78,1
Rectrix,6690,2.0,100.0,111.36,1
Hearthbound Axe,3051,2.0,100.0,0,1
Kraken Slayer,6672,2.0,100.0,0,1
