Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Serrated Dirk,3134,100.0,43.14,14.6,51
Long Sword,1036,100.0,43.14,16.72,51
Stealth Ward,3340,94.12,43.75,4.03,48
Gustwalker Hatchling,1102,76.47,38.46,5.13,39
Youmuu's Ghostblade,3142,76.47,46.15,24.9,39
Health Potion,2003,74.51,47.37,21.54,38
Boots,1001,74.51,39.47,22.7,38
Ionian Boots of Lucidity,3158,74.51,47.37,20.02,38
Oracle Lens,3364,70.59,47.22,16.05,36
Opportunity,6701,70.59,44.44,10.58,36
Control Ward,2055,64.71,48.48,16.04,33
Caulfield's Warhammer,3133,62.75,40.62,13.01,32
Edge of Night,3814,62.75,46.88,18.62,32
Pickaxe,1037,54.9,50.0,7.32,28
Last Whisper,3035,52.94,44.44,10.26,27
Tunneler,2021,49.02,32.0,16.78,25
Serylda's Grudge,6694,49.02,56.0,5.47,25
Eye of the Herald,3513,45.1,56.52,20.61,23
Glowing Mote,2022,39.22,40.0,5.61,20
Rectrix,6690,39.22,50.0,23.85,20
Ruby Crystal,1028,37.25,52.63,24.27,19
Hubris,6697,29.41,60.0,7.4,15
Crimson Lucidity,3171,23.53,66.67,15.04,12
Scorchclaw Pup,1101,21.57,45.45,10.44,11
Elixir of Wrath,2140,21.57,36.36,-5.68,11
Serpent's Fang,6695,17.65,22.22,-5.67,9
Slightly Magical Footwear,2422,17.65,44.44,13.7,9
Profane Hydra,6698,15.69,25.0,0.84,8
Mercury's Treads,3111,11.76,33.33,39.54,6
Hexdrinker,3155,11.76,66.67,-5.79,6
Null-Magic Mantle,1033,9.8,60.0,1.63,5
Maw of Malmortius,3156,9.8,60.0,-0.25,5
Steel Sigil,2019,9.8,40.0,3.0,5
The Brutalizer,2020,9.8,40.0,11.99,5
B. F. Sword,1038,7.84,75.0,14.21,4
Guardian Angel,3026,7.84,50.0,-16.09,4
Tiamat,3077,5.88,33.33,-6.59,3
Refillable Potion,2031,5.88,0.0,8.82,3
Elixir of Avarice,2151,5.88,66.67,28.59,3
Elixir of Force,2152,5.88,66.67,52.88,3
Elixir of Skill,2150,5.88,66.67,35.59,3
Cloth Armor,1029,3.92,0.0,52.36,2
Plated Steelcaps,3047,3.92,0.0,20.59,2
Voltaic Cyclosword,6699,3.92,50.0,5.12,2
Chainlaced Crushers,3173,3.92,100.0,-13.78,2
Farsight Alteration,3363,3.92,50.0,46.29,2
Dead Man's Plate,3742,3.92,0.0,0,2
Mosstomper Seedling,1103,3.92,100.0,72.85,2
Umbral Glaive,3179,3.92,100.0,87.58,2
Boots of Swiftness,3009,3.92,100.0,-0.79,2
Executioner's Calling,3123,1.96,0.0,-7.28,1
Phage,3044,1.96,0.0,23.39,1
Black Cleaver,3071,1.96,0.0,17.94,1
Elixir of Iron,2138,1.96,0.0,0,1
Armored Advance,3174,1.96,0.0,-0.94,1
Swiftmarch,3170,1.96,100.0,0,1
Axiom Arc,6696,1.96,0.0,-26.78,1
Eclipse,6692,1.96,100.0,-40.3,1
Death's Dance,6333,1.96,0.0,-2.59,1
