Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,47.06,29.16,17
Long Sword,1036,88.24,40.0,18.48,15
Pickaxe,1037,88.24,53.33,12.82,15
Boots,1001,88.24,46.67,15.46,15
Ruby Crystal,1028,82.35,50.0,21.02,14
Tunneler,2021,82.35,42.86,26.02,14
Tiamat,3077,76.47,46.15,29.61,13
Titanic Hydra,3748,76.47,38.46,34.2,13
Doran's Blade,1055,76.47,46.15,-2.68,13
Plated Steelcaps,3047,64.71,36.36,17.42,11
Stealth Ward,3340,52.94,77.78,39.47,9
Phage,3044,52.94,55.56,2.52,9
Hullbreaker,3181,47.06,50.0,3.7,8
Control Ward,2055,41.18,57.14,5.55,7
Cloth Armor,1029,41.18,28.57,23.13,7
Armored Advance,3174,35.29,50.0,-2.45,6
Black Cleaver,3071,35.29,33.33,-11.16,6
Caulfield's Warhammer,3133,29.41,40.0,3.99,5
Glowing Mote,2022,29.41,60.0,20.69,5
Null-Magic Mantle,1033,23.53,50.0,-0.56,4
Winged Moonplate,3066,23.53,50.0,-10.93,4
Giant's Belt,1011,23.53,0.0,41.33,4
Refillable Potion,2031,23.53,50.0,19.54,4
Overlord's Bloodmail,2501,23.53,25.0,-10.15,4
Eclipse,6692,17.65,33.33,6.41,3
Mercury's Treads,3111,17.65,66.67,4.16,3
Kindlegem,3067,17.65,66.67,12.66,3
Doran's Shield,1054,17.65,33.33,77.14,3
Chainlaced Crushers,3173,11.76,100.0,0,2
Oracle Lens,3364,11.76,100.0,1.53,2
Executioner's Calling,3123,11.76,50.0,6.66,2
Sterak's Gage,3053,11.76,50.0,19.24,2
Profane Hydra,6698,5.88,100.0,0,1
The Brutalizer,2020,5.88,100.0,0,1
Rejuvenation Bead,1006,5.88,100.0,0,1
Farsight Alteration,3363,5.88,100.0,0,1
Spectre's Cowl,3211,5.88,100.0,0,1
Bramble Vest,3076,5.88,0.0,2.88,1
Thornmail,3075,5.88,0.0,0,1
Chempunk Chainsword,6609,5.88,0.0,0,1
Elixir of Wrath,2140,5.88,0.0,0,1
Eye of the Herald,3513,5.88,0.0,42.95,1
Vampiric Scepter,1053,5.88,100.0,17.43,1
Dagger,1042,5.88,100.0,17.43,1
Blade of The Ruined King,3153,5.88,100.0,3.15,1
Boots of Swiftness,3009,5.88,100.0,2.36,1
Ravenous Hydra,3074,5.88,100.0,32.49,1
