Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,38.89,6.96,18
Amplifying Tome,1052,88.89,31.25,17.96,16
Stealth Ward,3340,88.89,43.75,-2.8,16
Doran's Blade,1055,77.78,42.86,22.58,14
Recurve Bow,1043,72.22,46.15,18.73,13
Boots,1001,72.22,38.46,8.07,13
Pickaxe,1037,66.67,50.0,20.14,12
Berserker's Greaves,3006,66.67,50.0,10.28,12
Dagger,1042,61.11,54.55,8.15,11
Farsight Alteration,3363,61.11,45.45,-4.26,11
Guinsoo's Rageblade,3124,55.56,50.0,36.92,10
Long Sword,1036,44.44,62.5,6.67,8
Vampiric Scepter,1053,44.44,62.5,6.75,8
Control Ward,2055,38.89,42.86,12.6,7
Blade of The Ruined King,3153,38.89,57.14,5.12,7
Lost Chapter,3802,33.33,16.67,22.93,6
Zeal,3086,33.33,50.0,15.49,6
Luden's Companion,6655,27.78,0.0,19.28,5
Sorcerer's Shoes,3020,27.78,20.0,14.41,5
Runaan's Hurricane,3085,27.78,60.0,32.9,5
Hearthbound Axe,3051,27.78,60.0,-11.87,5
Sapphire Crystal,1027,27.78,20.0,36.66,5
Terminus,3302,27.78,60.0,-13.22,5
Null-Magic Mantle,1033,22.22,50.0,18.95,4
Wit's End,3091,22.22,75.0,19.13,4
Gunmetal Greaves,3172,22.22,75.0,8.2,4
Hextech Alternator,3145,22.22,0.0,19.88,4
Doran's Ring,1056,16.67,0.0,-7.1,3
Ruby Crystal,1028,16.67,66.67,3.46,3
Fated Ashes,2508,16.67,33.33,42.9,3
Scout's Slingshot,3144,16.67,33.33,8.92,3
Glowing Mote,2022,16.67,0.0,22.13,3
Needlessly Large Rod,1058,16.67,0.0,11.37,3
Shadowflame,4645,16.67,0.0,31.57,3
Tear of the Goddess,3070,11.11,50.0,29.81,2
Archangel's Staff,3003,11.11,50.0,46.78,2
Haunting Guise,3147,11.11,50.0,17.64,2
Negatron Cloak,1057,11.11,50.0,21.16,2
Blasting Wand,1026,11.11,50.0,23.45,2
Liandry's Torment,6653,11.11,50.0,24.17,2
Blighting Jewel,4630,11.11,0.0,10.72,2
Giant's Belt,1011,11.11,50.0,13.71,2
Cull,1083,11.11,100.0,47.34,2
Refillable Potion,2031,5.56,0.0,-4.49,1
Dark Seal,1082,5.56,0.0,2.88,1
Fiendish Codex,3108,5.56,0.0,3.9,1
World Atlas,3865,5.56,100.0,109.17,1
Rod of Ages,6657,5.56,100.0,12.81,1
Oracle Lens,3364,5.56,100.0,13.21,1
Runic Compass,3866,5.56,100.0,-11.02,1
Bounty of Worlds,3867,5.56,100.0,-10.84,1
Oblivion Orb,3916,5.56,100.0,0,1
Rabadon's Deathcap,3089,5.56,0.0,-9.91,1
Seeker's Armguard,2420,5.56,0.0,-25.32,1
Shattered Armguard,2421,5.56,0.0,-12.97,1
Zhonya's Hourglass,3157,5.56,0.0,-12.97,1
Void Staff,3135,5.56,0.0,0,1
Elixir of Sorcery,2139,5.56,0.0,0,1
Cryptbloom,3137,5.56,0.0,-12.81,1
Spellslinger's Shoes,3175,5.56,0.0,1.72,1
"Jak'Sho, The Protean",6665,5.56,100.0,0,1
Mercury's Treads,3111,5.56,0.0,16.37,1
Malignance,3118,5.56,0.0,0,1
Tunneler,2021,5.56,100.0,0,1
Quicksilver Sash,3140,5.56,100.0,36.56,1
Mercurial Scimitar,3139,5.56,100.0,0,1
