Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
World Atlas,3865,100.0,56.94,15.99,72
Health Potion,2003,100.0,56.94,11.22,72
Stealth Ward,3340,100.0,56.94,9.07,72
Runic Compass,3866,100.0,56.94,2.78,72
Bounty of Worlds,3867,100.0,56.94,1.68,72
Oracle Lens,3364,98.61,56.34,9.07,71
Boots,1001,91.67,57.58,7.58,66
Cloth Armor,1029,90.28,56.92,2.95,65
Control Ward,2055,90.28,58.46,4.63,65
Kindlegem,3067,88.89,56.25,4.16,64
Locket of the Iron Solari,3190,83.33,55.0,-0.98,60
Ruby Crystal,1028,81.94,54.24,1.82,59
Null-Magic Mantle,1033,76.39,52.73,1.23,55
Total Biscuit of Everlasting Will,2010,65.28,65.96,12.16,47
Plated Steelcaps,3047,59.72,74.42,8.21,43
Bramble Vest,3076,48.61,54.29,-0.75,35
Chain Vest,1031,48.61,54.29,-0.23,35
Thornmail,3075,33.33,62.5,-13.1,24
Armored Advance,3174,26.39,84.21,10.95,19
Mercury's Treads,3111,25.0,22.22,-1.59,18
Forbidden Idol,3114,25.0,61.11,6.7,18
Redemption,3107,25.0,72.22,31.57,18
Glowing Mote,2022,23.61,52.94,-5.35,17
Knight's Vow,3109,22.22,56.25,5.15,16
Negatron Cloak,1057,18.06,69.23,-15.77,13
Rejuvenation Bead,1006,16.67,50.0,3.42,12
Faerie Charm,1004,15.28,81.82,2.45,11
Spectre's Cowl,3211,13.89,90.0,2.77,10
Solstice Sleigh,3876,13.89,70.0,10.17,10
Kaenic Rookern,2504,11.11,75.0,-9.72,8
Celestial Opposition,3869,9.72,71.43,-15.07,7
Giant's Belt,1011,9.72,71.43,-0.1,7
Refillable Potion,2031,8.33,66.67,12.54,6
Chainlaced Crushers,3173,8.33,50.0,3.33,6
Boots of Swiftness,3009,6.94,40.0,1.44,5
Elixir of Iron,2138,5.56,100.0,-6.38,4
Warden's Mail,3082,4.17,66.67,-3.88,3
Symbiotic Soles,3010,4.17,33.33,13.46,3
Crystalline Bracer,3801,4.17,66.67,-9.32,3
Heartsteel,3084,4.17,66.67,2.24,3
Bami's Cinder,6660,2.78,100.0,-15.68,2
Long Sword,1036,2.78,50.0,8.68,2
Frozen Heart,3110,2.78,100.0,-13.85,2
Ionian Boots of Lucidity,3158,2.78,50.0,13.0,2
Zeke's Convergence,3050,2.78,50.0,10.18,2
Aegis of the Legion,3105,2.78,100.0,6.91,2
Unending Despair,2502,2.78,100.0,5.19,2
Sunfire Aegis,3068,1.39,100.0,-4.86,1
Pickaxe,1037,1.39,100.0,0.01,1
Tear of the Goddess,3070,1.39,100.0,12.91,1
Caulfield's Warhammer,3133,1.39,100.0,-4.23,1
Eclipse,6692,1.39,100.0,-21.52,1
Winter's Approach,3119,1.39,100.0,0,1
Swiftmarch,3170,1.39,0.0,0,1
Glacial Buckler,3024,1.39,100.0,-13.95,1
Slightly Magical Footwear,2422,1.39,0.0,6.19,1
Zaz'Zak's Realmspike,3871,1.39,0.0,-9.74,1
Hearthbound Axe,3051,1.39,0.0,-9.24,1
Phage,3044,1.39,0.0,16.62,1
Sheen,3057,1.39,0.0,-11.19,1
Trinity Force,3078,1.39,0.0,-11.11,1
Dagger,1042,1.39,0.0,-16.71,1
Cloak of Agility,1018,1.39,0.0,0.95,1
Zeal,3086,1.39,0.0,-12.12,1
Navori Flickerblade,6675,1.39,0.0,-26.36,1
Crimson Lucidity,3171,1.39,100.0,-4.89,1
Synchronized Souls,3013,1.39,100.0,-4.43,1
Forever Forward,3176,1.39,100.0,-4.43,1
"Jak'Sho, The Protean",6665,1.39,100.0,9.0,1
Watchful Wardstone,4638,1.39,100.0,-1.92,1
Winged Moonplate,3066,1.39,100.0,27.72,1
Dead Man's Plate,3742,1.39,100.0,25.31,1
