Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Doran's Blade,1055,100.0,44.26,19.11,61
Health Potion,2003,100.0,44.26,3.93,61
Pickaxe,1037,100.0,44.26,12.78,61
Essence Reaver,3508,95.08,44.83,22.61,58
Long Sword,1036,88.52,40.74,14.86,54
Cloak of Agility,1018,86.89,45.28,14.73,53
Total Biscuit of Everlasting Will,2010,83.61,43.14,10.63,51
Caulfield's Warhammer,3133,83.61,41.18,17.57,51
Slightly Magical Footwear,2422,81.97,46.0,19.5,50
Dagger,1042,77.05,46.81,20.02,47
Stealth Ward,3340,75.41,45.65,12.6,46
Infinity Edge,3031,75.41,47.83,17.48,46
B. F. Sword,1038,67.21,51.22,18.69,41
Navori Flickerblade,6675,62.3,52.63,13.2,38
Farsight Alteration,3363,52.46,53.12,11.7,32
Zeal,3086,52.46,46.88,12.82,32
Ionian Boots of Lucidity,3158,44.26,37.04,18.21,27
Berserker's Greaves,3006,37.7,56.52,17.76,23
Control Ward,2055,36.07,40.91,12.63,22
Last Whisper,3035,31.15,47.37,9.59,19
The Collector,6676,27.87,47.06,5.01,17
Glowing Mote,2022,26.23,18.75,13.06,16
Serrated Dirk,3134,26.23,56.25,8.55,16
Executioner's Calling,3123,22.95,57.14,10.46,14
Lord Dominik's Regards,3036,21.31,46.15,23.13,13
Gunmetal Greaves,3172,19.67,66.67,-1.59,12
Refillable Potion,2031,19.67,41.67,3.04,12
Crimson Lucidity,3171,18.03,45.45,20.08,11
Noonquiver,6670,18.03,36.36,14.12,11
Plated Steelcaps,3047,16.39,50.0,18.34,10
Boots,1001,13.11,37.5,24.68,8
Elixir of Wrath,2140,11.48,57.14,-3.6,7
Mortal Reminder,3033,9.84,33.33,5.94,6
Vampiric Scepter,1053,9.84,16.67,2.3,6
Cloth Armor,1029,6.56,75.0,11.15,4
Armored Advance,3174,6.56,100.0,2.61,4
Hearthbound Axe,3051,6.56,50.0,7.92,4
Kraken Slayer,6672,6.56,50.0,3.67,4
Bloodthirster,3072,4.92,33.33,44.31,3
Recurve Bow,1043,4.92,66.67,0.3,3
Rectrix,6690,4.92,33.33,32.91,3
Rapid Firecannon,3094,3.28,100.0,11.7,2
Cull,1083,3.28,0.0,5.07,2
Blade of The Ruined King,3153,3.28,100.0,-7.76,2
Serpent's Fang,6695,1.64,0.0,-1.09,1
Null-Magic Mantle,1033,1.64,100.0,54.71,1
Mercury's Treads,3111,1.64,100.0,62.06,1
Chainlaced Crushers,3173,1.64,100.0,42.67,1
Mercurial Scimitar,3139,1.64,0.0,11.27,1
Scout's Slingshot,3144,1.64,100.0,-20.86,1
Steel Sigil,2019,1.64,100.0,0,1
Immortal Shieldbow,6673,1.64,0.0,0,1
Oracle Lens,3364,1.64,0.0,38.53,1
Guardian Angel,3026,1.64,0.0,0,1
Negatron Cloak,1057,1.64,100.0,0,1
