Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Amplifying Tome,1052,98.41,54.84,20.97,62
Health Potion,2003,95.24,58.33,17.28,60
Liandry's Torment,6653,87.3,58.18,21.43,55
Doran's Ring,1056,84.13,64.15,1.55,53
Lost Chapter,3802,84.13,56.6,21.52,53
Fated Ashes,2508,80.95,52.94,23.09,51
Sorcerer's Shoes,3020,76.19,47.92,23.31,48
Haunting Guise,3147,71.43,55.56,22.03,45
Rylai's Crystal Scepter,3116,71.43,51.11,22.27,45
Blackfire Torch,2503,69.84,59.09,29.71,44
Blasting Wand,1026,68.25,53.49,18.65,43
Slightly Magical Footwear,2422,66.67,54.76,23.56,42
Stealth Ward,3340,58.73,62.16,20.02,37
Needlessly Large Rod,1058,57.14,58.33,8.98,36
Sapphire Crystal,1027,57.14,52.78,18.96,36
Control Ward,2055,52.38,54.55,17.53,33
Giant's Belt,1011,52.38,60.61,18.05,33
Ruby Crystal,1028,50.79,50.0,21.57,32
Glowing Mote,2022,41.27,38.46,24.79,26
Spellslinger's Shoes,3175,34.92,63.64,9.26,22
Malignance,3118,33.33,61.9,9.39,21
Rabadon's Deathcap,3089,26.98,58.82,13.63,17
Refillable Potion,2031,26.98,41.18,26.72,17
Boots,1001,25.4,50.0,24.59,16
Farsight Alteration,3363,22.22,57.14,15.62,14
Seeker's Armguard,2420,19.05,83.33,19.85,12
Tear of the Goddess,3070,17.46,36.36,15.55,11
Oblivion Orb,3916,15.87,10.0,12.98,10
Zhonya's Hourglass,3157,14.29,88.89,6.89,9
Ionian Boots of Lucidity,3158,12.7,75.0,17.17,8
Elixir of Sorcery,2139,12.7,50.0,3.54,8
Shattered Armguard,2421,12.7,87.5,6.89,8
Archangel's Staff,3003,11.11,14.29,4.95,7
Shadowflame,4645,9.52,33.33,18.65,6
Cloth Armor,1029,7.94,100.0,20.69,5
Hextech Alternator,3145,7.94,60.0,23.89,5
Morellonomicon,3165,6.35,25.0,19.66,4
Blighting Jewel,4630,6.35,25.0,-6.7,4
Oracle Lens,3364,4.76,66.67,41.4,3
Crimson Lucidity,3171,4.76,66.67,-4.95,3
Fiendish Codex,3108,4.76,0.0,14.36,3
Dark Seal,1082,4.76,66.67,65.21,3
Void Staff,3135,4.76,33.33,-23.31,3
Mejai's Soulstealer,3041,3.17,100.0,0,2
Eye of the Herald,3513,3.17,100.0,-30.5,2
Boots of Swiftness,3009,3.17,0.0,3.04,2
Total Biscuit of Everlasting Will,2010,1.59,0.0,83.08,1
Kindlegem,3067,1.59,0.0,-4.31,1
Your Cut,3400,1.59,0.0,19.69,1
Cull,1083,1.59,0.0,-10.33,1
Verdant Barrier,4632,1.59,0.0,-7.18,1
Banshee's Veil,3102,1.59,0.0,-6.32,1
Long Sword,1036,1.59,0.0,80.83,1
Negatron Cloak,1057,1.59,100.0,0,1
Plated Steelcaps,3047,1.59,100.0,45.3,1
Armored Advance,3174,1.59,100.0,56.45,1
Symbiotic Soles,3010,1.59,100.0,33.31,1
