Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Long Sword,1036,97.67,59.52,16.89,42
Stealth Ward,3340,88.37,63.16,11.77,38
Phage,3044,88.37,57.89,21.04,38
Trinity Force,3078,86.05,56.76,34.78,37
Ruby Crystal,1028,86.05,56.76,17.79,37
Oracle Lens,3364,74.42,59.38,16.37,32
Sheen,3057,69.77,46.67,15.26,30
Tunneler,2021,65.12,57.14,25.71,28
Slightly Magical Footwear,2422,62.79,55.56,28.78,27
Caulfield's Warhammer,3133,62.79,62.96,21.67,27
Control Ward,2055,60.47,50.0,20.13,26
Sundered Sky,6610,60.47,57.69,27.13,26
Health Potion,2003,55.81,58.33,5.23,24
Gustwalker Hatchling,1102,53.49,60.87,37.93,23
Pickaxe,1037,53.49,65.22,15.66,23
Hearthbound Axe,3051,53.49,47.83,24.12,23
Plated Steelcaps,3047,46.51,65.0,25.54,20
Black Cleaver,3071,46.51,55.0,38.31,20
Glowing Mote,2022,44.19,47.37,29.67,19
Mercury's Treads,3111,39.53,52.94,29.48,17
Eye of the Herald,3513,32.56,78.57,34.42,14
Kindlegem,3067,30.23,53.85,8.19,13
Dagger,1042,30.23,38.46,17.36,13
Boots,1001,27.91,75.0,15.25,12
Cloth Armor,1029,27.91,58.33,36.82,12
Steel Sigil,2019,25.58,45.45,-0.87,11
Scorchclaw Pup,1101,23.26,70.0,44.12,10
Death's Dance,6333,20.93,55.56,-4.26,9
Null-Magic Mantle,1033,20.93,44.44,28.6,9
Armored Advance,3174,20.93,77.78,14.48,9
Sterak's Gage,3053,13.95,83.33,14.29,6
Doran's Blade,1055,11.63,60.0,17.95,5
Chainlaced Crushers,3173,11.63,80.0,56.28,5
Hexdrinker,3155,9.3,50.0,23.55,4
Maw of Malmortius,3156,9.3,50.0,-1.77,4
Elixir of Wrath,2140,6.98,33.33,-25.56,3
Mosstomper Seedling,1103,6.98,33.33,-27.85,3
Tiamat,3077,6.98,33.33,7.74,3
Serrated Dirk,3134,6.98,100.0,29.16,3
Refillable Potion,2031,4.65,50.0,11.75,2
Your Cut,3400,4.65,100.0,92.47,2
Executioner's Calling,3123,4.65,50.0,-23.0,2
Serpent's Fang,6695,4.65,100.0,47.63,2
Eclipse,6692,4.65,100.0,-38.89,2
Profane Hydra,6698,4.65,50.0,25.92,2
Spectre's Cowl,3211,2.33,100.0,17.83,1
Kaenic Rookern,2504,2.33,100.0,8.5,1
Vampiric Scepter,1053,2.33,0.0,15.4,1
Blade of The Ruined King,3153,2.33,0.0,4.66,1
Doran's Shield,1054,2.33,0.0,-29.23,1
Bramble Vest,3076,2.33,0.0,0,1
Giant's Belt,1011,2.33,100.0,-22.99,1
Chempunk Chainsword,6609,2.33,100.0,-44.74,1
Elixir of Iron,2138,2.33,100.0,0,1
World Atlas,3865,2.33,100.0,29.16,1
Umbral Glaive,3179,2.33,100.0,35.03,1
Runic Compass,3866,2.33,100.0,18.23,1
Bounty of Worlds,3867,2.33,100.0,18.47,1
Rejuvenation Bead,1006,2.33,0.0,0,1
