Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Long Sword,1036,100.0,42.42,17.09,33
Pickaxe,1037,96.97,43.75,14.71,32
Stealth Ward,3340,72.73,41.67,15.92,24
Caulfield's Warhammer,3133,72.73,33.33,9.0,24
Control Ward,2055,69.7,52.17,12.92,23
Oracle Lens,3364,63.64,38.1,18.37,21
Health Potion,2003,57.58,36.84,14.47,19
Tunneler,2021,54.55,44.44,10.85,18
Scorchclaw Pup,1101,54.55,38.89,27.59,18
Ionian Boots of Lucidity,3158,54.55,27.78,6.44,18
Eclipse,6692,51.52,47.06,31.78,17
Serrated Dirk,3134,51.52,41.18,12.97,17
Spear of Shojin,3161,51.52,35.29,13.63,17
Boots,1001,48.48,50.0,19.22,16
Ruby Crystal,1028,48.48,25.0,14.28,16
Glowing Mote,2022,42.42,35.71,6.0,14
Profane Hydra,6698,39.39,23.08,28.48,13
The Brutalizer,2020,39.39,23.08,4.65,13
Serylda's Grudge,6694,36.36,33.33,15.53,12
Slightly Magical Footwear,2422,36.36,41.67,26.3,12
Last Whisper,3035,33.33,36.36,1.4,11
Plated Steelcaps,3047,30.3,70.0,29.98,10
Black Cleaver,3071,30.3,40.0,15.52,10
Edge of Night,3814,27.27,33.33,10.29,9
Eye of the Herald,3513,27.27,55.56,32.21,9
Tiamat,3077,27.27,33.33,16.25,9
Steel Sigil,2019,24.24,62.5,3.84,8
Refillable Potion,2031,21.21,71.43,13.22,7
Gustwalker Hatchling,1102,21.21,57.14,49.86,7
Doran's Blade,1055,18.18,33.33,-11.26,6
Opportunity,6701,18.18,33.33,8.76,6
Phage,3044,18.18,50.0,18.32,6
Hexdrinker,3155,18.18,0.0,1.51,6
Death's Dance,6333,15.15,60.0,6.47,5
Null-Magic Mantle,1033,15.15,40.0,2.89,5
Crimson Lucidity,3171,15.15,60.0,10.76,5
Kindlegem,3067,15.15,40.0,23.42,5
Armored Advance,3174,15.15,80.0,18.02,5
Cloth Armor,1029,15.15,60.0,31.86,5
Voltaic Cyclosword,6699,15.15,60.0,6.85,5
Elixir of Wrath,2140,12.12,0.0,-12.69,4
Maw of Malmortius,3156,12.12,0.0,-17.06,4
Hubris,6697,12.12,50.0,-5.61,4
Axiom Arc,6696,9.09,0.0,-9.67,3
Executioner's Calling,3123,9.09,0.0,9.81,3
Serpent's Fang,6695,6.06,100.0,14.56,2
Mercury's Treads,3111,6.06,50.0,16.41,2
Guardian Angel,3026,6.06,50.0,-12.0,2
B. F. Sword,1038,6.06,50.0,18.04,2
Rectrix,6690,3.03,0.0,50.14,1
Youmuu's Ghostblade,3142,3.03,0.0,51.35,1
Your Cut,3400,3.03,0.0,22.22,1
Doran's Shield,1054,3.03,0.0,11.28,1
Elixir of Iron,2138,3.03,0.0,-8.5,1
Sterak's Gage,3053,3.03,0.0,0,1
Farsight Alteration,3363,3.03,100.0,0,1
Symbiotic Soles,3010,3.03,0.0,22.99,1
Chempunk Chainsword,6609,3.03,0.0,10.73,1
Cloak of Agility,1018,3.03,100.0,43.76,1
The Collector,6676,3.03,100.0,30.92,1
