Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Sheen,3057,94.29,51.52,24.35,33
Health Potion,2003,85.71,46.67,25.79,30
Trinity Force,3078,77.14,55.56,38.59,27
Ruby Crystal,1028,74.29,38.46,22.24,26
Doran's Shield,1054,71.43,48.0,36.64,25
Stealth Ward,3340,71.43,44.0,29.93,25
Cloth Armor,1029,68.57,41.67,22.27,24
Long Sword,1036,62.86,50.0,17.73,22
Phage,3044,60.0,47.62,33.38,21
Boots,1001,57.14,40.0,18.29,20
Null-Magic Mantle,1033,54.29,52.63,38.22,19
Spirit Visage,3065,54.29,68.42,34.18,19
Ionian Boots of Lucidity,3158,51.43,55.56,22.31,18
Frozen Heart,3110,48.57,47.06,30.95,17
Control Ward,2055,42.86,60.0,26.82,15
Spectre's Cowl,3211,42.86,46.67,38.93,15
Chain Vest,1031,42.86,40.0,18.85,15
Glowing Mote,2022,40.0,35.71,23.56,14
Bramble Vest,3076,37.14,53.85,31.89,13
Glacial Buckler,3024,34.29,58.33,33.57,12
Tunneler,2021,31.43,54.55,8.67,11
Dagger,1042,28.57,40.0,26.15,10
Warden's Mail,3082,28.57,40.0,24.93,10
Thornmail,3075,28.57,50.0,36.93,10
Plated Steelcaps,3047,25.71,33.33,23.22,9
Kindlegem,3067,25.71,55.56,46.83,9
Hearthbound Axe,3051,22.86,50.0,20.54,8
Negatron Cloak,1057,22.86,25.0,27.05,8
Gustwalker Hatchling,1102,22.86,62.5,37.53,8
Oracle Lens,3364,22.86,75.0,20.3,8
Sundered Sky,6610,20.0,42.86,4.84,7
Mercury's Treads,3111,20.0,57.14,25.13,7
Slightly Magical Footwear,2422,17.14,50.0,8.42,6
Crimson Lucidity,3171,17.14,83.33,52.85,6
Iceborn Gauntlet,6662,17.14,33.33,39.45,6
Caulfield's Warhammer,3133,14.29,80.0,30.64,5
Refillable Potion,2031,14.29,80.0,13.95,5
Winged Moonplate,3066,14.29,40.0,8.63,5
Sapphire Crystal,1027,14.29,60.0,67.04,5
Giant's Belt,1011,11.43,25.0,-7.8,4
Farsight Alteration,3363,8.57,33.33,48.74,3
"Jak'Sho, The Protean",6665,8.57,0.0,7.64,3
Dead Man's Plate,3742,8.57,66.67,16.0,3
Kaenic Rookern,2504,8.57,0.0,8.92,3
Force of Nature,4401,8.57,66.67,18.4,3
Rejuvenation Bead,1006,5.71,100.0,48.42,2
Chainlaced Crushers,3173,5.71,50.0,-14.75,2
Doran's Ring,1056,5.71,0.0,8.77,2
Elixir of Iron,2138,5.71,0.0,64.95,2
Armored Advance,3174,5.71,50.0,67.33,2
Eye of the Herald,3513,5.71,50.0,11.0,2
Serrated Dirk,3134,2.86,0.0,47.86,1
Pickaxe,1037,2.86,0.0,47.99,1
The Collector,6676,2.86,0.0,110.69,1
Lord Dominik's Regards,3036,2.86,0.0,-2.82,1
Total Biscuit of Everlasting Will,2010,2.86,0.0,-2.05,1
Tiamat,3077,2.86,100.0,21.38,1
Profane Hydra,6698,2.86,100.0,-15.99,1
Boots of Swiftness,3009,2.86,0.0,62.01,1
