Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,45.24,4.39,84
Stealth Ward,3340,98.81,44.58,4.14,83
Oracle Lens,3364,98.81,45.78,3.86,83
Cloth Armor,1029,95.24,45.0,6.76,80
World Atlas,3865,94.05,48.1,11.87,79
Boots,1001,92.86,46.15,4.36,78
Runic Compass,3866,92.86,47.44,9.7,78
Bounty of Worlds,3867,90.48,48.68,8.6,76
Ruby Crystal,1028,88.1,44.59,2.5,74
Kindlegem,3067,88.1,48.65,3.46,74
Locket of the Iron Solari,3190,85.71,48.61,8.22,72
Null-Magic Mantle,1033,84.52,43.66,0.94,71
Control Ward,2055,83.33,42.86,4.48,70
Total Biscuit of Everlasting Will,2010,60.71,49.02,2.22,51
Plated Steelcaps,3047,55.95,44.68,9.55,47
Bramble Vest,3076,50.0,45.24,2.46,42
Chain Vest,1031,48.81,36.59,1.18,41
Glowing Mote,2022,41.67,48.57,5.61,35
Mercury's Treads,3111,36.9,51.61,1.99,31
Knight's Vow,3109,27.38,60.87,-8.48,23
Thornmail,3075,26.19,36.36,-3.79,22
Redemption,3107,19.05,43.75,24.05,16
Armored Advance,3174,17.86,73.33,-3.55,15
Negatron Cloak,1057,17.86,46.67,-17.98,15
Forbidden Idol,3114,17.86,46.67,2.55,15
Chainlaced Crushers,3173,15.48,69.23,1.27,13
Rejuvenation Bead,1006,15.48,69.23,-6.17,13
Solstice Sleigh,3876,14.29,50.0,19.38,12
Faerie Charm,1004,14.29,50.0,-1.95,12
Warden's Mail,3082,11.9,70.0,11.0,10
Spectre's Cowl,3211,11.9,50.0,-0.54,10
Giant's Belt,1011,10.71,55.56,4.58,9
Bami's Cinder,6660,9.52,0.0,3.58,8
Sunfire Aegis,3068,9.52,0.0,0.36,8
Refillable Potion,2031,9.52,25.0,3.35,8
Kaenic Rookern,2504,8.33,57.14,-12.47,7
Amplifying Tome,1052,8.33,14.29,-1.66,7
Aegis of the Legion,3105,7.14,16.67,4.43,6
Unending Despair,2502,7.14,16.67,-0.32,6
Liandry's Torment,6653,5.95,0.0,-0.82,5
Crystalline Bracer,3801,4.76,25.0,24.03,4
Gustwalker Hatchling,1102,4.76,0.0,22.47,4
Haunting Guise,3147,4.76,0.0,-4.23,4
Slightly Magical Footwear,2422,4.76,25.0,28.34,4
Fated Ashes,2508,3.57,0.0,9.91,3
Boots of Swiftness,3009,3.57,66.67,-16.05,3
Glacial Buckler,3024,3.57,66.67,-51.74,3
Heartsteel,3084,3.57,33.33,17.4,3
Randuin's Omen,3143,2.38,100.0,0,2
Celestial Opposition,3869,2.38,50.0,-1.5,2
Elixir of Iron,2138,2.38,100.0,-3.72,2
Dark Seal,1082,2.38,50.0,-30.06,2
Fiendish Codex,3108,2.38,50.0,-12.22,2
Tear of the Goddess,3070,1.19,0.0,0,1
Winged Moonplate,3066,1.19,100.0,17.17,1
Trailblazer,3002,1.19,100.0,0,1
Watchful Wardstone,4638,1.19,0.0,0,1
Eye of the Herald,3513,1.19,0.0,64.2,1
"Jak'Sho, The Protean",6665,1.19,100.0,0,1
Catalyst of Aeons,3803,1.19,0.0,22.68,1
Blasting Wand,1026,1.19,0.0,8.39,1
Rod of Ages,6657,1.19,0.0,12.17,1
Oblivion Orb,3916,1.19,0.0,12.46,1
Imperial Mandate,4005,1.19,0.0,26.1,1
Mejai's Soulstealer,3041,1.19,0.0,0,1
Swiftmarch,3170,1.19,100.0,-5.75,1
Hextech Alternator,3145,1.19,100.0,1.58,1
Hextech Rocketbelt,3152,1.19,100.0,-19.74,1
Frozen Heart,3110,1.19,100.0,0,1
