Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Amplifying Tome,1052,100.0,48.78,14.5,41
Health Potion,2003,97.56,50.0,17.08,40
Hextech Alternator,3145,87.8,50.0,17.9,36
Boots,1001,82.93,50.0,9.83,34
Hextech Rocketbelt,3152,82.93,52.94,24.37,34
Stealth Ward,3340,82.93,52.94,16.93,34
Control Ward,2055,75.61,51.61,13.28,31
World Atlas,3865,75.61,48.39,24.56,31
Runic Compass,3866,75.61,48.39,17.44,31
Bounty of Worlds,3867,73.17,50.0,19.96,30
Oracle Lens,3364,68.29,50.0,17.69,28
Seeker's Armguard,2420,63.41,53.85,11.96,26
Fiendish Codex,3108,63.41,53.85,22.68,26
Needlessly Large Rod,1058,53.66,54.55,24.76,22
Sorcerer's Shoes,3020,46.34,47.37,6.0,19
Total Biscuit of Everlasting Will,2010,41.46,52.94,14.71,17
Ionian Boots of Lucidity,3158,41.46,58.82,3.67,17
Glowing Mote,2022,39.02,37.5,16.08,16
Zhonya's Hourglass,3157,39.02,43.75,15.26,16
Cloth Armor,1029,29.27,33.33,8.86,12
Ruby Crystal,1028,29.27,50.0,22.98,12
Dark Seal,1082,21.95,66.67,28.84,9
Lost Chapter,3802,21.95,33.33,25.33,9
Doran's Ring,1056,19.51,50.0,25.95,8
Spellslinger's Shoes,3175,19.51,62.5,-4.66,8
Shadowflame,4645,17.07,57.14,64.9,7
Luden's Companion,6655,17.07,28.57,14.38,7
Shattered Armguard,2421,17.07,42.86,14.13,7
Stormsurge,4646,14.63,33.33,5.96,6
Aether Wisp,3113,12.2,20.0,10.28,5
Refillable Potion,2031,12.2,60.0,9.38,5
Slightly Magical Footwear,2422,12.2,40.0,-12.72,5
Kindlegem,3067,9.76,25.0,4.94,4
Sapphire Crystal,1027,9.76,50.0,36.58,4
Crimson Lucidity,3171,9.76,75.0,-0.65,4
Oblivion Orb,3916,9.76,25.0,-8.19,4
Blasting Wand,1026,7.32,33.33,39.37,3
Blighting Jewel,4630,4.88,50.0,0,2
Eye of the Herald,3513,4.88,100.0,8.04,2
Verdant Barrier,4632,4.88,0.0,31.46,2
Banshee's Veil,3102,4.88,0.0,-7.23,2
Fated Ashes,2508,4.88,100.0,-8.81,2
Boots of Swiftness,3009,4.88,50.0,-14.39,2
Rabadon's Deathcap,3089,4.88,50.0,56.3,2
Morellonomicon,3165,4.88,50.0,-10.19,2
Malignance,3118,4.88,50.0,8.59,2
Scorchclaw Pup,1101,2.44,100.0,-1.32,1
Null-Magic Mantle,1033,2.44,100.0,17.97,1
Locket of the Iron Solari,3190,2.44,100.0,22.62,1
Warden's Mail,3082,2.44,0.0,-19.34,1
Glacial Buckler,3024,2.44,0.0,-0.72,1
Frozen Heart,3110,2.44,0.0,0,1
Haunting Guise,3147,2.44,100.0,-18.62,1
Liandry's Torment,6653,2.44,100.0,-1.28,1
Zaz'Zak's Realmspike,3871,2.44,0.0,63.56,1
Celestial Opposition,3869,2.44,0.0,65.32,1
Mejai's Soulstealer,3041,2.44,100.0,56.35,1
Gustwalker Hatchling,1102,2.44,0.0,18.16,1
Dagger,1042,2.44,0.0,26.57,1
Nashor's Tooth,3115,2.44,0.0,57.56,1
