Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Gustwalker Hatchling,1102,80.95,35.29,6.83,17
Boots,1001,80.95,29.41,8.13,17
Amplifying Tome,1052,76.19,43.75,19.84,16
Stealth Ward,3340,76.19,37.5,6.14,16
Oracle Lens,3364,71.43,46.67,7.92,15
Liandry's Torment,6653,66.67,35.71,5.56,14
Ruby Crystal,1028,57.14,33.33,-2.01,12
Fated Ashes,2508,57.14,33.33,9.13,12
Health Potion,2003,57.14,41.67,6.66,12
Haunting Guise,3147,52.38,45.45,16.86,11
Hextech Alternator,3145,47.62,50.0,3.62,10
Hextech Rocketbelt,3152,47.62,50.0,9.67,10
Control Ward,2055,47.62,30.0,14.82,10
Sorcerer's Shoes,3020,42.86,55.56,7.23,9
Dark Seal,1082,38.1,50.0,14.04,8
Cloth Armor,1029,38.1,12.5,2.23,8
Needlessly Large Rod,1058,33.33,71.43,16.83,7
Plated Steelcaps,3047,33.33,28.57,-3.54,7
Fiendish Codex,3108,33.33,57.14,0.5,7
Eye of the Herald,3513,33.33,57.14,13.6,7
Null-Magic Mantle,1033,28.57,16.67,-13.32,6
Glowing Mote,2022,23.81,20.0,16.33,5
Spectre's Cowl,3211,23.81,0.0,-1.52,5
Bami's Cinder,6660,23.81,40.0,27.99,5
Shadowflame,4645,19.05,50.0,-6.46,4
Chain Vest,1031,19.05,25.0,3.45,4
Frozen Heart,3110,19.05,25.0,-17.48,4
Negatron Cloak,1057,19.05,25.0,11.14,4
Rabadon's Deathcap,3089,19.05,75.0,49.04,4
Bramble Vest,3076,19.05,25.0,-13.37,4
Mejai's Soulstealer,3041,19.05,100.0,9.5,4
Mercury's Treads,3111,14.29,0.0,-25.74,3
Spirit Visage,3065,14.29,33.33,-12.57,3
Warden's Mail,3082,14.29,33.33,7.84,3
Kaenic Rookern,2504,14.29,33.33,16.79,3
Rejuvenation Bead,1006,9.52,0.0,-17.4,2
Kindlegem,3067,9.52,0.0,-3.67,2
Zhonya's Hourglass,3157,9.52,100.0,0,2
Blighting Jewel,4630,9.52,50.0,49.58,2
Glacial Buckler,3024,9.52,0.0,-40.03,2
Sunfire Aegis,3068,9.52,50.0,38.72,2
Winged Moonplate,3066,4.76,0.0,-18.9,1
Dead Man's Plate,3742,4.76,0.0,-21.4,1
Thornmail,3075,4.76,100.0,31.45,1
Scorchclaw Pup,1101,4.76,100.0,70.74,1
Blasting Wand,1026,4.76,0.0,49.6,1
Void Staff,3135,4.76,0.0,1.26,1
Farsight Alteration,3363,4.76,0.0,1.47,1
Elixir of Sorcery,2139,4.76,0.0,0,1
World Atlas,3865,4.76,0.0,19.11,1
Runic Compass,3866,4.76,0.0,5.65,1
Bounty of Worlds,3867,4.76,0.0,8.05,1
Cosmic Drive,4629,4.76,0.0,0,1
Mosstomper Seedling,1103,4.76,0.0,44.32,1
Slightly Magical Footwear,2422,4.76,0.0,-37.86,1
Doran's Ring,1056,4.76,100.0,0,1
Aether Wisp,3113,4.76,100.0,30.11,1
Symbiotic Soles,3010,4.76,100.0,51.37,1
Stormsurge,4646,4.76,100.0,10.14,1
Ionian Boots of Lucidity,3158,4.76,100.0,24.18,1
Seeker's Armguard,2420,4.76,100.0,0,1
Hollow Radiance,6664,4.76,0.0,0,1
Spellslinger's Shoes,3175,4.76,100.0,2.15,1
