Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Long Sword,1036,96.55,50.0,24.93,28
Health Potion,2003,93.1,51.85,17.04,27
Boots,1001,86.21,44.0,26.99,25
Tiamat,3077,86.21,48.0,20.58,25
Ruby Crystal,1028,82.76,45.83,13.29,24
Phage,3044,82.76,50.0,14.81,24
Tunneler,2021,82.76,50.0,18.98,24
Total Biscuit of Everlasting Will,2010,72.41,52.38,23.63,21
Stridebreaker,6631,68.97,45.0,20.47,20
Doran's Blade,1055,62.07,50.0,9.53,18
Dagger,1042,62.07,33.33,13.32,18
Caulfield's Warhammer,3133,62.07,44.44,24.64,18
Stealth Ward,3340,62.07,44.44,-0.04,18
Sundered Sky,6610,55.17,43.75,20.26,16
Plated Steelcaps,3047,51.72,53.33,25.77,15
Cloth Armor,1029,48.28,50.0,25.56,14
Pickaxe,1037,41.38,41.67,19.21,12
Experimental Hexplate,3073,41.38,66.67,16.9,12
Steel Sigil,2019,37.93,45.45,17.83,11
Death's Dance,6333,34.48,60.0,24.05,10
Control Ward,2055,31.03,77.78,32.73,9
Doran's Shield,1054,31.03,44.44,20.09,9
Mercury's Treads,3111,31.03,44.44,39.06,9
Vampiric Scepter,1053,27.59,50.0,13.01,8
Sterak's Gage,3053,24.14,42.86,22.42,7
Ravenous Hydra,3074,24.14,71.43,22.41,7
Glowing Mote,2022,20.69,66.67,19.84,6
Refillable Potion,2031,20.69,50.0,14.42,6
Null-Magic Mantle,1033,20.69,50.0,25.68,6
Spectre's Cowl,3211,17.24,60.0,11.48,5
Oracle Lens,3364,17.24,60.0,0.92,5
Hexdrinker,3155,17.24,40.0,91.17,5
Spirit Visage,3065,13.79,50.0,-7.84,4
Boots of Swiftness,3009,13.79,50.0,49.58,4
Chainlaced Crushers,3173,13.79,50.0,58.26,4
Overlord's Bloodmail,2501,10.34,66.67,-25.63,3
Elixir of Iron,2138,10.34,0.0,-37.71,3
Gustwalker Hatchling,1102,10.34,33.33,21.21,3
Slightly Magical Footwear,2422,10.34,66.67,40.77,3
Armored Advance,3174,10.34,66.67,6.28,3
Winged Moonplate,3066,10.34,33.33,9.54,3
Force of Nature,4401,10.34,33.33,13.87,3
Warden's Mail,3082,6.9,100.0,0,2
Elixir of Wrath,2140,6.9,0.0,-43.33,2
Executioner's Calling,3123,6.9,50.0,35.0,2
Symbiotic Soles,3010,6.9,0.0,-14.45,2
Negatron Cloak,1057,6.9,0.0,8.25,2
Chain Vest,1031,6.9,0.0,-41.77,2
Eye of the Herald,3513,3.45,100.0,-0.5,1
Kindlegem,3067,3.45,100.0,0,1
Maw of Malmortius,3156,3.45,100.0,94.21,1
Chempunk Chainsword,6609,3.45,100.0,53.74,1
Bramble Vest,3076,3.45,0.0,-41.78,1
Thornmail,3075,3.45,0.0,-36.13,1
Scorchclaw Pup,1101,3.45,0.0,-11.3,1
Sheen,3057,3.45,0.0,10.42,1
Trinity Force,3078,3.45,0.0,10.89,1
Black Cleaver,3071,3.45,0.0,15.33,1
Blade of The Ruined King,3153,3.45,0.0,-28.7,1
B. F. Sword,1038,3.45,0.0,-5.47,1
Synchronized Souls,3013,3.45,0.0,-32.86,1
Forever Forward,3176,3.45,0.0,-32.86,1
Bloodthirster,3072,3.45,0.0,0,1
Dead Man's Plate,3742,3.45,100.0,22.3,1
