Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,97.87,63.04,21.44,46
Doran's Ring,1056,95.74,62.22,11.14,45
Amplifying Tome,1052,95.74,62.22,17.36,45
Boots,1001,87.23,65.85,17.59,41
Lost Chapter,3802,85.11,60.0,15.2,40
Sorcerer's Shoes,3020,80.85,60.53,22.08,38
Needlessly Large Rod,1058,72.34,61.76,9.15,34
Stealth Ward,3340,59.57,64.29,22.11,28
Sapphire Crystal,1027,55.32,57.69,14.26,26
Hextech Alternator,3145,53.19,56.0,20.54,25
Control Ward,2055,51.06,75.0,11.11,24
Luden's Companion,6655,51.06,54.17,18.54,24
Shadowflame,4645,42.55,60.0,6.2,20
Tear of the Goddess,3070,40.43,73.68,15.11,19
Rabadon's Deathcap,3089,40.43,63.16,15.48,19
Refillable Potion,2031,38.3,44.44,3.23,18
Archangel's Staff,3003,34.04,68.75,21.89,16
Fated Ashes,2508,34.04,68.75,18.94,16
Fiendish Codex,3108,31.91,46.67,14.97,15
Glowing Mote,2022,27.66,38.46,17.66,13
Ruby Crystal,1028,25.53,58.33,19.74,12
Farsight Alteration,3363,23.4,54.55,9.98,11
Spellslinger's Shoes,3175,23.4,90.91,38.4,11
Blasting Wand,1026,23.4,72.73,12.45,11
Seeker's Armguard,2420,21.28,60.0,9.16,10
Zhonya's Hourglass,3157,21.28,60.0,-17.45,10
Aether Wisp,3113,19.15,66.67,8.1,9
Liandry's Torment,6653,19.15,66.67,16.46,9
Ionian Boots of Lucidity,3158,17.02,87.5,35.76,8
Blackfire Torch,2503,17.02,75.0,15.62,8
Haunting Guise,3147,14.89,57.14,19.72,7
Rod of Ages,6657,14.89,85.71,13.03,7
Stormsurge,4646,12.77,50.0,10.63,6
Dark Seal,1082,12.77,66.67,1.85,6
Catalyst of Aeons,3803,12.77,100.0,13.26,6
Shattered Armguard,2421,10.64,60.0,-30.06,5
Total Biscuit of Everlasting Will,2010,10.64,80.0,15.64,5
Elixir of Sorcery,2139,10.64,60.0,-1.37,5
Blighting Jewel,4630,10.64,20.0,7.23,5
Oracle Lens,3364,8.51,75.0,-12.82,4
Mejai's Soulstealer,3041,8.51,75.0,-13.4,4
Horizon Focus,4628,8.51,25.0,38.75,4
Cloth Armor,1029,6.38,33.33,17.27,3
Crimson Lucidity,3171,4.26,100.0,-12.96,2
Void Staff,3135,4.26,0.0,-22.99,2
Oblivion Orb,3916,4.26,100.0,30.82,2
Null-Magic Mantle,1033,4.26,100.0,19.3,2
Verdant Barrier,4632,4.26,100.0,0,2
Malignance,3118,2.13,0.0,31.8,1
Mercury's Treads,3111,2.13,0.0,0.69,1
Kindlegem,3067,2.13,100.0,-16.44,1
Morellonomicon,3165,2.13,100.0,-32.28,1
Negatron Cloak,1057,2.13,100.0,16.2,1
Spectre's Cowl,3211,2.13,100.0,2.59,1
Kaenic Rookern,2504,2.13,100.0,3.32,1
Slightly Magical Footwear,2422,2.13,0.0,11.23,1
Faerie Charm,1004,2.13,100.0,-19.18,1
Forbidden Idol,3114,2.13,100.0,-5.85,1
World Atlas,3865,2.13,100.0,23.6,1
Runic Compass,3866,2.13,100.0,10.64,1
Bounty of Worlds,3867,2.13,100.0,4.06,1
Ardent Censer,3504,2.13,100.0,7.66,1
Cryptbloom,3137,2.13,100.0,-10.86,1
