Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Long Sword,1036,95.24,40.0,28.37,20
Pickaxe,1037,95.24,40.0,21.4,20
Symbiotic Soles,3010,90.48,47.37,16.78,19
Serrated Dirk,3134,85.71,44.44,31.03,18
Doran's Blade,1055,80.95,47.06,27.17,17
Health Potion,2003,80.95,47.06,16.89,17
Cloak of Agility,1018,76.19,43.75,41.6,16
Stealth Ward,3340,71.43,33.33,27.05,15
Tiamat,3077,66.67,42.86,11.12,14
Profane Hydra,6698,66.67,42.86,4.84,14
The Collector,6676,61.9,53.85,56.1,13
Boots,1001,57.14,41.67,10.71,12
Tunneler,2021,52.38,36.36,19.06,11
Glowing Mote,2022,52.38,27.27,9.36,11
Last Whisper,3035,42.86,55.56,53.4,9
Edge of Night,3814,42.86,55.56,16.34,9
Lord Dominik's Regards,3036,38.1,62.5,82.11,8
Control Ward,2055,38.1,12.5,25.38,8
The Brutalizer,2020,38.1,50.0,14.75,8
Rectrix,6690,33.33,42.86,30.19,7
Oracle Lens,3364,33.33,28.57,30.54,7
Ruby Crystal,1028,33.33,42.86,32.02,7
B. F. Sword,1038,28.57,50.0,11.5,6
Refillable Potion,2031,28.57,33.33,34.94,6
Infinity Edge,3031,28.57,66.67,-7.9,6
Dagger,1042,23.81,40.0,20.43,5
Scout's Slingshot,3144,23.81,20.0,32.91,5
Statikk Shiv,3087,23.81,40.0,43.09,5
Synchronized Souls,3013,23.81,80.0,94.4,5
Forever Forward,3176,23.81,80.0,94.4,5
Noonquiver,6670,19.05,50.0,39.84,4
Executioner's Calling,3123,14.29,0.0,38.47,3
Yun Tal Wildarrows,3032,9.52,0.0,31.52,2
Hearthbound Axe,3051,9.52,100.0,27.66,2
Kraken Slayer,6672,9.52,100.0,17.85,2
Boots of Swiftness,3009,9.52,0.0,29.83,2
Eye of the Herald,3513,4.76,0.0,37.43,1
Serpent's Fang,6695,4.76,0.0,0,1
Farsight Alteration,3363,4.76,0.0,33.48,1
Mortal Reminder,3033,4.76,0.0,22.56,1
Vampiric Scepter,1053,4.76,0.0,-1.37,1
Blade of The Ruined King,3153,4.76,0.0,-19.78,1
Cull,1083,4.76,0.0,14.1,1
Zeal,3086,4.76,100.0,0,1
Phantom Dancer,3046,4.76,100.0,0,1
Null-Magic Mantle,1033,4.76,0.0,13.05,1
Hexdrinker,3155,4.76,0.0,-4.93,1
Caulfield's Warhammer,3133,4.76,0.0,-4.93,1
Maw of Malmortius,3156,4.76,0.0,-0.6,1
Youmuu's Ghostblade,3142,4.76,0.0,-32.49,1
