Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,45.71,9.95,35
Kindlegem,3067,100.0,45.71,3.06,35
Stealth Ward,3340,100.0,45.71,6.26,35
Oracle Lens,3364,100.0,45.71,7.08,35
World Atlas,3865,97.14,47.06,16.68,34
Control Ward,2055,97.14,47.06,4.89,34
Runic Compass,3866,97.14,47.06,11.17,34
Bounty of Worlds,3867,97.14,47.06,7.14,34
Cloth Armor,1029,88.57,51.61,2.6,31
Ruby Crystal,1028,77.14,55.56,7.63,27
Null-Magic Mantle,1033,74.29,50.0,5.22,26
Glowing Mote,2022,71.43,44.0,10.82,25
Locket of the Iron Solari,3190,71.43,52.0,-0.98,25
Boots,1001,71.43,40.0,6.95,25
Ionian Boots of Lucidity,3158,68.57,54.17,7.16,24
Redemption,3107,60.0,47.62,2.08,21
Forbidden Idol,3114,57.14,45.0,7.93,20
Total Biscuit of Everlasting Will,2010,40.0,64.29,16.14,14
Zeke's Convergence,3050,37.14,46.15,-3.94,13
Crimson Lucidity,3171,34.29,75.0,7.23,12
Faerie Charm,1004,34.29,41.67,14.23,12
Chain Vest,1031,25.71,55.56,8.96,9
Amplifying Tome,1052,25.71,55.56,0.16,9
Slightly Magical Footwear,2422,22.86,62.5,9.54,8
Knight's Vow,3109,20.0,57.14,1.3,7
Aether Wisp,3113,17.14,50.0,-13.2,6
Shurelya's Battlesong,2065,11.43,75.0,7.31,4
Bandleglass Mirror,4642,11.43,50.0,1.7,4
Plated Steelcaps,3047,11.43,25.0,10.68,4
Mercury's Treads,3111,11.43,25.0,-5.47,4
Boots of Swiftness,3009,5.71,0.0,-2.36,2
Elixir of Iron,2138,5.71,50.0,-9.88,2
Symbiotic Soles,3010,5.71,100.0,28.07,2
Celestial Opposition,3869,5.71,50.0,-22.25,2
Refillable Potion,2031,5.71,50.0,0.8,2
Bramble Vest,3076,5.71,0.0,20.4,2
Echoes of Helia,6620,2.86,100.0,-7.91,1
Fiendish Codex,3108,2.86,100.0,32.48,1
Imperial Mandate,4005,2.86,100.0,25.75,1
Watchful Wardstone,4638,2.86,100.0,-20.27,1
Vigilant Wardstone,4643,2.86,100.0,0,1
Doran's Ring,1056,2.86,0.0,-37.02,1
Sapphire Crystal,1027,2.86,0.0,28.71,1
Lost Chapter,3802,2.86,0.0,7.07,1
Dark Seal,1082,2.86,0.0,43.17,1
Luden's Companion,6655,2.86,0.0,-4.18,1
Blasting Wand,1026,2.86,0.0,1.63,1
Malignance,3118,2.86,0.0,26.25,1
Cosmic Drive,4629,2.86,0.0,-59.41,1
Spectre's Cowl,3211,2.86,0.0,0,1
Eye of the Herald,3513,2.86,100.0,37.81,1
Berserker's Greaves,3006,2.86,100.0,-0.52,1
Rejuvenation Bead,1006,2.86,100.0,9.19,1
Negatron Cloak,1057,2.86,100.0,54.36,1
Solstice Sleigh,3876,2.86,100.0,-30.13,1
Elixir of Sorcery,2139,2.86,100.0,0,1
Chainlaced Crushers,3173,2.86,0.0,-9.61,1
