Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,33.33,-6.33,6
Long Sword,1036,100.0,33.33,12.25,6
Tiamat,3077,100.0,33.33,12.48,6
Tunneler,2021,100.0,33.33,12.13,6
Titanic Hydra,3748,100.0,33.33,38.39,6
Ruby Crystal,1028,83.33,20.0,15.8,5
Plated Steelcaps,3047,66.67,25.0,21.7,4
Pickaxe,1037,66.67,0.0,-16.64,4
Spear of Shojin,3161,66.67,25.0,-20.61,4
Doran's Shield,1054,50.0,0.0,17.49,3
Cloth Armor,1029,50.0,33.33,24.17,3
Boots,1001,50.0,0.0,18.57,3
Stealth Ward,3340,50.0,33.33,8.72,3
Slightly Magical Footwear,2422,50.0,66.67,-12.59,3
Doran's Blade,1055,33.33,50.0,0,2
Total Biscuit of Everlasting Will,2010,33.33,50.0,10.7,2
Oracle Lens,3364,33.33,50.0,28.35,2
Refillable Potion,2031,16.67,0.0,2.9,1
Bramble Vest,3076,16.67,0.0,29.55,1
Overlord's Bloodmail,2501,16.67,0.0,-22.93,1
Hullbreaker,3181,16.67,100.0,-8.93,1
Boots of Swiftness,3009,16.67,100.0,-0.56,1
Sterak's Gage,3053,16.67,100.0,29.8,1
Gustwalker Hatchling,1102,16.67,0.0,0,1
Control Ward,2055,16.67,0.0,-10.0,1
Scorchclaw Pup,1101,16.67,100.0,69.53,1
Serrated Dirk,3134,16.67,100.0,47.81,1
Cloak of Agility,1018,16.67,100.0,63.9,1
The Collector,6676,16.67,100.0,98.45,1
Eye of the Herald,3513,16.67,100.0,69.0,1
Last Whisper,3035,16.67,100.0,27.12,1
Noonquiver,6670,16.67,100.0,0,1
