Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,53.85,10.12,26
Control Ward,2055,100.0,53.85,5.93,26
Stealth Ward,3340,100.0,53.85,14.73,26
Oracle Lens,3364,100.0,53.85,14.73,26
World Atlas,3865,100.0,53.85,20.35,26
Null-Magic Mantle,1033,100.0,53.85,9.43,26
Runic Compass,3866,100.0,53.85,2.69,26
Bounty of Worlds,3867,100.0,53.85,1.34,26
Boots,1001,96.15,56.0,3.35,25
Cloth Armor,1029,96.15,56.0,15.56,25
Kindlegem,3067,96.15,52.0,8.29,25
Ruby Crystal,1028,88.46,47.83,13.33,23
Locket of the Iron Solari,3190,88.46,52.17,11.22,23
Bramble Vest,3076,53.85,42.86,22.52,14
Plated Steelcaps,3047,50.0,61.54,9.93,13
Zeke's Convergence,3050,50.0,53.85,-6.79,13
Glowing Mote,2022,46.15,41.67,8.1,12
Forbidden Idol,3114,38.46,50.0,7.07,10
Redemption,3107,34.62,44.44,-5.45,9
Armored Advance,3174,30.77,75.0,17.91,8
Faerie Charm,1004,26.92,28.57,10.21,7
Total Biscuit of Everlasting Will,2010,23.08,33.33,48.87,6
Ionian Boots of Lucidity,3158,23.08,66.67,1.6,6
Chain Vest,1031,19.23,20.0,-9.25,5
Crimson Lucidity,3171,19.23,80.0,10.18,5
Negatron Cloak,1057,15.38,75.0,21.82,4
Mercury's Treads,3111,15.38,50.0,-1.6,4
Rejuvenation Bead,1006,15.38,75.0,11.58,4
Spectre's Cowl,3211,11.54,66.67,-0.35,3
Kaenic Rookern,2504,11.54,66.67,-14.34,3
Refillable Potion,2031,11.54,66.67,33.65,3
Thornmail,3075,11.54,33.33,0,3
Boots of Swiftness,3009,7.69,0.0,-9.52,2
Force of Nature,4401,7.69,100.0,0,2
Chainlaced Crushers,3173,7.69,50.0,9.03,2
Elixir of Iron,2138,7.69,100.0,-12.18,2
Watchful Wardstone,4638,7.69,50.0,-4.27,2
Farsight Alteration,3363,3.85,0.0,0,1
Slightly Magical Footwear,2422,3.85,0.0,-32.24,1
Solstice Sleigh,3876,3.85,100.0,-29.11,1
Knight's Vow,3109,3.85,0.0,-3.17,1
Winged Moonplate,3066,3.85,100.0,15.99,1
Celestial Opposition,3869,3.85,0.0,-5.46,1
Bami's Cinder,6660,3.85,100.0,24.18,1
Vigilant Wardstone,4643,3.85,100.0,-4.23,1
