Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Stealth Ward,3340,100.0,61.54,16.38,13
Health Potion,2003,100.0,61.54,8.94,13
World Atlas,3865,100.0,61.54,25.91,13
Kindlegem,3067,100.0,61.54,7.72,13
Oracle Lens,3364,100.0,61.54,16.38,13
Runic Compass,3866,100.0,61.54,10.6,13
Bounty of Worlds,3867,100.0,61.54,11.32,13
Control Ward,2055,92.31,66.67,20.52,12
Cloth Armor,1029,84.62,63.64,-1.53,11
Ionian Boots of Lucidity,3158,84.62,54.55,22.62,11
Ruby Crystal,1028,76.92,70.0,10.81,10
Locket of the Iron Solari,3190,76.92,70.0,-2.68,10
Boots,1001,69.23,55.56,16.75,9
Null-Magic Mantle,1033,69.23,66.67,0.64,9
Forbidden Idol,3114,69.23,66.67,1.18,9
Glowing Mote,2022,61.54,62.5,10.64,8
Faerie Charm,1004,61.54,75.0,27.52,8
Redemption,3107,53.85,71.43,1.11,7
Bandleglass Mirror,4642,46.15,66.67,30.38,6
Total Biscuit of Everlasting Will,2010,38.46,80.0,8.69,5
Aether Wisp,3113,30.77,75.0,11.15,4
Shurelya's Battlesong,2065,30.77,75.0,4.0,4
Fiendish Codex,3108,30.77,50.0,47.54,4
Imperial Mandate,4005,30.77,50.0,51.42,4
Crimson Lucidity,3171,23.08,66.67,41.72,3
Amplifying Tome,1052,23.08,33.33,24.1,3
Slightly Magical Footwear,2422,15.38,50.0,17.23,2
Mercury's Treads,3111,15.38,100.0,29.39,2
Ardent Censer,3504,15.38,50.0,0,2
Refillable Potion,2031,7.69,0.0,-12.52,1
Mikael's Blessing,3222,7.69,0.0,0,1
Knight's Vow,3109,7.69,100.0,42.55,1
