Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,40.74,27.24,54
Pickaxe,1037,92.59,40.0,11.36,50
Boots,1001,90.74,40.82,20.13,49
Long Sword,1036,88.89,39.58,17.0,48
Ruby Crystal,1028,85.19,36.96,16.18,46
Caulfield's Warhammer,3133,81.48,40.91,16.18,44
Eclipse,6692,81.48,40.91,20.32,44
Doran's Blade,1055,79.63,37.21,3.54,43
Tunneler,2021,72.22,33.33,7.12,39
Stealth Ward,3340,68.52,43.24,12.44,37
Plated Steelcaps,3047,66.67,50.0,16.9,36
Phage,3044,62.96,47.06,14.57,34
Black Cleaver,3071,62.96,41.18,11.35,34
Kindlegem,3067,48.15,42.31,18.85,26
Cloth Armor,1029,48.15,46.15,23.34,26
Glowing Mote,2022,40.74,40.91,12.27,22
Sterak's Gage,3053,38.89,33.33,-3.4,21
Control Ward,2055,35.19,42.11,19.99,19
Spear of Shojin,3161,33.33,22.22,11.2,18
Mercury's Treads,3111,33.33,22.22,9.81,18
Steel Sigil,2019,24.07,61.54,10.53,13
Doran's Shield,1054,24.07,46.15,-13.58,13
Armored Advance,3174,22.22,66.67,-5.61,12
Refillable Potion,2031,22.22,41.67,9.85,12
Null-Magic Mantle,1033,18.52,30.0,14.43,10
Sundered Sky,6610,16.67,44.44,17.69,9
Oracle Lens,3364,16.67,44.44,-1.53,9
Death's Dance,6333,16.67,55.56,3.57,9
Spectre's Cowl,3211,11.11,50.0,1.37,6
Dagger,1042,11.11,33.33,11.91,6
Tiamat,3077,9.26,40.0,10.54,5
Stridebreaker,6631,9.26,40.0,10.67,5
Chainlaced Crushers,3173,9.26,60.0,-8.89,5
Elixir of Iron,2138,7.41,50.0,-49.77,4
Spirit Visage,3065,7.41,50.0,-12.86,4
Farsight Alteration,3363,5.56,33.33,59.67,3
Blade of The Ruined King,3153,5.56,33.33,9.97,3
Eye of the Herald,3513,5.56,100.0,12.58,3
Elixir of Wrath,2140,5.56,0.0,-41.79,3
Executioner's Calling,3123,3.7,0.0,-4.34,2
Chempunk Chainsword,6609,3.7,0.0,-2.86,2
Vampiric Scepter,1053,3.7,0.0,36.31,2
Serrated Dirk,3134,3.7,50.0,46.23,2
Hubris,6697,3.7,50.0,33.37,2
Maw of Malmortius,3156,3.7,50.0,-8.04,2
Bramble Vest,3076,3.7,50.0,26.21,2
Randuin's Omen,3143,1.85,0.0,-17.97,1
Guardian Angel,3026,1.85,100.0,0,1
Hexdrinker,3155,1.85,100.0,-2.7,1
Recurve Bow,1043,1.85,0.0,42.6,1
B. F. Sword,1038,1.85,100.0,0,1
The Brutalizer,2020,1.85,0.0,-4.18,1
Voltaic Cyclosword,6699,1.85,0.0,3.18,1
Ionian Boots of Lucidity,3158,1.85,0.0,14.84,1
