Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Long Sword,1036,98.18,51.85,15.86,54
Serrated Dirk,3134,96.36,52.83,14.53,53
Gustwalker Hatchling,1102,92.73,52.94,19.36,51
Stealth Ward,3340,92.73,54.9,10.79,51
Boots,1001,92.73,54.9,13.24,51
Ionian Boots of Lucidity,3158,83.64,52.17,15.82,46
Tiamat,3077,80.0,52.27,14.51,44
Profane Hydra,6698,80.0,50.0,15.64,44
Youmuu's Ghostblade,3142,76.36,52.38,20.17,42
Oracle Lens,3364,76.36,47.62,10.84,42
Control Ward,2055,58.18,56.25,15.99,32
Pickaxe,1037,58.18,50.0,11.78,32
Rectrix,6690,50.91,50.0,21.62,28
Health Potion,2003,45.45,76.0,14.33,25
Last Whisper,3035,45.45,48.0,2.16,25
Glowing Mote,2022,43.64,58.33,11.83,24
The Brutalizer,2020,41.82,43.48,19.94,23
Eye of the Herald,3513,41.82,73.91,25.51,23
Edge of Night,3814,36.36,55.0,13.71,20
Lord Dominik's Regards,3036,34.55,57.89,8.47,19
Tunneler,2021,30.91,47.06,14.29,17
Opportunity,6701,29.09,43.75,15.68,16
Cloak of Agility,1018,25.45,50.0,0.16,14
Crimson Lucidity,3171,23.64,84.62,18.13,13
Noonquiver,6670,20.0,54.55,11.65,11
Serpent's Fang,6695,16.36,33.33,29.02,9
Ruby Crystal,1028,16.36,44.44,2.79,9
Elixir of Wrath,2140,12.73,71.43,-10.04,7
Mortal Reminder,3033,10.91,66.67,1.74,6
B. F. Sword,1038,10.91,66.67,2.37,6
Infinity Edge,3031,10.91,83.33,13.05,6
Hubris,6697,9.09,40.0,10.46,5
Executioner's Calling,3123,9.09,40.0,1.64,5
Caulfield's Warhammer,3133,9.09,80.0,14.96,5
Axiom Arc,6696,7.27,75.0,16.77,4
Farsight Alteration,3363,5.45,66.67,19.64,3
Voltaic Cyclosword,6699,5.45,33.33,-3.77,3
Steel Sigil,2019,5.45,66.67,-6.32,3
Boots of Swiftness,3009,5.45,33.33,8.67,3
Scorchclaw Pup,1101,5.45,33.33,6.14,3
Refillable Potion,2031,5.45,100.0,27.94,3
Mercury's Treads,3111,3.64,50.0,27.18,2
Zeal,3086,1.82,0.0,0,1
Phantom Dancer,3046,1.82,0.0,0,1
Ravenous Hydra,3074,1.82,0.0,0,1
World Atlas,3865,1.82,100.0,36.06,1
Umbral Glaive,3179,1.82,100.0,10.0,1
Runic Compass,3866,1.82,100.0,0,1
Bounty of Worlds,3867,1.82,100.0,0,1
Bloodsong,3877,1.82,100.0,0,1
Serylda's Grudge,6694,1.82,100.0,0,1
Elixir of Avarice,2151,1.82,100.0,0,1
Elixir of Force,2152,1.82,100.0,21.54,1
Elixir of Skill,2150,1.82,100.0,48.31,1
Swiftmarch,3170,1.82,100.0,64.43,1
Eclipse,6692,1.82,100.0,-16.15,1
Cloth Armor,1029,1.82,100.0,8.85,1
Death's Dance,6333,1.82,100.0,0,1
