Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,97.83,42.22,10.93,45
Long Sword,1036,97.83,44.44,16.12,45
Caulfield's Warhammer,3133,95.65,45.45,12.32,44
Doran's Blade,1055,86.96,42.5,-8.49,40
Pickaxe,1037,82.61,39.47,15.19,38
Sundered Sky,6610,78.26,50.0,8.21,36
Eclipse,6692,73.91,44.12,15.51,34
Ruby Crystal,1028,71.74,51.52,16.31,33
Ionian Boots of Lucidity,3158,71.74,42.42,14.21,33
Stealth Ward,3340,69.57,46.88,16.83,32
Tunneler,2021,69.57,46.88,6.02,32
Boots,1001,65.22,36.67,20.53,30
Glowing Mote,2022,60.87,42.86,19.29,28
Steel Sigil,2019,52.17,45.83,22.89,24
Death's Dance,6333,50.0,52.17,19.12,23
Refillable Potion,2031,47.83,31.82,6.77,22
Total Biscuit of Everlasting Will,2010,45.65,28.57,11.86,21
Control Ward,2055,45.65,28.57,11.57,21
Cloth Armor,1029,39.13,44.44,32.07,18
Phage,3044,23.91,45.45,21.3,11
Plated Steelcaps,3047,23.91,54.55,30.03,11
Oracle Lens,3364,23.91,27.27,19.62,11
Crimson Lucidity,3171,21.74,70.0,7.37,10
Kindlegem,3067,19.57,44.44,19.2,9
Black Cleaver,3071,19.57,55.56,14.86,9
Hexdrinker,3155,19.57,77.78,17.59,9
Maw of Malmortius,3156,17.39,87.5,23.38,8
Null-Magic Mantle,1033,15.22,28.57,30.86,7
Last Whisper,3035,15.22,57.14,24.91,7
The Brutalizer,2020,13.04,50.0,58.25,6
Mercury's Treads,3111,10.87,40.0,32.67,5
Doran's Shield,1054,10.87,40.0,91.36,5
Tiamat,3077,10.87,60.0,21.36,5
Profane Hydra,6698,10.87,60.0,37.73,5
Serylda's Grudge,6694,8.7,50.0,46.69,4
Executioner's Calling,3123,8.7,50.0,37.98,4
Eye of the Herald,3513,8.7,100.0,28.54,4
Farsight Alteration,3363,8.7,75.0,11.02,4
Elixir of Wrath,2140,6.52,33.33,-17.37,3
Gustwalker Hatchling,1102,6.52,66.67,5.43,3
Serrated Dirk,3134,4.35,0.0,19.28,2
Serpent's Fang,6695,4.35,0.0,-11.04,2
Ravenous Hydra,3074,4.35,100.0,-5.8,2
Armored Advance,3174,4.35,100.0,0,2
Chainlaced Crushers,3173,4.35,50.0,-11.61,2
Elixir of Avarice,2151,4.35,0.0,43.19,2
Elixir of Force,2152,4.35,0.0,17.58,2
Elixir of Skill,2150,4.35,0.0,-26.9,2
Spear of Shojin,3161,2.17,0.0,0,1
Edge of Night,3814,2.17,0.0,0,1
Mortal Reminder,3033,2.17,0.0,12.27,1
Elixir of Iron,2138,2.17,0.0,-40.22,1
Vampiric Scepter,1053,2.17,0.0,0,1
Randuin's Omen,3143,2.17,100.0,0,1
Axiom Arc,6696,2.17,0.0,69.66,1
