Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Amplifying Tome,1052,100.0,56.25,18.21,16
Health Potion,2003,93.75,53.33,11.32,15
Haunting Guise,3147,87.5,57.14,15.67,14
Fated Ashes,2508,87.5,57.14,19.11,14
Liandry's Torment,6653,87.5,57.14,26.95,14
Stealth Ward,3340,81.25,53.85,8.7,13
Boots,1001,81.25,53.85,10.26,13
Doran's Ring,1056,75.0,66.67,24.38,12
Control Ward,2055,68.75,72.73,17.55,11
Sorcerer's Shoes,3020,62.5,70.0,25.35,10
Needlessly Large Rod,1058,62.5,50.0,16.78,10
Fiendish Codex,3108,62.5,40.0,0.27,10
Ruby Crystal,1028,62.5,50.0,12.35,10
Shadowflame,4645,50.0,62.5,16.17,8
Bloodletter's Curse,8010,50.0,62.5,-7.75,8
Hextech Alternator,3145,43.75,71.43,32.62,7
Spellslinger's Shoes,3175,43.75,85.71,19.33,7
Glowing Mote,2022,43.75,42.86,7.57,7
Seeker's Armguard,2420,37.5,66.67,4.32,6
Zhonya's Hourglass,3157,37.5,50.0,-0.23,6
Oracle Lens,3364,31.25,60.0,2.3,5
Refillable Potion,2031,31.25,40.0,13.01,5
Farsight Alteration,3363,31.25,40.0,30.58,5
Shattered Armguard,2421,25.0,50.0,1.26,4
Riftmaker,4633,18.75,33.33,40.75,3
Rabadon's Deathcap,3089,18.75,66.67,13.48,3
Dark Seal,1082,18.75,33.33,0.16,3
Mercury's Treads,3111,18.75,33.33,-4.44,3
Doran's Shield,1054,18.75,0.0,-10.78,3
Elixir of Avarice,2151,12.5,100.0,51.45,2
Elixir of Force,2152,12.5,100.0,51.5,2
Elixir of Skill,2150,12.5,100.0,52.25,2
Boots of Swiftness,3009,12.5,50.0,6.81,2
Cloth Armor,1029,12.5,50.0,-6.67,2
Giant's Belt,1011,12.5,50.0,39.8,2
Rylai's Crystal Scepter,3116,12.5,50.0,79.17,2
Null-Magic Mantle,1033,12.5,0.0,9.9,2
Oblivion Orb,3916,12.5,100.0,6.1,2
Blasting Wand,1026,12.5,50.0,33.78,2
Scorchclaw Pup,1101,6.25,100.0,34.51,1
Aether Wisp,3113,6.25,100.0,46.73,1
Stormsurge,4646,6.25,100.0,110.76,1
Slightly Magical Footwear,2422,6.25,100.0,111.14,1
Eye of the Herald,3513,6.25,100.0,12.36,1
Plated Steelcaps,3047,6.25,0.0,-35.39,1
Chainlaced Crushers,3173,6.25,100.0,25.41,1
Morellonomicon,3165,6.25,100.0,-15.51,1
Verdant Barrier,4632,6.25,0.0,47.76,1
Elixir of Sorcery,2139,6.25,0.0,13.56,1
Kaenic Rookern,2504,6.25,0.0,0,1
Mejai's Soulstealer,3041,6.25,100.0,-8.42,1
