Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Tear of the Goddess,3070,100.0,53.85,13.62,26
Health Potion,2003,96.15,52.0,16.59,25
Rod of Ages,6657,96.15,52.0,17.06,25
Amplifying Tome,1052,96.15,52.0,23.16,25
Archangel's Staff,3003,92.31,54.17,10.61,24
Boots,1001,88.46,47.83,16.03,23
Catalyst of Aeons,3803,84.62,59.09,15.04,22
Ruby Crystal,1028,76.92,55.0,12.2,20
Sapphire Crystal,1027,76.92,55.0,14.62,20
Lost Chapter,3802,69.23,55.56,22.56,18
Blasting Wand,1026,69.23,44.44,12.57,18
Stealth Ward,3340,61.54,68.75,16.64,16
Sorcerer's Shoes,3020,57.69,53.33,7.63,15
Seeker's Armguard,2420,53.85,64.29,15.48,14
Control Ward,2055,50.0,69.23,30.34,13
Needlessly Large Rod,1058,50.0,69.23,37.08,13
Doran's Ring,1056,50.0,30.77,10.16,13
Zhonya's Hourglass,3157,46.15,66.67,23.84,12
Refillable Potion,2031,42.31,54.55,20.16,11
Fiendish Codex,3108,38.46,60.0,16.33,10
Cloth Armor,1029,38.46,70.0,20.58,10
Rabadon's Deathcap,3089,30.77,75.0,28.42,8
Farsight Alteration,3363,19.23,80.0,6.87,5
Shattered Armguard,2421,19.23,80.0,25.57,5
Blighting Jewel,4630,19.23,80.0,39.86,5
Mercury's Treads,3111,19.23,40.0,11.05,5
Glowing Mote,2022,15.38,50.0,44.39,4
Void Staff,3135,15.38,100.0,41.86,4
Dark Seal,1082,15.38,50.0,2.74,4
Cosmic Drive,4629,11.54,33.33,15.1,3
Null-Magic Mantle,1033,11.54,33.33,21.94,3
Ionian Boots of Lucidity,3158,11.54,66.67,-2.52,3
Frozen Heart,3110,11.54,100.0,54.11,3
Total Biscuit of Everlasting Will,2010,11.54,66.67,15.73,3
Spellslinger's Shoes,3175,11.54,100.0,14.76,3
Elixir of Sorcery,2139,11.54,100.0,44.24,3
Oracle Lens,3364,11.54,33.33,32.92,3
Kindlegem,3067,7.69,50.0,19.44,2
Aether Wisp,3113,7.69,50.0,12.59,2
Crimson Lucidity,3171,7.69,100.0,-19.06,2
Glacial Buckler,3024,7.69,100.0,43.11,2
Plated Steelcaps,3047,7.69,100.0,44.74,2
Oblivion Orb,3916,7.69,100.0,65.47,2
Morellonomicon,3165,7.69,100.0,39.91,2
Chainlaced Crushers,3173,7.69,100.0,-12.74,2
Warden's Mail,3082,7.69,100.0,35.83,2
Verdant Barrier,4632,3.85,0.0,-2.68,1
Banshee's Veil,3102,3.85,0.0,0,1
Slightly Magical Footwear,2422,3.85,100.0,35.44,1
Bloodletter's Curse,8010,3.85,100.0,26.4,1
Shadowflame,4645,3.85,100.0,0,1
Mejai's Soulstealer,3041,3.85,100.0,-22.61,1
Fated Ashes,2508,3.85,0.0,0,1
