Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Ruby Crystal,1028,94.12,50.0,5.68,16
Boots,1001,94.12,50.0,15.82,16
Giant's Belt,1011,88.24,53.33,13.37,15
Stealth Ward,3340,88.24,60.0,10.1,15
Oracle Lens,3364,82.35,50.0,8.31,14
Heartsteel,3084,82.35,50.0,13.84,14
Cloth Armor,1029,82.35,42.86,10.81,14
Control Ward,2055,76.47,38.46,14.22,13
Mosstomper Seedling,1103,70.59,58.33,10.17,12
Health Potion,2003,70.59,50.0,6.61,12
Null-Magic Mantle,1033,70.59,41.67,4.57,12
Chain Vest,1031,64.71,54.55,16.42,11
Crystalline Bracer,3801,58.82,40.0,15.72,10
Aegis of the Legion,3105,58.82,70.0,21.24,10
Plated Steelcaps,3047,52.94,55.56,10.6,9
Unending Despair,2502,52.94,66.67,13.97,9
Bramble Vest,3076,52.94,44.44,9.1,9
Thornmail,3075,52.94,55.56,31.44,9
Bami's Cinder,6660,41.18,42.86,-3.4,7
Mercury's Treads,3111,41.18,42.86,21.09,7
Eye of the Herald,3513,35.29,83.33,21.56,6
Sunfire Aegis,3068,35.29,66.67,22.25,6
Rejuvenation Bead,1006,23.53,50.0,-8.43,4
Armored Advance,3174,23.53,50.0,14.81,4
Glowing Mote,2022,23.53,25.0,2.0,4
Gustwalker Hatchling,1102,17.65,66.67,21.08,3
Negatron Cloak,1057,17.65,66.67,37.91,3
Spectre's Cowl,3211,17.65,0.0,-23.5,3
Scorchclaw Pup,1101,11.76,0.0,-4.58,2
Hollow Radiance,6664,11.76,0.0,-30.1,2
Frozen Heart,3110,11.76,50.0,0.04,2
Warden's Mail,3082,11.76,50.0,10.96,2
Kindlegem,3067,11.76,50.0,-21.15,2
Chainlaced Crushers,3173,5.88,100.0,0,1
"Jak'Sho, The Protean",6665,5.88,100.0,10.83,1
Elixir of Iron,2138,5.88,100.0,0,1
Zeke's Convergence,3050,5.88,0.0,-38.74,1
Elixir of Avarice,2151,5.88,100.0,-7.17,1
Ionian Boots of Lucidity,3158,5.88,100.0,-2.72,1
Elixir of Force,2152,5.88,100.0,-0.49,1
Elixir of Skill,2150,5.88,100.0,21.94,1
Locket of the Iron Solari,3190,5.88,100.0,-23.07,1
