Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,98.31,58.62,14.63,58
Stealth Ward,3340,94.92,55.36,19.29,56
Boots of Swiftness,3009,81.36,56.25,14.13,48
Pickaxe,1037,81.36,56.25,16.31,48
Boots,1001,77.97,47.83,12.65,46
Black Cleaver,3071,76.27,53.33,2.96,45
Dagger,1042,67.8,57.5,21.51,40
Control Ward,2055,67.8,52.5,17.35,40
World Atlas,3865,66.1,61.54,25.37,39
Runic Compass,3866,66.1,61.54,15.6,39
Bounty of Worlds,3867,66.1,61.54,16.29,39
Zeal,3086,66.1,58.97,18.8,39
Oracle Lens,3364,62.71,62.16,17.13,37
Long Sword,1036,62.71,51.35,13.63,37
Phage,3044,61.02,50.0,8.22,36
Scout's Slingshot,3144,59.32,57.14,16.97,35
Ruby Crystal,1028,57.63,52.94,18.72,34
Rapid Firecannon,3094,50.85,63.33,19.24,30
Cloak of Agility,1018,50.85,53.33,13.28,30
Kindlegem,3067,45.76,55.56,18.05,27
B. F. Sword,1038,44.07,61.54,17.67,26
Glowing Mote,2022,33.9,50.0,11.68,20
Swiftmarch,3170,32.2,68.42,11.53,19
Doran's Blade,1055,32.2,47.37,38.13,19
Infinity Edge,3031,27.12,56.25,21.65,16
Serrated Dirk,3134,23.73,71.43,19.72,14
Rectrix,6690,22.03,38.46,20.88,13
Statikk Shiv,3087,22.03,38.46,27.44,13
Total Biscuit of Everlasting Will,2010,20.34,41.67,18.55,12
Farsight Alteration,3363,16.95,30.0,16.63,10
Executioner's Calling,3123,15.25,77.78,14.34,9
Refillable Potion,2031,15.25,55.56,8.0,9
The Collector,6676,11.86,71.43,32.76,7
Tear of the Goddess,3070,10.17,33.33,5.41,6
Bloodsong,3877,8.47,40.0,2.38,5
Berserker's Greaves,3006,8.47,60.0,17.95,5
Elixir of Wrath,2140,6.78,75.0,15.0,4
Youmuu's Ghostblade,3142,6.78,75.0,3.44,4
Slightly Magical Footwear,2422,6.78,75.0,30.6,4
Moonstone Renewer,6617,6.78,50.0,-16.73,4
Caulfield's Warhammer,3133,6.78,25.0,15.08,4
Guardian Angel,3026,5.08,66.67,-5.3,3
Bandleglass Mirror,4642,5.08,66.67,-0.86,3
Last Whisper,3035,3.39,100.0,17.26,2
Cloth Armor,1029,3.39,0.0,42.9,2
Navori Flickerblade,6675,3.39,50.0,36.79,2
Echoes of Helia,6620,3.39,50.0,-17.89,2
Manamune,3004,3.39,0.0,10.83,2
Giant's Belt,1011,3.39,0.0,27.06,2
Edge of Night,3814,3.39,100.0,54.66,2
Recurve Bow,1043,3.39,50.0,0.08,2
Chempunk Chainsword,6609,3.39,50.0,8.3,2
Ionian Boots of Lucidity,3158,3.39,100.0,36.7,2
Cull,1083,1.69,100.0,8.23,1
Mortal Reminder,3033,1.69,100.0,23.89,1
Steel Sigil,2019,1.69,0.0,15.84,1
Faerie Charm,1004,1.69,0.0,11.45,1
Amplifying Tome,1052,1.69,0.0,-7.67,1
Hubris,6697,1.69,100.0,32.33,1
Heartsteel,3084,1.69,0.0,22.16,1
The Brutalizer,2020,1.69,100.0,35.86,1
Voltaic Cyclosword,6699,1.69,100.0,28.27,1
Runaan's Hurricane,3085,1.69,100.0,10.49,1
Hearthbound Axe,3051,1.69,0.0,-13.67,1
Kraken Slayer,6672,1.69,0.0,-29.77,1
Winged Moonplate,3066,1.69,0.0,31.4,1
Chain Vest,1031,1.69,0.0,45.03,1
Dead Man's Plate,3742,1.69,0.0,42.13,1
Mercury's Treads,3111,1.69,0.0,-2.49,1
Guinsoo's Rageblade,3124,1.69,100.0,19.16,1
Phantom Dancer,3046,1.69,100.0,-13.44,1
Forbidden Idol,3114,1.69,100.0,8.65,1
Umbral Glaive,3179,1.69,0.0,20.4,1
