Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,42.42,8.24,66
Stealth Ward,3340,89.39,40.68,9.21,59
Boots,1001,87.88,39.66,12.19,58
Amplifying Tome,1052,84.85,42.86,5.85,56
Control Ward,2055,83.33,43.64,16.63,55
World Atlas,3865,83.33,38.18,23.18,55
Runic Compass,3866,83.33,38.18,7.17,55
Bounty of Worlds,3867,83.33,38.18,7.8,55
Oracle Lens,3364,80.3,41.51,7.37,53
Ruby Crystal,1028,68.18,37.78,10.09,45
Ionian Boots of Lucidity,3158,60.61,35.0,5.94,40
Rylai's Crystal Scepter,3116,57.58,44.74,-4.13,38
Blasting Wand,1026,54.55,55.56,0.51,36
Kindlegem,3067,43.94,34.48,8.5,29
Lost Chapter,3802,42.42,57.14,7.89,28
Glowing Mote,2022,40.91,29.63,12.18,27
Giant's Belt,1011,36.36,58.33,12.5,24
Forbidden Idol,3114,36.36,29.17,12.4,24
Sapphire Crystal,1027,34.85,60.87,11.19,23
Total Biscuit of Everlasting Will,2010,31.82,61.9,10.68,21
Redemption,3107,28.79,42.11,9.46,19
Fated Ashes,2508,27.27,55.56,13.17,18
Faerie Charm,1004,27.27,22.22,21.44,18
Tear of the Goddess,3070,25.76,41.18,10.09,17
Blackfire Torch,2503,22.73,66.67,17.05,15
Oblivion Orb,3916,21.21,21.43,15.24,14
Bandleglass Mirror,4642,21.21,14.29,11.17,14
Fiendish Codex,3108,21.21,35.71,-8.52,14
Needlessly Large Rod,1058,19.7,61.54,-3.32,13
Sorcerer's Shoes,3020,19.7,69.23,9.04,13
Archangel's Staff,3003,18.18,50.0,3.53,12
Doran's Ring,1056,16.67,63.64,-1.73,11
Echoes of Helia,6620,16.67,18.18,10.53,11
Cloth Armor,1029,15.15,60.0,-3.52,10
Refillable Potion,2031,15.15,40.0,13.98,10
Seeker's Armguard,2420,13.64,55.56,-14.54,9
Moonstone Renewer,6617,12.12,25.0,10.75,8
Boots of Swiftness,3009,12.12,62.5,14.71,8
Crimson Lucidity,3171,12.12,62.5,-14.08,8
Zhonya's Hourglass,3157,9.09,66.67,-2.88,6
Dark Seal,1082,9.09,50.0,-8.16,6
Farsight Alteration,3363,9.09,50.0,24.14,6
Spellslinger's Shoes,3175,7.58,80.0,3.03,5
Haunting Guise,3147,7.58,80.0,6.75,5
Swiftmarch,3170,6.06,75.0,-10.89,4
Liandry's Torment,6653,6.06,50.0,-2.56,4
Hextech Alternator,3145,6.06,50.0,14.48,4
Elixir of Sorcery,2139,6.06,100.0,11.46,4
Rabadon's Deathcap,3089,6.06,75.0,-1.5,4
Morellonomicon,3165,4.55,0.0,-8.42,3
Shattered Armguard,2421,4.55,66.67,0.18,3
Mejai's Soulstealer,3041,4.55,33.33,-9.63,3
Mikael's Blessing,3222,4.55,33.33,14.71,3
Luden's Companion,6655,4.55,33.33,24.31,3
Ardent Censer,3504,4.55,33.33,-12.63,3
Plated Steelcaps,3047,3.03,100.0,4.66,2
Horizon Focus,4628,3.03,0.0,0,2
Blighting Jewel,4630,3.03,100.0,35.35,2
Slightly Magical Footwear,2422,3.03,50.0,15.9,2
Aether Wisp,3113,3.03,0.0,2.19,2
Malignance,3118,3.03,100.0,-8.48,2
Shadowflame,4645,3.03,50.0,34.7,2
Null-Magic Mantle,1033,3.03,100.0,-5.15,2
Dream Maker,3870,3.03,50.0,49.97,2
Catalyst of Aeons,3803,3.03,50.0,6.73,2
Rod of Ages,6657,3.03,50.0,-0.48,2
Dawncore,6621,1.52,0.0,4.02,1
Zaz'Zak's Realmspike,3871,1.52,100.0,-11.69,1
Void Staff,3135,1.52,100.0,-1.03,1
Lich Bane,3100,1.52,100.0,38.72,1
Verdant Barrier,4632,1.52,100.0,-22.46,1
Banshee's Veil,3102,1.52,100.0,-12.19,1
Watchful Wardstone,4638,1.52,100.0,0,1
Armored Advance,3174,1.52,100.0,0,1
Spectre's Cowl,3211,1.52,100.0,-23.73,1
Spirit Visage,3065,1.52,100.0,-33.25,1
Cryptbloom,3137,1.52,100.0,0,1
