Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,94.55,50.0,16.0,52
Ruby Crystal,1028,89.09,51.02,20.14,49
Boots,1001,87.27,50.0,25.63,48
Doran's Shield,1054,80.0,54.55,12.09,44
Bami's Cinder,6660,74.55,41.46,26.83,41
Cloth Armor,1029,61.82,52.94,19.94,34
Stealth Ward,3340,58.18,56.25,10.47,32
Giant's Belt,1011,58.18,40.62,18.08,32
Chain Vest,1031,52.73,48.28,14.85,29
Null-Magic Mantle,1033,50.91,53.57,19.25,28
Unending Despair,2502,50.91,50.0,15.22,28
Bramble Vest,3076,49.09,51.85,12.81,27
Aegis of the Legion,3105,49.09,59.26,9.68,27
Plated Steelcaps,3047,47.27,50.0,13.73,26
Tunneler,2021,47.27,53.85,14.95,26
Long Sword,1036,45.45,52.0,16.69,25
Sunfire Aegis,3068,40.0,40.91,18.97,22
Thornmail,3075,40.0,63.64,5.49,22
Tiamat,3077,40.0,54.55,21.37,22
Control Ward,2055,38.18,66.67,23.88,21
Titanic Hydra,3748,36.36,55.0,19.92,20
Spectre's Cowl,3211,36.36,60.0,28.42,20
Hollow Radiance,6664,34.55,57.89,28.3,19
Heartsteel,3084,29.09,37.5,20.13,16
Oracle Lens,3364,27.27,46.67,7.92,15
Boots of Swiftness,3009,27.27,66.67,23.07,15
Mercury's Treads,3111,27.27,46.67,19.09,15
Negatron Cloak,1057,25.45,50.0,8.17,14
Cull,1083,20.0,45.45,0.02,11
Refillable Potion,2031,18.18,60.0,21.68,10
Rejuvenation Bead,1006,18.18,50.0,13.93,10
"Jak'Sho, The Protean",6665,18.18,60.0,3.83,10
Overlord's Bloodmail,2501,18.18,60.0,18.83,10
Glowing Mote,2022,14.55,62.5,16.29,8
Armored Advance,3174,12.73,71.43,9.21,7
Pickaxe,1037,12.73,57.14,10.48,7
Crystalline Bracer,3801,10.91,16.67,27.71,6
Elixir of Iron,2138,10.91,50.0,-0.49,6
Warden's Mail,3082,9.09,40.0,-18.82,5
Hullbreaker,3181,7.27,25.0,1.91,4
Kaenic Rookern,2504,7.27,50.0,-1.46,4
Chainlaced Crushers,3173,7.27,75.0,-2.74,4
Total Biscuit of Everlasting Will,2010,7.27,50.0,6.09,4
Spirit Visage,3065,7.27,50.0,12.29,4
Frozen Heart,3110,7.27,50.0,-18.6,4
Serrated Dirk,3134,7.27,50.0,31.48,4
Youmuu's Ghostblade,3142,7.27,50.0,23.22,4
Caulfield's Warhammer,3133,7.27,75.0,22.62,4
Farsight Alteration,3363,7.27,100.0,41.27,4
Winged Moonplate,3066,5.45,66.67,29.4,3
Axiom Arc,6696,5.45,66.67,7.59,3
Last Whisper,3035,5.45,66.67,-18.94,3
Lord Dominik's Regards,3036,5.45,66.67,-44.69,3
World Atlas,3865,5.45,33.33,60.09,3
Runic Compass,3866,5.45,33.33,11.28,3
Bounty of Worlds,3867,5.45,33.33,12.21,3
Rectrix,6690,5.45,66.67,0.1,3
Kindlegem,3067,5.45,66.67,-24.74,3
Swiftmarch,3170,3.64,100.0,-13.14,2
Glacial Buckler,3024,3.64,0.0,-6.66,2
Noonquiver,6670,3.64,100.0,15.12,2
Eye of the Herald,3513,3.64,50.0,-24.97,2
Ionian Boots of Lucidity,3158,1.82,0.0,-4.95,1
Slightly Magical Footwear,2422,1.82,100.0,-7.7,1
The Collector,6676,1.82,0.0,53.64,1
Randuin's Omen,3143,1.82,0.0,-51.96,1
Sundered Sky,6610,1.82,100.0,37.14,1
Sterak's Gage,3053,1.82,100.0,0,1
Dead Man's Plate,3742,1.82,100.0,0,1
Tear of the Goddess,3070,1.82,100.0,0,1
Abyssal Mask,8020,1.82,100.0,-53.24,1
Gustwalker Hatchling,1102,1.82,0.0,3.43,1
Opportunity,6701,1.82,100.0,23.63,1
The Brutalizer,2020,1.82,100.0,-0.96,1
Your Cut,3400,1.82,100.0,31.54,1
