Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,40.0,0.81,15
Stealth Ward,3340,86.67,38.46,1.11,13
Ruby Crystal,1028,86.67,38.46,9.05,13
Giant's Belt,1011,80.0,33.33,6.31,12
Cloth Armor,1029,80.0,33.33,-1.04,12
Heartsteel,3084,73.33,36.36,13.44,11
Oracle Lens,3364,66.67,40.0,12.04,10
Null-Magic Mantle,1033,66.67,40.0,-0.3,10
Slightly Magical Footwear,2422,66.67,50.0,-0.44,10
Mercury's Treads,3111,66.67,30.0,-0.63,10
Control Ward,2055,60.0,44.44,-4.39,9
Mosstomper Seedling,1103,53.33,12.5,-4.46,8
Unending Despair,2502,46.67,42.86,-10.23,7
Bramble Vest,3076,46.67,42.86,4.48,7
Chain Vest,1031,46.67,57.14,7.86,7
Gustwalker Hatchling,1102,40.0,66.67,1.36,6
Crystalline Bracer,3801,40.0,0.0,13.62,6
Bami's Cinder,6660,40.0,33.33,3.1,6
Sunfire Aegis,3068,33.33,40.0,-7.62,5
Aegis of the Legion,3105,33.33,20.0,-10.1,5
Thornmail,3075,33.33,60.0,8.92,5
Plated Steelcaps,3047,33.33,60.0,17.89,5
Boots,1001,26.67,25.0,18.65,4
Eye of the Herald,3513,20.0,0.0,15.07,3
Spectre's Cowl,3211,20.0,0.0,-18.73,3
Glowing Mote,2022,20.0,33.33,17.62,3
Warden's Mail,3082,20.0,33.33,-13.03,3
Negatron Cloak,1057,13.33,0.0,-23.87,2
Rejuvenation Bead,1006,13.33,0.0,13.09,2
Kindlegem,3067,6.67,0.0,-19.7,1
Spirit Visage,3065,6.67,0.0,0,1
Dead Man's Plate,3742,6.67,0.0,0,1
Doran's Shield,1054,6.67,100.0,0,1
Tear of the Goddess,3070,6.67,100.0,80.3,1
Armored Advance,3174,6.67,100.0,12.29,1
"Jak'Sho, The Protean",6665,6.67,100.0,0,1
Hollow Radiance,6664,6.67,0.0,-8.01,1
Warmog's Armor,3083,6.67,0.0,-1.76,1
Farsight Alteration,3363,6.67,0.0,-21.21,1
Scorchclaw Pup,1101,6.67,0.0,0,1
Kaenic Rookern,2504,6.67,100.0,0,1
