Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
World Atlas,3865,100.0,52.38,25.13,21
Health Potion,2003,100.0,52.38,14.73,21
Oracle Lens,3364,100.0,52.38,17.37,21
Runic Compass,3866,100.0,52.38,1.91,21
Bounty of Worlds,3867,100.0,52.38,0.35,21
Stealth Ward,3340,95.24,55.0,17.37,20
Control Ward,2055,90.48,47.37,12.44,19
Bandleglass Mirror,4642,90.48,52.63,11.09,19
Boots,1001,85.71,55.56,1.36,18
Faerie Charm,1004,76.19,50.0,13.08,16
Kindlegem,3067,76.19,62.5,3.51,16
Moonstone Renewer,6617,71.43,53.33,-0.56,15
Echoes of Helia,6620,71.43,53.33,0.28,15
Ionian Boots of Lucidity,3158,66.67,42.86,5.32,14
Glowing Mote,2022,66.67,42.86,11.93,14
Tear of the Goddess,3070,57.14,50.0,1.18,12
Amplifying Tome,1052,57.14,50.0,7.52,12
Forbidden Idol,3114,42.86,44.44,14.56,9
Ruby Crystal,1028,38.1,37.5,12.11,8
Lost Chapter,3802,33.33,42.86,4.36,7
Archangel's Staff,3003,33.33,57.14,5.8,7
Boots of Swiftness,3009,28.57,66.67,2.86,6
Sapphire Crystal,1027,28.57,33.33,-2.66,6
Fiendish Codex,3108,23.81,40.0,18.52,5
Aether Wisp,3113,23.81,60.0,-3.29,5
Blasting Wand,1026,19.05,75.0,39.56,4
Swiftmarch,3170,14.29,100.0,22.78,3
Redemption,3107,14.29,0.0,-11.52,3
Dawncore,6621,9.52,100.0,46.24,2
Refillable Potion,2031,9.52,50.0,-6.29,2
Crimson Lucidity,3171,9.52,100.0,64.33,2
Cloth Armor,1029,4.76,100.0,3.71,1
Plated Steelcaps,3047,4.76,100.0,4.0,1
Dark Seal,1082,4.76,100.0,55.65,1
Dream Maker,3870,4.76,0.0,-8.15,1
Total Biscuit of Everlasting Will,2010,4.76,0.0,-11.25,1
Staff of Flowing Water,6616,4.76,0.0,0,1
Mikael's Blessing,3222,4.76,100.0,0,1
Catalyst of Aeons,3803,4.76,0.0,-14.14,1
Rod of Ages,6657,4.76,0.0,0,1
Ardent Censer,3504,4.76,100.0,0,1
Zaz'Zak's Realmspike,3871,4.76,0.0,-10.31,1
Elixir of Avarice,2151,4.76,100.0,21.13,1
Elixir of Force,2152,4.76,100.0,8.32,1
Elixir of Skill,2150,4.76,100.0,15.58,1
