Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
World Atlas,3865,100.0,42.59,14.86,54
Stealth Ward,3340,100.0,42.59,11.91,54
Oracle Lens,3364,100.0,42.59,11.91,54
Runic Compass,3866,98.15,43.4,0.32,53
Bounty of Worlds,3867,98.15,43.4,-1.28,53
Health Potion,2003,92.59,42.0,-0.96,50
Kindlegem,3067,90.74,40.82,4.46,49
Forbidden Idol,3114,88.89,43.75,2.14,48
Boots,1001,83.33,46.67,0.65,45
Moonstone Renewer,6617,83.33,44.44,3.73,45
Control Ward,2055,83.33,42.22,3.92,45
Bandleglass Mirror,4642,83.33,44.44,7.62,45
Glowing Mote,2022,79.63,37.21,4.24,43
Faerie Charm,1004,77.78,47.62,1.08,42
Ruby Crystal,1028,74.07,47.5,6.16,40
Ionian Boots of Lucidity,3158,64.81,48.57,-1.72,35
Amplifying Tome,1052,59.26,43.75,4.29,32
Redemption,3107,55.56,50.0,10.21,30
Boots of Swiftness,3009,25.93,42.86,-3.13,14
Dawncore,6621,24.07,53.85,5.68,13
Giant's Belt,1011,22.22,66.67,0.17,12
Aether Wisp,3113,22.22,41.67,5.91,12
Refillable Potion,2031,18.52,60.0,-5.46,10
Blasting Wand,1026,18.52,30.0,6.88,10
Ardent Censer,3504,18.52,40.0,0.44,10
Total Biscuit of Everlasting Will,2010,16.67,55.56,5.63,9
Crimson Lucidity,3171,12.96,57.14,-22.89,7
Dream Maker,3870,9.26,40.0,-3.08,5
Crystalline Bracer,3801,9.26,100.0,14.15,5
Dark Seal,1082,7.41,0.0,-12.3,4
Swiftmarch,3170,7.41,75.0,-6.42,4
Warmog's Armor,3083,7.41,50.0,2.56,4
Symbiotic Soles,3010,3.7,50.0,-4.34,2
Echoes of Helia,6620,3.7,50.0,-5.72,2
Lost Chapter,3802,3.7,0.0,26.53,2
Mikael's Blessing,3222,3.7,0.0,4.32,2
Tear of the Goddess,3070,1.85,0.0,11.06,1
Shurelya's Battlesong,2065,1.85,100.0,16.37,1
Locket of the Iron Solari,3190,1.85,100.0,0,1
Elixir of Sorcery,2139,1.85,0.0,0,1
Randuin's Omen,3143,1.85,0.0,0,1
Sapphire Crystal,1027,1.85,0.0,42.42,1
Malignance,3118,1.85,0.0,0,1
Elixir of Iron,2138,1.85,100.0,0,1
Rejuvenation Bead,1006,1.85,100.0,-9.03,1
Synchronized Souls,3013,1.85,100.0,-19.17,1
Forever Forward,3176,1.85,100.0,-19.17,1
Cloth Armor,1029,1.85,0.0,-30.23,1
Slightly Magical Footwear,2422,1.85,0.0,-12.55,1
Plated Steelcaps,3047,1.85,0.0,-12.55,1
