Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,48.78,21.33,41
Boots,1001,97.56,47.5,11.67,40
Amplifying Tome,1052,95.12,46.15,8.88,39
Stealth Ward,3340,78.05,46.88,16.15,32
Blasting Wand,1026,75.61,41.94,4.67,31
Rylai's Crystal Scepter,3116,73.17,56.67,11.84,30
Control Ward,2055,70.73,44.83,13.88,29
Ruby Crystal,1028,68.29,46.43,11.58,28
Giant's Belt,1011,65.85,51.85,15.63,27
World Atlas,3865,65.85,44.44,28.94,27
Runic Compass,3866,65.85,44.44,15.12,27
Bounty of Worlds,3867,65.85,44.44,12.98,27
Oracle Lens,3364,63.41,46.15,14.62,26
Haunting Guise,3147,56.1,43.48,7.81,23
Fated Ashes,2508,51.22,33.33,7.15,21
Liandry's Torment,6653,51.22,42.86,-7.67,21
Sorcerer's Shoes,3020,48.78,60.0,5.95,20
Seeker's Armguard,2420,43.9,50.0,-12.99,18
Lost Chapter,3802,36.59,46.67,14.93,15
Cloth Armor,1029,36.59,26.67,10.63,15
Doran's Ring,1056,34.15,57.14,-6.8,14
Sapphire Crystal,1027,34.15,42.86,12.91,14
Malignance,3118,24.39,50.0,11.1,10
Needlessly Large Rod,1058,24.39,50.0,-16.53,10
Null-Magic Mantle,1033,24.39,40.0,-6.83,10
Mercury's Treads,3111,24.39,40.0,13.61,10
Zhonya's Hourglass,3157,21.95,44.44,-31.32,9
Glowing Mote,2022,17.07,42.86,6.85,7
Plated Steelcaps,3047,17.07,42.86,16.36,7
Shattered Armguard,2421,17.07,42.86,-27.84,7
Refillable Potion,2031,17.07,85.71,37.04,7
Kindlegem,3067,14.63,50.0,19.18,6
Blackfire Torch,2503,14.63,50.0,15.97,6
Tear of the Goddess,3070,12.2,40.0,15.44,5
Spellslinger's Shoes,3175,12.2,40.0,-11.86,5
Oblivion Orb,3916,12.2,20.0,19.89,5
Winter's Approach,3119,9.76,50.0,-3.87,4
Dark Seal,1082,9.76,50.0,-7.07,4
Chainlaced Crushers,3173,9.76,75.0,25.68,4
Fiendish Codex,3108,7.32,100.0,9.68,3
Armored Advance,3174,7.32,66.67,20.29,3
Rod of Ages,6657,7.32,33.33,-8.85,3
Spirit Visage,3065,7.32,33.33,19.85,3
Aegis of the Legion,3105,7.32,33.33,51.4,3
Riftmaker,4633,4.88,100.0,2.45,2
Boots of Swiftness,3009,4.88,0.0,2.69,2
Spectre's Cowl,3211,4.88,50.0,-21.09,2
Catalyst of Aeons,3803,4.88,50.0,10.2,2
Farsight Alteration,3363,4.88,50.0,35.97,2
Zaz'Zak's Realmspike,3871,4.88,0.0,29.39,2
Rejuvenation Bead,1006,4.88,50.0,-13.8,2
Warden's Mail,3082,4.88,50.0,-3.21,2
Ionian Boots of Lucidity,3158,2.44,100.0,0,1
Swiftmarch,3170,2.44,0.0,-6.95,1
Celestial Opposition,3869,2.44,0.0,-0.08,1
Negatron Cloak,1057,2.44,0.0,27.14,1
Bramble Vest,3076,2.44,100.0,-26.17,1
Chain Vest,1031,2.44,100.0,-22.84,1
Glacial Buckler,3024,2.44,100.0,39.73,1
Frozen Heart,3110,2.44,100.0,17.54,1
Unending Despair,2502,2.44,100.0,41.27,1
Total Biscuit of Everlasting Will,2010,2.44,100.0,33.84,1
Slightly Magical Footwear,2422,2.44,100.0,82.05,1
Faerie Charm,1004,2.44,100.0,16.96,1
