Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Amplifying Tome,1052,94.19,54.32,12.51,81
Health Potion,2003,87.21,52.0,15.45,75
Stealth Ward,3340,80.23,50.72,17.28,69
Hextech Alternator,3145,80.23,53.62,11.55,69
Hextech Rocketbelt,3152,76.74,56.06,17.96,66
Fiendish Codex,3108,72.09,50.0,16.93,62
Oracle Lens,3364,60.47,44.23,19.18,52
Sorcerer's Shoes,3020,60.47,50.0,15.23,52
Control Ward,2055,59.3,60.78,20.58,51
Needlessly Large Rod,1058,59.3,56.86,4.42,51
Boots,1001,56.98,48.98,16.46,49
Dark Seal,1082,48.84,50.0,14.0,42
Ruby Crystal,1028,45.35,56.41,13.33,39
Doran's Ring,1056,44.19,60.53,3.15,38
Seeker's Armguard,2420,44.19,60.53,7.05,38
Zhonya's Hourglass,3157,44.19,63.16,-0.04,38
Shadowflame,4645,38.37,51.52,8.33,33
Riftmaker,4633,38.37,51.52,20.66,33
Haunting Guise,3147,37.21,46.88,15.91,32
Glowing Mote,2022,36.05,54.84,10.89,31
Slightly Magical Footwear,2422,34.88,53.33,11.36,30
Gustwalker Hatchling,1102,30.23,46.15,10.03,26
Ionian Boots of Lucidity,3158,26.74,56.52,6.63,23
Aether Wisp,3113,25.58,45.45,14.11,22
Shattered Armguard,2421,24.42,47.62,-17.5,21
Refillable Potion,2031,20.93,55.56,21.54,18
Blasting Wand,1026,20.93,44.44,8.62,18
Rabadon's Deathcap,3089,19.77,76.47,-0.47,17
Spellslinger's Shoes,3175,18.6,81.25,8.09,16
Eye of the Herald,3513,18.6,75.0,26.97,16
Cloth Armor,1029,16.28,50.0,4.38,14
Scorchclaw Pup,1101,16.28,50.0,27.76,14
Lich Bane,3100,15.12,46.15,23.31,13
Kindlegem,3067,13.95,41.67,12.67,12
Mejai's Soulstealer,3041,11.63,60.0,6.94,10
Sapphire Crystal,1027,11.63,40.0,1.15,10
Rod of Ages,6657,11.63,50.0,8.89,10
Mercury's Treads,3111,11.63,50.0,23.0,10
Blighting Jewel,4630,9.3,62.5,-10.83,8
Stormsurge,4646,9.3,37.5,5.95,8
Sheen,3057,9.3,25.0,12.59,8
Catalyst of Aeons,3803,8.14,28.57,5.31,7
Null-Magic Mantle,1033,8.14,42.86,15.19,7
Cosmic Drive,4629,6.98,50.0,4.61,6
World Atlas,3865,5.81,20.0,42.37,5
Runic Compass,3866,5.81,20.0,15.47,5
Bounty of Worlds,3867,5.81,20.0,15.24,5
Elixir of Sorcery,2139,5.81,80.0,-8.97,5
Crimson Lucidity,3171,5.81,80.0,7.27,5
Doran's Shield,1054,5.81,40.0,36.06,5
Farsight Alteration,3363,4.65,75.0,-17.02,4
Void Staff,3135,3.49,33.33,-24.3,3
Plated Steelcaps,3047,3.49,66.67,33.05,3
Kalista's Black Spear,3600,2.33,0.0,0,2
Verdant Barrier,4632,2.33,100.0,-2.86,2
Fated Ashes,2508,2.33,100.0,8.79,2
Liandry's Torment,6653,2.33,100.0,16.23,2
Oblivion Orb,3916,2.33,0.0,-21.5,2
Chainlaced Crushers,3173,2.33,100.0,31.29,2
Elixir of Avarice,2151,2.33,50.0,33.91,2
Elixir of Force,2152,2.33,50.0,-11.88,2
Elixir of Skill,2150,2.33,50.0,-2.31,2
Aegis of the Legion,3105,1.16,0.0,2.02,1
Giant's Belt,1011,1.16,0.0,-43.99,1
Unending Despair,2502,1.16,0.0,0,1
Armored Advance,3174,1.16,0.0,56.18,1
Negatron Cloak,1057,1.16,0.0,-46.6,1
Abyssal Mask,8020,1.16,0.0,0,1
Lost Chapter,3802,1.16,0.0,10.87,1
Luden's Companion,6655,1.16,0.0,-22.79,1
Warden's Mail,3082,1.16,0.0,-35.26,1
Frozen Heart,3110,1.16,0.0,-49.62,1
Mosstomper Seedling,1103,1.16,0.0,43.02,1
Bloodletter's Curse,8010,1.16,100.0,0,1
Spectre's Cowl,3211,1.16,100.0,54.08,1
Spirit Visage,3065,1.16,100.0,0,1
