Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,56.92,14.48,65
Doran's Ring,1056,98.46,57.81,25.6,64
Amplifying Tome,1052,95.38,56.45,17.48,62
Lost Chapter,3802,92.31,60.0,17.85,60
Needlessly Large Rod,1058,84.62,58.18,26.25,55
Sorcerer's Shoes,3020,72.31,59.57,24.38,47
Stealth Ward,3340,70.77,54.35,28.51,46
Hextech Alternator,3145,66.15,58.14,20.17,43
Luden's Companion,6655,58.46,65.79,21.7,38
Slightly Magical Footwear,2422,58.46,52.63,22.69,38
Total Biscuit of Everlasting Will,2010,53.85,51.43,20.04,35
Control Ward,2055,52.31,58.82,19.77,34
Shadowflame,4645,52.31,61.76,25.13,34
Rabadon's Deathcap,3089,49.23,56.25,19.84,32
Blackfire Torch,2503,43.08,46.43,14.01,28
Boots,1001,40.0,65.38,20.07,26
Sapphire Crystal,1027,36.92,54.17,20.19,24
Farsight Alteration,3363,33.85,54.55,29.38,22
Glowing Mote,2022,32.31,57.14,21.31,21
Dark Seal,1082,27.69,61.11,25.88,18
Fated Ashes,2508,27.69,38.89,12.35,18
Seeker's Armguard,2420,27.69,44.44,8.58,18
Refillable Potion,2031,27.69,66.67,15.53,18
Zhonya's Hourglass,3157,24.62,37.5,19.81,16
Aether Wisp,3113,24.62,43.75,16.23,16
Blighting Jewel,4630,23.08,40.0,-3.36,15
Cosmic Drive,4629,23.08,53.33,4.87,15
Fiendish Codex,3108,23.08,60.0,22.89,15
Elixir of Avarice,2151,21.54,64.29,23.01,14
Spellslinger's Shoes,3175,21.54,78.57,33.23,14
Elixir of Force,2152,20.0,61.54,22.75,13
Elixir of Skill,2150,18.46,58.33,26.05,12
Kindlegem,3067,16.92,54.55,13.82,11
Ruby Crystal,1028,15.38,50.0,29.75,10
Ionian Boots of Lucidity,3158,15.38,50.0,12.22,10
Shattered Armguard,2421,13.85,33.33,35.69,9
Blasting Wand,1026,10.77,42.86,19.97,7
Void Staff,3135,10.77,57.14,-3.25,7
Oracle Lens,3364,10.77,85.71,24.14,7
Elixir of Sorcery,2139,9.23,50.0,-7.68,6
Stormsurge,4646,9.23,33.33,9.14,6
Boots of Swiftness,3009,7.69,80.0,34.68,5
Tear of the Goddess,3070,7.69,40.0,18.89,5
Banshee's Veil,3102,6.15,50.0,35.0,4
Mejai's Soulstealer,3041,6.15,75.0,-1.06,4
Crimson Lucidity,3171,6.15,25.0,0.64,4
Null-Magic Mantle,1033,6.15,50.0,30.78,4
Cloth Armor,1029,6.15,25.0,8.41,4
Verdant Barrier,4632,4.62,33.33,31.69,3
Archangel's Staff,3003,4.62,33.33,9.02,3
Horizon Focus,4628,4.62,66.67,24.72,3
Swiftmarch,3170,3.08,100.0,14.29,2
Haunting Guise,3147,3.08,100.0,39.81,2
Liandry's Torment,6653,3.08,100.0,19.82,2
Mercury's Treads,3111,3.08,50.0,-1.97,2
Elixir of Iron,2138,1.54,100.0,11.89,1
Plated Steelcaps,3047,1.54,0.0,-20.91,1
