Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
Health Potion,2003,100.0,44.0,12.37,25
Amplifying Tome,1052,96.0,41.67,10.79,24
Lost Chapter,3802,88.0,45.45,19.35,22
Stealth Ward,3340,84.0,47.62,27.66,21
Doran's Ring,1056,76.0,42.11,10.83,19
Boots,1001,72.0,38.89,24.95,18
Sorcerer's Shoes,3020,60.0,46.67,25.43,15
Tear of the Goddess,3070,56.0,35.71,18.8,14
Archangel's Staff,3003,56.0,35.71,23.61,14
Fated Ashes,2508,52.0,38.46,20.29,13
Liandry's Torment,6653,52.0,53.85,12.19,13
Needlessly Large Rod,1058,48.0,50.0,21.23,12
Sapphire Crystal,1027,48.0,33.33,15.87,12
Haunting Guise,3147,44.0,45.45,8.82,11
Oracle Lens,3364,44.0,54.55,33.34,11
Luden's Companion,6655,44.0,45.45,23.15,11
Hextech Alternator,3145,36.0,44.44,31.22,9
Ionian Boots of Lucidity,3158,36.0,44.44,39.77,9
Control Ward,2055,36.0,33.33,12.57,9
Fiendish Codex,3108,32.0,50.0,18.89,8
Seeker's Armguard,2420,32.0,62.5,21.82,8
Glowing Mote,2022,32.0,50.0,15.43,8
Refillable Potion,2031,28.0,42.86,21.45,7
Shadowflame,4645,28.0,57.14,43.68,7
Ruby Crystal,1028,24.0,33.33,-3.49,6
Blasting Wand,1026,24.0,33.33,7.88,6
Rylai's Crystal Scepter,3116,24.0,50.0,19.44,6
Spellslinger's Shoes,3175,24.0,83.33,19.17,6
Rabadon's Deathcap,3089,24.0,50.0,20.33,6
Farsight Alteration,3363,24.0,33.33,12.19,6
Zhonya's Hourglass,3157,20.0,80.0,-6.77,5
Total Biscuit of Everlasting Will,2010,20.0,40.0,-2.19,5
Blackfire Torch,2503,20.0,40.0,33.18,5
Dark Seal,1082,16.0,50.0,13.69,4
Elixir of Sorcery,2139,16.0,25.0,29.34,4
Blighting Jewel,4630,12.0,66.67,-4.59,3
Slightly Magical Footwear,2422,12.0,33.33,31.51,3
Scorchclaw Pup,1101,12.0,33.33,23.29,3
Oblivion Orb,3916,8.0,100.0,30.39,2
Void Staff,3135,8.0,0.0,-4.25,2
Cloth Armor,1029,8.0,50.0,10.48,2
Shattered Armguard,2421,8.0,100.0,-4.12,2
Giant's Belt,1011,8.0,50.0,8.4,2
Elixir of Avarice,2151,8.0,50.0,24.51,2
Elixir of Force,2152,8.0,50.0,22.65,2
World Atlas,3865,4.0,100.0,-14.8,1
Runic Compass,3866,4.0,100.0,28.1,1
Bounty of Worlds,3867,4.0,100.0,28.47,1
Bloodletter's Curse,8010,4.0,100.0,0,1
Your Cut,3400,4.0,100.0,22.73,1
Null-Magic Mantle,1033,4.0,0.0,27.12,1
Mercury's Treads,3111,4.0,0.0,67.69,1
Chainlaced Crushers,3173,4.0,0.0,83.27,1
Crimson Lucidity,3171,4.0,100.0,68.53,1
Gustwalker Hatchling,1102,4.0,100.0,63.49,1
Plated Steelcaps,3047,4.0,100.0,15.41,1
Armored Advance,3174,4.0,100.0,32.93,1
Eye of the Herald,3513,4.0,100.0,53.26,1
Elixir of Skill,2150,4.0,100.0,33.44,1
