Item Name,Item ID,Pick Rate (%),Win Rate (%),Gold Accel (5min) (%),Sample Size (Games)
World Atlas,3865,100.0,40.0,23.45,15
Tear of the Goddess,3070,100.0,40.0,5.36,15
Cloth Armor,1029,100.0,40.0,5.6,15
Kindlegem,3067,100.0,40.0,10.24,15
Runic Compass,3866,100.0,40.0,6.4,15
Bounty of Worlds,3867,100.0,40.0,6.07,15
Total Biscuit of Everlasting Will,2010,93.33,35.71,19.98,14
Control Ward,2055,93.33,35.71,8.77,14
Stealth Ward,3340,93.33,35.71,30.5,14
Oracle Lens,3364,93.33,35.71,30.85,14
Ruby Crystal,1028,93.33,42.86,13.7,14
Health Potion,2003,86.67,46.15,13.5,13
Slightly Magical Footwear,2422,86.67,38.46,9.9,13
Locket of the Iron Solari,3190,80.0,50.0,9.77,12
Winter's Approach,3119,73.33,45.45,4.29,11
Null-Magic Mantle,1033,60.0,22.22,9.73,9
Plated Steelcaps,3047,60.0,44.44,2.37,9
Giant's Belt,1011,46.67,57.14,6.42,7
Glowing Mote,2022,46.67,28.57,17.18,7
Bramble Vest,3076,26.67,75.0,-18.94,4
Warden's Mail,3082,26.67,25.0,5.56,4
Knight's Vow,3109,20.0,33.33,-16.81,3
Mercury's Treads,3111,20.0,33.33,18.51,3
Glacial Buckler,3024,20.0,33.33,2.03,3
Armored Advance,3174,20.0,100.0,7.85,3
Ionian Boots of Lucidity,3158,13.33,0.0,2.58,2
Chain Vest,1031,13.33,50.0,-18.22,2
Spectre's Cowl,3211,13.33,50.0,0,2
Elixir of Iron,2138,13.33,50.0,0,2
Boots,1001,13.33,50.0,-0.01,2
Forbidden Idol,3114,13.33,0.0,22.88,2
Redemption,3107,13.33,0.0,19.3,2
Negatron Cloak,1057,6.67,0.0,0,1
Eye of the Herald,3513,6.67,100.0,0,1
Thornmail,3075,6.67,100.0,-31.3,1
Frozen Heart,3110,6.67,0.0,-7.81,1
Solstice Sleigh,3876,6.67,0.0,13.53,1
Celestial Opposition,3869,6.67,100.0,-8.38,1
Chainlaced Crushers,3173,6.67,100.0,0,1
Dream Maker,3870,6.67,0.0,14.41,1
Faerie Charm,1004,6.67,0.0,13.68,1
